index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_corr,mag,mag_err,islimit,lim,plot_mag,plot_err
5,646,3,0,ZTF_r,1264468410815,0,1.8447,253.218,6.03841,26.2932,2.6825e-06,0.0185593,0.0910437,3.87662e-06,1047,30.0,0.059047,0.047178,20.5573,26.2932,1,2459018.9684144,646120208,-16.4490245848171,29.163741714380723,-0.753595242465321,1.44268953356796,-66.6228499510395,46.5923103090726,-1.43954137997615,1.04223672381912,2.79891483157761,20.6769999504089,0.13400000333786,3.49900007247925,0.41100001335144,2458246.951863,2458316.956667,0,-38.869636100254,,-0.8145966249243133,True,20.88366688091791,20.88366688091791,
7,646,3,0,ZTF_r,1268475620815,0,1.5427,258.493,7.08467,26.317,3.1936e-06,0.0201523,0.0898857,4.61121e-06,1047,30.0,0.057432,0.056766,20.4938,26.317,1,2459022.975625,646120208,35.2249916940215,34.62321315108531,1.56890756551673,1.92184364672208,23.657772557917,50.2740594859624,0.473745491427694,1.03438135466803,2.79891483157761,20.6769999504089,0.13400000333786,3.49900007247925,0.41100001335144,2458246.951863,2458316.956667,0,12.804380178584598,23.54860359893101,2.935747142294598,True,20.721156565650013,20.721156565650013,
11,646,3,0,ZTF_r,1274477910815,0,2.0633,236.527,5.72619,26.2187,2.8644e-06,0.0191631,0.0903878,4.14804e-06,1046,30.0,0.058733,0.047824,20.4648,26.2187,1,2459028.9779167,646120208,-5.09882940433318,30.870116230534382,-0.209658313659857,1.3021173943161,-20.1221793894439,49.0467432844049,-0.413028512574061,1.05057834697483,2.79891483157761,20.6769999504089,0.13400000333786,3.49900007247925,0.41100001335144,2458246.951863,2458316.956667,0,-27.51944091977008,,-1.2178912096798222,True,20.74742932749029,20.74742932749029,
20,646,3,0,ZTF_r,1289383200815,0,1.6306,245.725,6.92283,26.2639,3.0868e-06,0.019831,0.0881304,4.47423e-06,1047,30.0,0.065206,0.059046,20.5112,26.2639,1,2459043.883206,646120208,6.64797659131872,32.317100940383455,0.282464515460849,1.52371596882155,189.497909761406,53.397346509742,3.57272788923301,1.03148906544331,2.79891483157761,20.6769999504089,0.13400000333786,3.49900007247925,0.41100001335144,2458246.951863,2458316.956667,0,-15.77263492411818,,-2.224528536910643,True,20.742894002318252,20.742894002318252,
21,646,3,0,ZTF_r,1290475600815,0,2.0179,258.011,6.37099,26.3162,2.6444e-06,0.0183439,0.0896507,3.80112e-06,1045,30.0,0.056308,0.046148,20.4639,26.3162,1,2459044.9756019,646120208,0.307321480911317,29.604653020904532,0.0119320497612149,1.0677132338216,-67.6160526945976,52.8446059672623,-1.2881437840969,1.04894245699988,2.79891483157761,20.6769999504089,0.13400000333786,3.49900007247925,0.41100001335144,2458246.951863,2458316.956667,0,-22.113290034525583,,-1.453504735596239,True,20.89037505082936,20.89037505082936,
22,646,3,0,ZTF_r,1292401260815,0,1.6924,257.657,5.64024,26.3134,2.9535e-06,0.0193562,0.0892069,4.26052e-06,1044,30.0,0.057296,0.050985,20.6951,26.3134,1,2459046.9012616,646120208,34.0841487409228,31.09845051175918,1.66356835518027,1.86184831712167,27.1911442575558,44.7278564599673,0.612018557228897,1.03653240771556,2.79891483157761,20.6769999504089,0.13400000333786,3.49900007247925,0.41100001335144,2458246.951863,2458316.956667,0,11.6635372254859,23.64632430049841,2.894798298996329,True,20.834128112328955,20.834128112328955,
23,646,3,0,ZTF_r,1292421110815,0,1.6573,259.787,6.51228,26.3216,2.7731e-06,0.0188122,0.0891714,4.01312e-06,1047,30.0,0.059073,0.048671,20.5153,26.3216,1,2459046.9211111,646120208,24.2423655715743,28.144661777090562,1.13030417809733,1.39162793996477,15.5971614696769,47.0819023153199,0.33350838596951,1.03605674449229,2.79891483157761,20.6769999504089,0.13400000333786,3.49900007247925,0.41100001335144,2458246.951863,2458316.956667,0,1.8217540561374008,25.670375637112382,16.773207771072787,True,20.950684904211222,20.950684904211222,
25,646,3,0,ZTF_r,1294407290815,0,1.615,259.261,6.04827,26.3201,2.911e-06,0.0192327,0.0877133,4.18623e-06,1044,30.0,0.059181,0.055245,20.6294,26.3201,3,2459048.9072917,646120208,27.4885884694562,36.092086230331454,1.40841437122337,2.76356947562298,-1.294475756134,42.9429626724721,-0.0303470939992806,1.03487410214385,2.79891483157761,20.6769999504089,0.13400000333786,3.49900007247925,0.41100001335144,2458246.951863,2458316.956667,0,5.067976954019301,24.55801342170758,7.731917168485535,True,20.679145023403358,20.679145023403358,
28,646,3,0,ZTF_r,1295404870815,0,1.6297,258.931,5.26678,26.3216,3.5266e-06,0.0212207,0.0878928,5.1121e-06,1048,30.0,0.053058,0.057088,20.8127,26.3216,1,2459049.9048727,646120208,-11.0463150879666,34.33536007466923,-0.532571384090837,2.21459548931608,-84.2245013427365,45.5164555974475,-1.86288139294141,1.03615841528431,2.79891483157761,20.6769999504089,0.13400000333786,3.49900007247925,0.41100001335144,2458246.951863,2458316.956667,0,-33.4669266034035,,-1.1138728355557252,True,20.734820973667077,20.734820973667077,
29,646,3,0,ZTF_r,1295405790815,0,1.5619,257.808,5.23099,26.3148,3.0795e-06,0.0198281,0.0915242,4.4584e-06,1048,30.0,0.058462,0.059542,20.8271,26.3148,3,2459049.9057986,646120208,-5.36996033187183,30.539487570931723,-0.254218911380645,1.68922477858474,-8.15990423687181,46.9989948938979,-0.174788028551076,1.03416526874108,2.79891483157761,20.6769999504089,0.13400000333786,3.49900007247925,0.41100001335144,2458246.951863,2458316.956667,0,-27.79057184730873,,-1.1930924573245696,True,20.85522062502298,20.85522062502298,
