# ZTF DR2 lightcurve of ZTF20abtctgr
# --------------- #
# mjd_max_init:   59087.33765 (phot: fclump)
# baseline_range: 58987.33765 => 59557.08572
# baseline_corr (applied): 
# field rcid filter  flux_offset err_scale n_obs
#  646   08   ztfr      574.63     1.00     138
#  646   08   ztfg       75.98     1.00     114
#  646   08   ztfi      -91.57     1.00      40
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  mag_lim  field_id  rcid  flux_offset  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  chi2dof  filename  
 58246.45186        ztfr  -865.15440  1222.70580    30.00000         512    99.00000    99.00000    20.53427         646     8.00000   574.62506     1.00000           1  1741.72593  2257.07466    26.09504     0.00001     0.02754     1.00130 ztf_20180508451817_000646_zr_c03_o_q1_sciimg.fits
 58246.48295        ztfg -2616.79625  1138.55399    30.00000           0    99.00000    99.00000    20.61169         646     8.00000    75.97508     1.00000           0  1750.65179  2278.43601    26.20144     0.00001     0.03560     1.00138 ztf_20180508482951_000646_zg_c03_o_q1_sciimg.fits
 58256.48686        ztfr   231.12066  1811.80577    30.00000          32    99.00000    99.00000    20.10730         646     8.00000   574.62506     1.00000           1  1749.85625  2423.11445    26.19342     0.00001     0.02632     1.00100 ztf_20180518486840_000646_zr_c03_o_q1_sciimg.fits
 58259.43020        ztfg  5846.44545  9269.45729    30.00000          28    99.00000    99.00000    18.33494         646     8.00000    75.97508     1.00000           0  1742.42754  2408.92925    23.40005     0.00385     0.28687     1.00319 ztf_20180521430162_000646_zg_c03_o_q1_sciimg.fits
 58259.46731        ztfr  -146.32456  1011.46523    30.00000           0    99.00000    99.00000    20.74020         646     8.00000   574.62506     1.00000           1  1753.04091  2431.47734    25.88566     0.00000     0.02425     0.99819 ztf_20180521467280_000646_zr_c03_o_q1_sciimg.fits
 58262.47150        ztfg  -414.23674   673.18779    30.00000         128    99.00000    99.00000    21.18223         646     8.00000    75.97508     1.00000           1  1754.15660  2445.78253    26.22183     0.00001     0.02841     1.00169 ztf_20180524471493_000646_zg_c03_o_q1_sciimg.fits
 58267.46574        ztfg  -632.14407  2132.23648    30.00000         128    99.00000    99.00000    19.93049         646     8.00000    75.97508     1.00000           1  1756.41492  2468.71138    26.22463     0.00002     0.03598     1.00124 ztf_20180529465718_000646_zg_c03_o_q1_sciimg.fits
 58270.42262        ztfr -2399.68631  2262.03198    30.00000           0    99.00000    99.00000    19.86633         646     8.00000   574.62506     1.00000           0  1751.06757  2425.41746    26.10932     0.00001     0.03395     1.00105 ztf_20180601422604_000646_zr_c03_o_q1_sciimg.fits
 58270.47362        ztfg -1201.46209  1856.99746    30.00000           0    99.00000    99.00000    20.08055         646     8.00000    75.97508     1.00000           0  1757.81379  2450.18138    26.21833     0.00002     0.03862     1.00125 ztf_20180601473600_000646_zg_c03_o_q1_sciimg.fits
 58273.43191        ztfr  -244.18065  1041.41476    30.00000           0    99.00000    99.00000    20.70852         646     8.00000   574.62506     1.00000           1  1753.82738  2494.98107    26.17180     0.00000     0.02204     0.99957 ztf_20180604431898_000646_zr_c03_o_q1_sciimg.fits
 58273.43282        ztfr -1030.46139  1203.76200    30.00000           0    99.00000    99.00000    20.55122         646     8.00000   574.62506     1.00000           1  1753.64939  2495.03148    26.18094     0.00000     0.02337     1.00114 ztf_20180604432812_000646_zr_c03_o_q1_sciimg.fits
 58273.47369        ztfg  1301.91982  1168.36375    30.00000           0    99.00000    99.00000    20.58363         646     8.00000    75.97508     1.00000           1  1759.33295  2511.32397    26.28112     0.00001     0.03371     1.00149 ztf_20180604473681_000646_zg_c03_o_q1_sciimg.fits
 58273.47461        ztfg -1996.41806  1149.09966    30.00000           0    99.00000    99.00000    20.60168         646     8.00000    75.97508     1.00000           0  1759.67739  2511.27039    26.27750     0.00001     0.03325     1.00118 ztf_20180604474606_000646_zg_c03_o_q1_sciimg.fits
 58274.44355        ztfg  -236.21674  1392.39361    30.00000           0    99.00000    99.00000    20.39317         646     8.00000    75.97508     1.00000           1  1760.19325  2512.48780    26.18884     0.00001     0.03577     1.00129 ztf_20180605443542_000646_zg_c03_o_q1_sciimg.fits
 58274.46633        ztfr -1103.33923  1034.94128    30.00000           0    99.00000    99.00000    20.71529         646     8.00000   574.62506     1.00000           1  1763.81345  2569.24642    26.22278     0.00000     0.02182     1.00145 ztf_20180605466319_000646_zr_c03_o_q1_sciimg.fits
 58275.43419        ztfr -3633.84134  1155.57835    30.00000           0    99.00000    99.00000    20.59558         646     8.00000   574.62506     1.00000           0  1755.09903  2541.33049    26.20182     0.00000     0.02153     1.00119 ztf_20180606434190_000646_zr_c03_o_q1_sciimg.fits
 58275.47020        ztfg   735.07150  1237.48607    30.00000           0    99.00000    99.00000    20.52122         646     8.00000    75.97508     1.00000           1  1760.16044  2557.69690    26.21494     0.00001     0.03539     1.00097 ztf_20180606470174_000646_zg_c03_o_q1_sciimg.fits
 58276.40206        ztfg  1750.74558  1187.13448    30.00000          32    99.00000    99.00000    20.56633         646     8.00000    75.97508     1.00000           0  1752.56610  2285.53416    26.19238     0.00001     0.03401     1.00297 ztf_20180607402049_000646_zg_c03_o_q1_sciimg.fits
 58276.40300        ztfg   130.86016  1093.54806    30.00000           0    99.00000    99.00000    20.65548         646     8.00000    75.97508     1.00000           1  1753.10830  2285.53273    26.19152     0.00001     0.03636     1.00154 ztf_20180607402975_000646_zg_c03_o_q1_sciimg.fits
 58276.46198        ztfr  -604.45550  1232.47737    30.00000           0    99.00000    99.00000    20.52563         646     8.00000   574.62506     1.00000           1  1760.00830  2300.45849    26.20924     0.00000     0.02209     1.00133 ztf_20180607461921_000646_zr_c03_o_q1_sciimg.fits
 58277.42470        ztfr  1514.35301  1080.59474    30.00000           0    99.00000    99.00000    20.66842         646     8.00000   574.62506     1.00000           1  1757.49471  2327.67363    26.13455     0.00000     0.02117     1.00113 ztf_20180608424676_000646_zr_c03_o_q1_sciimg.fits
 58277.47036        ztfg  -133.31625   855.38726    30.00000           0    99.00000    99.00000    20.92217         646     8.00000    75.97508     1.00000           1  1759.50768  2342.71682    26.20820     0.00001     0.03173     1.00139 ztf_20180608470312_000646_zg_c03_o_q1_sciimg.fits
 58278.42699        ztfg  -588.32008   761.99133    30.00000           0    99.00000    99.00000    21.04770         646     8.00000    75.97508     1.00000           1  1757.63433  2340.03552    26.25057     0.00001     0.03166     1.00147 ztf_20180609426968_000646_zg_c03_o_q1_sciimg.fits
 58278.46578        ztfr -1116.09153   791.19946    30.00000           0    99.00000    99.00000    21.00686         646     8.00000   574.62506     1.00000           1  1761.00867  2357.01225    26.20328     0.00000     0.02025     1.00116 ztf_20180609465752_000646_zr_c03_o_q1_sciimg.fits
 58279.42605        ztfr -2186.79471  1321.33485    30.00000          32    99.00000    99.00000    20.45004         646     8.00000   574.62506     1.00000           0  1756.07436  2347.24553    26.17574     0.00001     0.02838     1.00139 ztf_20180610426042_000646_zr_c03_o_q1_sciimg.fits
 58279.42697        ztfr -1662.62115  1260.84642    30.00000          32    99.00000    99.00000    20.50092         646     8.00000   574.62506     1.00000           1  1756.65940  2347.52888    26.18680     0.00000     0.02477     1.00121 ztf_20180610426968_000646_zr_c03_o_q1_sciimg.fits
 58279.45823        ztfg  -869.34579   750.65920    30.00000           0    99.00000    99.00000    21.06397         646     8.00000    75.97508     1.00000           1  1758.92798  2335.91307    26.29659     0.00001     0.03103     1.00328 ztf_20180610458102_000646_zg_c03_o_q1_sciimg.fits
 58280.44230        ztfg   937.14950   631.00275    30.00000           0    99.00000    99.00000    21.25250         646     8.00000    75.97508     1.00000           1  1758.30866  2385.59268    26.30748     0.00001     0.02729     1.00145 ztf_20180611442257_000646_zg_c03_o_q1_sciimg.fits
 58280.46765        ztfr   820.26990   867.83029    30.00000           0    99.00000    99.00000    20.90649         646     8.00000   574.62506     1.00000           1  1764.76367  2398.87457    26.23100     0.00000     0.02161     1.00132 ztf_20180611467627_000646_zr_c03_o_q1_sciimg.fits
 58281.42512        ztfg  -279.44818   549.72831    30.00000           0    99.00000    99.00000    21.40220         646     8.00000    75.97508     1.00000           1  1757.75906  2421.74168    26.31272     0.00001     0.02970     1.00304 ztf_20180612425093_000646_zg_c03_o_q1_sciimg.fits
 58281.47530        ztfr  1102.32712   831.09512    30.00000           0    99.00000    99.00000    20.95345         646     8.00000   574.62506     1.00000           1  1761.12394  2440.35295    26.22152     0.00000     0.02441     0.99971 ztf_20180612475289_000646_zr_c03_o_q1_sciimg.fits
 58282.43084        ztfg   890.60252   573.53265    30.00000           0    99.00000    99.00000    21.35618         646     8.00000    75.97508     1.00000           1  1757.14073  2411.55672    26.09481     0.00001     0.02793     1.00340 ztf_20180613430822_000646_zg_c03_o_q1_sciimg.fits
 58282.43176        ztfg   816.73340   635.66750    30.00000           0    99.00000    99.00000    21.24450         646     8.00000    75.97508     1.00000           1  1757.62914  2411.40291    26.05854     0.00001     0.02902     1.00127 ztf_20180613431759_000646_zg_c03_o_q1_sciimg.fits
 58282.46493        ztfr  -194.79384  1033.53522    30.00000           0    99.00000    99.00000    20.71676         646     8.00000   574.62506     1.00000           1  1764.04281  2427.72697    25.91822     0.00000     0.02332     1.00164 ztf_20180613464919_000646_zr_c03_o_q1_sciimg.fits
 58282.46586        ztfr -1392.07115  1072.97021    30.00000           0    99.00000    99.00000    20.67611         646     8.00000   574.62506     1.00000           1  1764.59064  2428.01756    25.90603     0.00000     0.02287     1.00347 ztf_20180613465845_000646_zr_c03_o_q1_sciimg.fits
 58283.45681        ztfg  -507.02725   603.56876    30.00000           0    99.00000    99.00000    21.30076         646     8.00000    75.97508     1.00000           1  1764.14212  2385.22630    26.29401     0.00001     0.02704     1.00147 ztf_20180614456782_000646_zg_c03_o_q1_sciimg.fits
 58283.47671        ztfr  -708.28567  1161.14599    30.00000           0    99.00000    99.00000    20.59036         646     8.00000   574.62506     1.00000           1  1764.48297  2394.15061    26.21358     0.00000     0.02340     1.00134 ztf_20180614476690_000646_zr_c03_o_q1_sciimg.fits
 58284.46574        ztfr  -316.05018  1685.52811    30.00000           4    99.00000    99.00000    20.18573         646     8.00000   574.62506     1.00000           0  1763.49423  2351.24445    25.60991     0.00002     0.04498     1.00140 ztf_20180615465718_000646_zr_c03_o_q1_sciimg.fits
 58285.40315        ztfr   162.08190   969.16173    30.00000           0    99.00000    99.00000    20.78658         646     8.00000   574.62506     1.00000           1  1754.72152  2395.51706    26.20374     0.00000     0.02031     1.00144 ztf_20180616403137_000646_zr_c03_o_q1_sciimg.fits
 58285.44485        ztfg   149.60891   479.72791    30.00000           0    99.00000    99.00000    21.55009         646     8.00000    75.97508     1.00000           1  1762.54408  2352.26399    26.32569     0.00001     0.02660     1.00314 ztf_20180616444850_000646_zg_c03_o_q1_sciimg.fits
 58288.42529        ztfg   579.70966   808.25251    30.00000           0    99.00000    99.00000    20.98371         646     8.00000    75.97508     1.00000           1  1758.02884  2463.35013    26.28189     0.00001     0.03277     1.00225 ztf_20180619425289_000646_zg_c03_o_q1_sciimg.fits
 58288.47729        ztfr  -903.77119   954.86271    30.00000           0    99.00000    99.00000    20.80272         646     8.00000   574.62506     1.00000           1  1764.83769  2478.14266    26.21057     0.00000     0.02055     0.99980 ztf_20180619477280_000646_zr_c03_o_q1_sciimg.fits
 58291.44612        ztfg  1695.37195   417.66005    30.00000         128    99.00000    99.00000    21.70052         646     8.00000    75.97508     1.00000           0  1762.39310  2298.56857    26.30227     0.00000     0.02400     1.00151 ztf_20180622446111_000646_zg_c03_o_q1_sciimg.fits
 58291.46619        ztfr   577.05680   620.06388    30.00000         128    99.00000    99.00000    21.27148         646     8.00000   574.62506     1.00000           1  1766.50576  2306.37994    26.21549     0.00000     0.02132     0.99817 ztf_20180622466169_000646_zr_c03_o_q1_sciimg.fits
 58294.47821        ztfr  -393.61075   880.64344    30.00000         128    99.00000    99.00000    20.89057         646     8.00000   574.62506     1.00000           1  1764.69874  2362.23058    26.21576     0.00000     0.02330     0.99969 ztf_20180625478183_000646_zr_c03_o_q1_sciimg.fits
 58297.46155        ztfg  1146.73630  1967.48956    30.00000           0    99.00000    99.00000    20.01779         646     8.00000    75.97508     1.00000           1  1767.11641  2403.08284    26.28146     0.00001     0.03760     1.00316 ztf_20180628461539_000646_zg_c03_o_q1_sciimg.fits
 58300.43481        ztfr -2127.57936  1151.80727    30.00000           0    99.00000    99.00000    20.59913         646     8.00000   574.62506     1.00000           0  1756.15055  2474.75562    26.17439     0.00000     0.02384     0.99816 ztf_20180701434792_000646_zr_c03_o_q1_sciimg.fits
 58300.46142        ztfg   -96.73665  1187.12066    30.00000           0    99.00000    99.00000    20.56634         646     8.00000    75.97508     1.00000           1  1758.92666  2480.33457    26.28028     0.00001     0.03248     1.00135 ztf_20180701461366_000646_zg_c03_o_q1_sciimg.fits
 58302.46806        ztfi   -23.31550  1648.55361    30.00000           0    99.00000    99.00000    20.20982         646     8.00000   -91.57471     1.00000           1  1760.65169  2356.31743    25.54065     0.00000     0.02183     1.00141 ztf_20180703468044_000646_zi_c03_o_q1_sciimg.fits
 58303.42179        ztfg   382.24523  1044.18861    30.00000           0    99.00000    99.00000    20.70563         646     8.00000    75.97508     1.00000           1  1761.03564  2300.38223    26.28019     0.00001     0.03097     1.00132 ztf_20180704421690_000646_zg_c03_o_q1_sciimg.fits
 58307.43471        ztfi  -336.58927  2053.92275    30.00000           0    99.00000    99.00000    19.97111         646     8.00000   -91.57471     1.00000           1  1757.00974  2412.37974    25.45671     0.00000     0.02463     1.00124 ztf_20180708434699_000646_zi_c03_o_q1_sciimg.fits
 58310.43483        ztfr  1522.32519  1251.97038    30.00000          32    99.00000    99.00000    20.50859         646     8.00000   574.62506     1.00000           1  1761.63532  2505.16625    26.11869     0.00001     0.03144     0.99647 ztf_20180711434815_000646_zr_c03_o_q1_sciimg.fits
 58312.38758        ztfi -1321.82648  1674.89702    30.00000           0    99.00000    99.00000    20.19260         646     8.00000   -91.57471     1.00000           1  1761.47376  2370.70561    25.35004     0.00000     0.02424     1.00306 ztf_20180713387569_000646_zi_c03_o_q1_sciimg.fits
 58313.40491        ztfr   337.18694   706.70481    30.00000           0    99.00000    99.00000    21.12948         646     8.00000   574.62506     1.00000           1  1759.46787  2382.82395    26.11617     0.00000     0.02382     0.99971 ztf_20180714404884_000646_zr_c03_o_q1_sciimg.fits
 58316.41381        ztfg  -107.77886   675.15379    30.00000           0    99.00000    99.00000    21.17907         646     8.00000    75.97508     1.00000           1  1764.52250  2440.00516    26.15389     0.00001     0.02731     1.00326 ztf_20180717413785_000646_zg_c03_o_q1_sciimg.fits
 58316.45667        ztfr   799.00954   624.48460    30.00000           0    99.00000    99.00000    21.26377         646     8.00000   574.62506     1.00000           1  1771.03372  2443.23749    26.15432     0.00000     0.02401     1.00136 ztf_20180717456644_000646_zr_c03_o_q1_sciimg.fits
 58316.48328        ztfi -1346.98389  1861.91500    30.00000           0    99.00000    99.00000    20.07768         646     8.00000   -91.57471     1.00000           1  1777.30697  2449.55079    25.25918     0.00001     0.04178     1.00089 ztf_20180717483241_000646_zi_c03_o_q1_sciimg.fits
 58319.41462        ztfg  -544.63934   461.23697    30.00000         128    99.00000    99.00000    21.59276         646     8.00000    75.97508     1.00000           1  1755.32192  2340.04955    26.32087     0.00000     0.02505     1.00137 ztf_20180720414606_000646_zg_c03_o_q1_sciimg.fits
 58319.44554        ztfr   846.19020   695.78693    30.00000         128    99.00000    99.00000    21.14638         646     8.00000   574.62506     1.00000           1  1762.68395  2348.96265    26.24508     0.00000     0.02304     1.00137 ztf_20180720445544_000646_zr_c03_o_q1_sciimg.fits
 58320.23250        ztfi  2686.41650  2965.74753    30.00000         640    99.00000    99.00000    19.57224         646     8.00000   -91.57471     1.00000           0  1731.02057  2258.61883    25.38128     0.00000     0.03588     1.00128 ztf_20180721232500_000646_zi_c03_o_q1_sciimg.fits
 58322.41418        ztfr  -749.83270   606.67702    30.00000         128    99.00000    99.00000    21.29518         646     8.00000   574.62506     1.00000           1  1755.91423  2357.28119    26.23818     0.00000     0.02188     1.00155 ztf_20180723414155_000646_zr_c03_o_q1_sciimg.fits
 58322.45686        ztfg  1630.64505   533.51263    30.00000         128    99.00000    99.00000    21.43471         646     8.00000    75.97508     1.00000           0  1762.87767  2359.52190    26.32089     0.00000     0.02548     1.00176 ztf_20180723456817_000646_zg_c03_o_q1_sciimg.fits
 58325.38086        ztfi   140.11444  1695.72650    30.00000         128    99.00000    99.00000    20.17919         646     8.00000   -91.57471     1.00000           1  1756.58430  2321.15497    25.53877     0.00000     0.02344     1.00129 ztf_20180726380845_000646_zi_c03_o_q1_sciimg.fits
 58325.43704        ztfg -2017.59625  1322.36522    30.00000         128    99.00000    99.00000    20.44920         646     8.00000    75.97508     1.00000           0  1760.59907  2317.12714    26.27109     0.00001     0.03346     1.00123 ztf_20180726436979_000646_zg_c03_o_q1_sciimg.fits
