mjd,f,ef,band
58900.44,-0.5,6.0,o
58901.47,-7.5,6.25,o
58902.6,-1.75,4.38,c
58904.62,5.5,5.75,o
58906.58,6.0,12.0,o
58912.64,7.67,5.2,o
58913.47,-12.67,6.35,o
58917.43,-11.33,17.71,o
58924.63,-12.33,10.58,o
58931.47,-5.33,5.58,c
58936.54,52.0,56.0,o
58942.52,8.0,12.25,o
58950.52,138.5,84.15,o
58951.43,-8.5,8.5,o
58952.52,-2.67,6.93,o
58953.48,-5.25,6.12,o
58956.46,1.0,5.39,o
58957.49,8.75,5.38,o
58958.48,-0.5,4.12,c
58959.47,-7.67,5.39,c
58960.5,0.5,8.13,o
58962.5,-55.0,26.0,c
58964.4,16.5,12.12,o
58966.48,11.5,5.12,c
58968.49,25.67,5.77,o
58969.45,30.17,4.76,o
58971.47,36.25,7.25,o
58971.63,-29.0,48.0,c
58972.37,28.5,10.25,o
58973.39,47.75,9.62,o
58977.47,124.5,14.5,o
58978.53,83.5,28.75,o
58980.42,104.0,13.0,o
58981.43,80.75,7.25,o
58982.45,89.5,7.12,o
58983.39,88.75,5.12,c
58984.45,96.75,5.62,o
58986.44,79.5,4.75,c
58988.42,87.5,4.62,o
58990.39,58.5,4.12,c
58992.4,59.25,5.38,o
58994.4,30.25,4.5,c
58995.43,34.0,4.5,c
58999.4,45.25,6.12,o
59000.38,46.75,6.75,o
59006.38,38.0,11.74,o
59007.36,34.5,8.12,o
59008.39,46.75,10.88,o
59010.41,41.5,9.9,o
59013.36,39.75,4.5,o
59016.37,29.0,13.28,o
59020.35,25.67,5.0,o
59022.34,22.75,4.12,c
59025.33,16.75,4.75,o
59026.38,16.25,4.38,c
59032.36,15.25,9.0,o
59034.37,43.0,13.66,o
59036.33,26.0,9.55,o
59038.31,16.0,4.62,o
59040.35,19.5,4.62,o
59044.33,19.75,5.0,o
59048.3,11.5,5.75,o
59050.3,19.5,5.12,c
59052.29,16.0,5.39,o
59054.29,10.25,5.88,c
59058.27,8.5,7.75,o
59060.26,27.0,13.08,o
59062.27,16.0,9.05,o
59064.3,13.0,22.0,o
59068.26,5.0,5.0,o
59070.26,1.25,8.25,c
59074.31,5.25,5.12,c
59076.27,2.33,8.08,o
59078.25,3.5,7.88,c
59080.25,9.25,5.75,o
59089.25,-0.75,7.25,o
59090.26,4.25,8.75,o
59097.24,3.75,6.38,o
59098.25,15.33,8.85,o
58900.501574099995,8.678802800926702,8.724166072270943,ztfr
58903.52322919993,-1.3425424703587046,3.48787170140096,ztfg
58904.43870369997,,,ztfg
58904.44416669989,-4.372608173027928,4.797232589165079,ztfg
58904.50638889987,,,ztfr
58904.512581000105,-1.8285380443790027,4.400293866013676,ztfr
58908.48472219985,,,ztfr
58908.485173599795,-7.302337497718171,4.2922076426747156,ztfr
58908.5224768999,-66.56160065383244,75.23821240307049,ztfr
58908.526435200125,,,ztfg
58908.52688660007,-5.940218501047765,4.8551176855863645,ztfg
58908.52781250002,-10.05802820832765,20.5408190220164,ztfg
58911.43168980023,1.5743041481028472,3.8810168762924495,ztfg
58911.43576390017,,,ztfg
58911.4782292,4.858182386293819,5.389803226287259,ztfr
