mjd,f,ef,band
58824.66,16.75,7.88,o
58826.63,1.75,7.25,o
58828.63,21.0,11.12,o
58829.56,2.33,17.9,o
58844.67,-13.75,10.12,o
58846.56,2.67,7.51,c
58850.65,-1.67,8.28,o
58852.58,-1.0,9.43,o
58866.63,-8.0,6.75,o
58868.57,5.0,6.38,o
58872.64,10.5,9.55,o
58874.59,5.33,5.97,c
58876.6,7.5,6.62,o
58878.55,4.5,14.14,c
58880.58,11.5,9.9,o
58882.54,-3.5,5.25,c
58884.56,2.5,7.12,o
58888.56,-10.0,22.63,o
58900.45,-1.25,6.5,o
58902.44,4.0,5.88,c
58904.54,12.33,7.7,o
58912.52,4.0,5.12,o
58920.59,-1.0,103.0,o
58924.51,-4.0,8.66,o
58930.5,12.33,6.74,c
58934.44,11.0,90.0,c
58936.48,15.0,7.62,o
58942.44,11.0,166.88,o
58948.4,-15.75,14.88,o
58949.44,-9.0,9.75,o
58950.46,-17.5,25.5,o
58952.44,2.0,7.0,o
58956.38,11.25,6.88,o
58958.39,6.5,5.62,c
58960.42,8.0,6.75,o
58962.42,-12.5,19.45,c
58964.37,-8.33,12.12,o
58966.39,12.0,5.5,c
58968.39,-3.5,5.12,o
58970.39,-3.75,8.88,o
58976.44,3447.0,21.12,o
58978.46,5101.5,17.38,o
58980.36,5683.33,39.26,o
58982.37,5703.33,15.2,c
58984.4,5394.0,11.29,o
58986.37,5103.25,12.25,c
58988.36,5374.0,16.17,o
58990.33,4995.75,12.25,c
58992.35,5356.25,13.0,o
58994.35,4580.25,12.0,c
58996.35,5239.5,24.4,o
58998.31,5287.0,14.25,o
59004.33,4973.5,15.5,o
59005.35,5099.5,19.12,o
59006.3,5041.25,15.25,o
59008.34,4964.33,84.87,o
59010.32,5041.25,13.38,o
59016.3,4783.25,14.75,o
59020.29,4582.75,15.88,o
59022.28,3133.75,10.62,c
59024.27,4337.75,12.75,o
59026.27,4345.67,16.74,o
59030.26,4102.0,21.55,o
59032.3,3647.4,13.42,o
59034.3,3418.5,19.75,o
59036.26,3062.67,16.17,o
59040.29,1874.25,10.75,o
59042.29,726.33,10.01,c
59044.26,1021.75,8.62,o
59064.25,780.5,20.0,o
59181.59,194.25,15.88,o
59183.66,154.0,106.0,o
59185.65,192.67,11.93,o
59189.63,184.0,14.85,o
59190.6,188.75,10.12,o
59196.59,103.6,9.48,c
59198.62,97.0,8.88,c
59204.63,88.25,6.0,c
59206.61,91.25,5.88,c
59208.63,78.67,6.54,c
59216.58,130.25,13.5,o
59220.6,118.5,9.25,o
59222.65,114.25,6.5,o
59224.59,76.0,8.13,c
59226.59,75.5,7.78,c
59228.55,68.33,6.35,c
59230.51,61.5,5.38,c
59232.53,55.4,5.46,c
59234.56,71.0,6.16,c
59248.61,78.5,11.0,o
59252.59,68.25,7.0,o
59256.49,47.75,5.75,c
59258.49,55.0,7.25,c
59260.44,52.67,6.93,c
59262.58,54.75,6.12,c
59264.51,-27.0,130.0,c
59268.47,55.0,10.39,o
59270.49,52.0,19.45,o
59276.52,50.5,11.67,o
59278.6,49.5,26.5,o
59280.51,53.25,5.75,o
59284.57,42.0,9.05,o
59288.44,43.25,5.12,o
59292.49,43.75,5.25,o
59296.59,48.5,6.75,o
59297.41,38.5,9.38,o
59304.4,28.5,20.86,o
59306.4,35.0,7.38,o
59308.44,19.0,5.2,c
59312.45,27.25,4.5,c
59322.45,37.25,7.25,o
59324.43,37.67,6.93,o
59326.32,48.67,11.55,o
59332.43,23.75,9.12,o
59334.39,37.0,8.12,o
59336.42,35.75,8.0,o
59338.47,34.5,8.12,c
59339.5,-15.0,22.0,c
59342.37,22.0,17.5,c
59344.36,12.0,8.0,o
59346.36,11.0,6.93,c
59348.35,17.33,5.77,o
59352.34,8.75,7.5,o
59354.42,-0.5,16.97,o
59360.4,18.75,15.62,o
59362.38,15.0,9.88,o
59364.32,8.67,5.97,o
59366.36,10.25,5.0,o
59368.35,12.25,4.75,c
59370.33,13.75,6.62,o
59372.31,18.5,4.38,c
59374.3,9.75,7.25,o
59376.32,23.67,6.54,c
59378.35,18.25,7.25,o
59380.28,23.5,4.75,c
59382.28,10.0,9.38,o
59386.33,22.5,63.29,o
59388.28,14.75,8.49,o
59390.27,9.0,45.25,o
59392.32,7.67,7.12,o
59394.34,18.0,8.84,c
59396.31,20.75,5.88,o
59400.27,23.5,5.25,o
59402.29,24.75,6.62,c
59404.26,14.5,7.0,o
59416.26,-1.0,123.0,o
59418.27,-2.33,17.71,o
59424.26,19.0,8.66,c
59426.26,3.0,16.75,o
59428.25,29.0,14.85,c
58800.53069439996,1.1943445831322705,36.704620555255865,ztfr
58801.54166670004,27.925197268218298,164.50471071687411,ztfr
58801.54680560017,9.18942989156935,206.14932756253071,ztfr
58801.55193290021,67.8498002559627,114.4378668310834,ztfr
58804.515520799905,-14.799953897599384,49.51867151174108,ztfg
58828.546469899826,-4.795792417681758,37.121379972081044,ztfg
58828.56796299992,-3.2195009841488513,23.867200852812122,ztfr
58833.4796990999,2.7612272126466535,40.57935058766935,ztfr
58838.49859949993,26.449546434462963,45.632214585669786,ztfg
58838.54655090021,-4.428724961018091,134.24786702501007,ztfr
58850.48406249983,-4.676782033441657,19.436720302915095,ztfr
58850.54159720009,-9.301784185412481,16.39615087743088,ztfg
58853.502847199794,-5.436232174220435,11.965086886592053,ztfg
58856.54027780006,-0.6330710709392908,11.920929297386756,ztfg
58861.46040510014,-14.204120748899063,49.087627979593734,ztfg
58873.39982639998,-3.7161272869764637,14.84767002147926,ztfg
58873.50598380016,-0.7092568321972619,14.982264338809308,ztfr
58876.5061805998,-7.500848971572181,12.38817302507742,ztfg
58876.5452083,-2.0057293780539385,12.863519676086367,ztfr
58879.52619209979,-3.338796058545867,25.44384906265108,ztfr
58880.46003470011,-7.179356452076185,14.143439578153192,ztfg
58881.46056709997,-2.7697195283763727,12.263881132958591,ztfg
58883.51969909994,2.570736927584898,26.028078794834524,ztfr
58883.52060189983,-5.42389481536974,24.05711667607283,ztfr
58884.441400500014,-7.871549549936048,25.563252097089745,ztfg
58884.49719909998,-6.949200648123071,27.6509084895974,ztfr
58885.442546300124,-11.957716071746496,29.704914148071197,ztfg
58885.53010419989,-5.1742213008175595,16.94361140285143,ztfr
58886.45972219994,-2.6405069803265975,25.810251695938053,ztfg
58886.46068290016,5.141890218792434,25.081927515559123,ztfg
58886.53723380016,-3.499196040063002,20.923461003269797,ztfr
58886.538263900205,4.839833351950931,19.808108347385858,ztfr
58887.48415509984,10.353343344525578,23.04462292941105,ztfr
58888.29516200023,-20.540635541665555,64.90811236904813,ztfg
58888.4618286998,-14.632591717382303,46.16071970755333,ztfr
58894.373981500044,-9.513863745959382,16.80417153906903,ztfg
58894.46226850012,-2.890696516988137,15.371287109697926,ztfr
58894.46416669991,-2.9477296847852683,15.714928961313099,ztfr
58895.38271989999,-6.50319614541799,12.966527085489517,ztfg
58895.435023100115,-12.264228990133718,14.380597211154676,ztfr
58898.358055599965,-1.122038128247302,12.26597211253892,ztfr
58898.396620399784,-3.4416666776371154,10.615084937016057,ztfg
58898.39751160005,-5.111292772746617,10.250482842261533,ztfg
58899.39693289995,-0.5366500331811402,12.282543601561239,ztfg
58899.44010420004,0.8920624181039811,14.627352102125691,ztfr
58900.357164400164,-0.9970650347679458,12.209539824802617,ztfg
58901.38152780011,-4.44713718793099,14.620433332262749,ztfr
58901.382418999914,-4.0111583693376796,16.570248805627344,ztfr
58904.473286999855,1.394506393919981,19.005512470237843,ztfr
58904.47418980021,-6.601803981137727,18.87303711421673,ztfr
58905.29408559995,0.8365261345063305,19.804056681020267,ztfg
58906.35317130014,-4.903309318001177,14.678838079193758,ztfg
58906.441365700215,0.24800308357842882,16.71186396063791,ztfr
58908.33642360009,-0.8828579967767579,13.176213230921885,ztfg
58908.337314799894,-1.2349586886704425,14.522007828912987,ztfg
58908.451481500175,0.4258238726356407,13.157551550865081,ztfr
58908.45283559989,-0.16316343670765932,13.828195984027344,ztfr
58909.27603009995,1.0128894767724288,30.76349869322096,ztfg
58911.39759259997,-3.9338254623240205,16.981950758799982,ztfg
58911.39849539986,-3.6226289199517727,16.217406560626934,ztfg
58911.4499884001,-0.5886089624304881,20.617715764656065,ztfr
58911.45089119999,-1.109621828068343,21.98700213949622,ztfr
58912.27390050003,-4.073236771855003,22.722613533669154,ztfg
58913.332245400175,0.626493732761482,18.212830959737683,ztfg
58913.443935200106,3.072611066172151,18.698604918769792,ztfr
58914.37690970022,2.038864115175274,22.44477279518542,ztfr
58914.37925929995,-3.7634293805729198,20.677445974297267,ztfr
58914.422002300154,-8.212261108896868,25.036797129749413,ztfg
58914.422905100044,0.07312223600064173,22.521428768486775,ztfg
58915.40184029983,-16.180199677318353,32.25883140575373,ztfr
58915.442592599895,1.8653974745272044,36.78963808028504,ztfg
58936.3129166998,-5.350493147840419,10.97052403956787,ztfg
58936.39976850012,-7.125340867526244,15.974626630349647,ztfr
58936.40067130001,-5.101762893037412,15.05868166966828,ztfr
58939.31342589995,-11.519537943254987,26.260246172429937,ztfg
58939.37199069979,6.317588130953499,37.33097591351945,ztfr
58939.37288190005,-7.028021213807856,37.908137107477344,ztfr
58940.235682900064,1.647520873500937,114.17358158883202,ztfr
58940.236585599836,40.571913742736214,168.89759019829606,ztfr
58940.358009300195,11.302146120193203,169.33501985139242,ztfg
58940.35891199997,1.5977025697772178,157.36559114130142,ztfg
58941.267222200055,2.1842630411283075,19.404731493681904,ztfg
58941.37366899988,6.951067347025037,16.95306378759763,ztfr
58944.24766199989,-6.291436431799701,43.069670042458945,ztfg
58944.34056709986,6.503022336220537,33.664189956903,ztfr
58954.255347200204,-1.6359492049941848,12.541328765976319,ztfr
58955.25254630018,2.6629343362827216,14.042970227830438,ztfr
58955.26865739981,-9.102976835208068,14.551964683600914,ztfr
58955.29603009997,-7.411763094243762,13.589438729668961,ztfg
58955.29925929988,-9.06039382709328,12.237735284995605,ztfg
58956.24640050018,-2.738820250980797,10.018982991799524,ztfg
58956.29827550007,-0.46866750785814876,17.25628315984687,ztfr
58962.230682900175,-5.664134594158557,11.620864406127664,ztfg
58962.23158559995,1.6399321296467917,11.572062236360543,ztfg
58962.27893520007,-3.957945319554798,14.073423999707872,ztfr
58962.27983799996,-4.041241057478537,14.350871325898733,ztfr
58963.22314810008,0.9000163168963762,11.269871906650302,ztfg
58964.18918980006,-3.4351912530074404,11.797918327693997,ztfg
