mjd,f,ef,band
58901.61,21.5,6.5,o
58903.66,-20.25,9.12,c
58905.65,-19.17,4.22,o
58911.61,13.2,13.42,c
58913.64,13.75,4.25,o
58917.58,22.67,10.39,o
58933.59,8.75,4.5,o
58947.61,27.5,12.25,o
58948.56,-2.75,9.75,o
58951.59,14.5,13.0,o
58953.57,18.0,65.0,o
58957.57,13.0,5.58,o
58959.59,-14.75,4.62,c
58961.55,0.5,5.62,o
58965.48,-7.67,7.12,o
58967.52,-11.0,4.62,c
58969.55,-2.0,6.54,o
58971.58,-2.0,4.56,c
58973.46,0.0,7.7,o
58975.44,35.75,10.12,o
58977.58,23.25,9.38,o
58979.53,2.25,9.0,o
58981.49,3.0,8.75,o
58983.48,-21.5,6.75,o
58985.52,24.0,4.38,o
58987.5,-16.25,4.12,c
58989.38,11.75,4.62,o
58991.58,23.67,5.39,c
58993.49,48.0,13.38,o
58995.49,88.5,4.75,c
58999.43,349.0,7.51,o
59000.47,364.5,9.55,o
59001.49,384.2,6.44,o
59003.45,405.0,9.38,o
59005.39,425.5,11.38,o
59007.45,416.33,11.55,o
59009.45,400.67,9.05,o
59013.46,329.0,5.62,o
59015.42,191.5,3.67,c
59017.43,270.5,6.0,o
59021.44,204.25,5.25,o
59023.45,110.25,4.38,c
59025.4,185.5,4.88,o
59027.42,68.25,4.75,c
59029.41,126.0,5.75,o
59031.4,93.0,9.0,o
59033.41,134.0,8.12,o
59035.42,111.5,11.12,o
59037.37,108.75,6.75,o
59039.36,114.5,5.62,o
59041.41,80.75,5.25,o
59043.45,68.0,9.55,o
59045.42,88.0,79.0,o
59047.4,57.75,5.5,c
59051.41,30.33,5.39,c
59053.34,103.0,5.0,o
59059.39,79.25,8.25,o
59061.32,60.5,6.38,o
59063.3,37.67,55.62,o
59065.37,69.0,12.37,o
59069.3,60.67,4.81,o
59071.31,25.33,5.77,c
59073.39,56.67,5.77,o
59075.35,22.0,5.0,c
59077.34,40.0,4.38,o
59079.29,35.33,4.62,c
59083.28,27.25,4.5,c
59085.28,69.75,6.0,o
59087.29,43.25,6.38,o
59089.34,45.0,6.88,o
59093.3,47.25,7.12,o
59095.25,59.0,18.0,o
59097.33,42.0,12.73,o
58198.42104170006,5.168938046945198,4.233784337486529,ztfr
58198.45462960005,2.4966340633627198,4.207145492264675,ztfr
58198.46516200015,0.2584216637216344,3.9748883195253617,ztfr
58198.494756899774,12.737600892596523,3.907277312185367,ztfr
58198.4957059999,-0.543783634575991,3.8095759134188834,ztfr
58198.51873840019,4.333432284269649,4.169288314483859,ztfr
