name z ra dec 
2020itj 0.033 218.701639922 8.16956133833
time flux flux_err zp band mag_sys 
58956.476009 35.0 9.0 23.9 ATLAS_o AB 
58960.50241 126.0 14.0 23.9 ATLAS_o AB 
58968.482465 37.0 10.0 23.9 ATLAS_o AB 
58969.396722 39.0 11.0 23.9 ATLAS_o AB 
58969.417886 36.0 11.0 23.9 ATLAS_o AB 
58969.527601 54.0 11.0 23.9 ATLAS_o AB 
58971.464461 42.0 14.0 23.9 ATLAS_o AB 
58971.473563 49.0 16.0 23.9 ATLAS_o AB 
58972.35489 74.0 15.0 23.9 ATLAS_o AB 
58972.361374 88.0 16.0 23.9 ATLAS_o AB 
58973.375289 70.0 15.0 23.9 ATLAS_o AB 
58977.448135 148.0 30.0 23.9 ATLAS_o AB 
58977.450941 123.0 29.0 23.9 ATLAS_o AB 
58977.473356 151.0 26.0 23.9 ATLAS_o AB 
58980.422325 104.0 13.0 23.9 ATLAS_o AB 
58981.417067 86.0 13.0 23.9 ATLAS_o AB 
58981.425321 97.0 16.0 23.9 ATLAS_o AB 
58981.428616 56.0 15.0 23.9 ATLAS_o AB 
58981.438603 84.0 14.0 23.9 ATLAS_o AB 
58982.432427 108.0 13.0 23.9 ATLAS_o AB 
58982.435639 78.0 12.0 23.9 ATLAS_o AB 
58982.441167 70.0 15.0 23.9 ATLAS_o AB 
58982.476504 102.0 17.0 23.9 ATLAS_o AB 
58983.378316 92.0 10.0 23.9 ATLAS_c AB 
58983.381982 86.0 10.0 23.9 ATLAS_c AB 
58983.391151 84.0 9.0 23.9 ATLAS_c AB 
58983.426568 93.0 12.0 23.9 ATLAS_c AB 
58984.44303 96.0 10.0 23.9 ATLAS_o AB 
58984.446743 103.0 10.0 23.9 ATLAS_o AB 
58984.453204 103.0 11.0 23.9 ATLAS_o AB 
58984.464767 85.0 14.0 23.9 ATLAS_o AB 
58986.428762 100.0 9.0 23.9 ATLAS_c AB 
58986.432423 84.0 9.0 23.9 ATLAS_c AB 
58986.442736 55.0 10.0 23.9 ATLAS_c AB 
58986.448864 79.0 10.0 23.9 ATLAS_c AB 
58988.409954 92.0 10.0 23.9 ATLAS_o AB 
58988.412719 77.0 10.0 23.9 ATLAS_o AB 
58988.41918 79.0 9.0 23.9 ATLAS_o AB 
58988.431189 102.0 8.0 23.9 ATLAS_o AB 
58990.379438 42.0 9.0 23.9 ATLAS_c AB 
58990.384067 64.0 8.0 23.9 ATLAS_c AB 
58990.389558 65.0 8.0 23.9 ATLAS_c AB 
58990.423762 63.0 8.0 23.9 ATLAS_c AB 
58992.394633 64.0 11.0 23.9 ATLAS_o AB 
58992.397857 67.0 10.0 23.9 ATLAS_o AB 
58992.405237 58.0 11.0 23.9 ATLAS_o AB 
58992.416075 48.0 11.0 23.9 ATLAS_o AB 
58994.397522 45.0 9.0 23.9 ATLAS_c AB 
58994.404102 40.0 9.0 23.9 ATLAS_c AB 
58995.412752 29.0 9.0 23.9 ATLAS_c AB 
58995.415963 26.0 8.0 23.9 ATLAS_c AB 
58995.431869 41.0 10.0 23.9 ATLAS_c AB 
58995.450456 40.0 9.0 23.9 ATLAS_c AB 
58999.388878 61.0 12.0 23.9 ATLAS_o AB 
58999.394292 38.0 11.0 23.9 ATLAS_o AB 
58999.417452 49.0 13.0 23.9 ATLAS_o AB 
59000.355449 57.0 15.0 23.9 ATLAS_o AB 
59000.390753 48.0 13.0 23.9 ATLAS_o AB 
59000.399683 44.0 12.0 23.9 ATLAS_o AB 
59006.398309 102.0 25.0 23.9 ATLAS_o AB 
59007.340426 67.0 17.0 23.9 ATLAS_o AB 
59010.392654 66.0 12.0 23.9 ATLAS_o AB 
59010.416535 42.0 14.0 23.9 ATLAS_o AB 
59013.35309 33.0 10.0 23.9 ATLAS_o AB 
59013.35781 37.0 8.0 23.9 ATLAS_o AB 
59013.369589 40.0 10.0 23.9 ATLAS_o AB 
59013.374888 49.0 8.0 23.9 ATLAS_o AB 
59016.357052 63.0 17.0 23.9 ATLAS_o AB 
59016.360292 44.0 14.0 23.9 ATLAS_o AB 
59020.345211 30.0 8.0 23.9 ATLAS_o AB 
59020.352574 56.0 12.0 23.9 ATLAS_o AB 
59022.335998 36.0 9.0 23.9 ATLAS_c AB 
59022.341123 29.0 7.0 23.9 ATLAS_c AB 
59025.307287 38.0 11.0 23.9 ATLAS_o AB 
59026.393577 25.0 8.0 23.9 ATLAS_c AB 
59034.357539 72.0 21.0 23.9 ATLAS_o AB 
59038.300243 30.0 9.0 23.9 ATLAS_o AB 
59040.348313 28.0 9.0 23.9 ATLAS_o AB 
