name z ra dec 
2020itj 0.033 218.701639922 8.16956133833
time flux flux_err zp band mag_sys 
58961.40271990001 174.342744928514 44.457067892075 25.9793 ZTF_r AB 
58961.40596059989 151.117382195055 36.5000443750599 25.9598 ZTF_r AB 
58963.32819439983 105.057662055484 21.9403680673217 26.105 ZTF_g AB 
58963.32954860013 77.1408077353849 23.7309090853286 26.1041 ZTF_g AB 
58964.286631899886 116.177949703032 25.5675950193492 25.9819 ZTF_r AB 
58965.32805560017 118.130001298314 24.5424918415272 26.0007 ZTF_r AB 
58967.27402780019 121.588507249032 23.7387693668091 26.0952 ZTF_g AB 
58967.33738429984 175.419802496142 26.6650371411509 25.9881 ZTF_r AB 
58967.353379600216 228.74430007059 28.6381283740084 26.0002 ZTF_r AB 
58970.293599499855 235.274344411646 31.9257444001113 26.1296 ZTF_g AB 
58970.29406249989 239.318817783042 32.7279107033484 26.1743 ZTF_g AB 
58970.35940970015 293.896743158162 26.2676574837211 26.0647 ZTF_r AB 
58970.3603356001 348.131440696507 28.2546017400402 26.0435 ZTF_r AB 
58973.25143520022 323.53560772492 59.0133071928843 26.0913 ZTF_g AB 
58973.25190970022 411.609490175886 56.6701716866695 26.135 ZTF_g AB 
58973.29399310006 510.773155048405 52.2445518507529 26.0252 ZTF_r AB 
58973.315266199876 481.032411387927 52.5549314555107 26.0561 ZTF_r AB 
58976.20493059978 645.481194415964 115.007678092652 26.0949 ZTF_g AB 
58976.20540509978 490.874936794898 131.429115241151 26.0708 ZTF_g AB 
58976.29370369995 666.24855608866 100.013238114442 26.0351 ZTF_r AB 
58976.31383100012 515.156873748816 126.496033203746 26.0009 ZTF_r AB 
58979.2487269002 604.115484267573 34.455801650069 25.9749 ZTF_g AB 
58979.268912000116 637.869391143864 44.3608989277179 26.093 ZTF_g AB 
58979.297557900194 626.230259779406 48.914915870066 25.9829 ZTF_r AB 
58979.2980324002 769.381901256266 43.5462862958084 26.0089 ZTF_r AB 
58985.27239579987 750.197413219397 27.6694105918232 26.024 ZTF_r AB 
58985.29137729993 684.936092150516 26.3376659861346 26.0119 ZTF_r AB 
58985.29399310006 478.575081261047 25.5627815448195 26.1263 ZTF_g AB 
58991.271006899886 583.799797644284 29.3925877613197 26.0358 ZTF_r AB 
58991.295080999844 322.134694357403 24.4963048227223 26.1574 ZTF_g AB 
58991.29601849988 274.736938115598 26.7342596287808 26.1107 ZTF_g AB 
58994.25148149999 234.003373178933 23.3083455580689 26.1259 ZTF_g AB 
58994.27371530002 458.620861473141 27.0736304999021 26.0057 ZTF_r AB 
58995.25457180012 456.504631253123 24.0436651910098 26.0367 ZTF_r AB 
58995.30083330022 214.047942010799 27.1608101644292 26.1405 ZTF_g AB 
58997.21045139991 163.23728406938 28.4000652531631 26.1139 ZTF_g AB 
58998.26541669993 372.370177059347 27.1089730010177 26.0283 ZTF_r AB 
58998.270092600025 349.469684263595 28.0429402974403 26.0072 ZTF_r AB 
58998.2747105998 390.864368569181 24.7342128262979 26.0114 ZTF_r AB 
58998.337789400015 160.11390135544 22.4124337085635 26.1086 ZTF_g AB 
59000.257129599806 195.290881970696 36.4324862657752 26.119 ZTF_g AB 
59001.231898100115 359.365483849367 49.8945363979923 25.9906 ZTF_r AB 
59001.371354199946 196.17303266899 48.901068525218 26.01 ZTF_g AB 
59004.250752300024 527.426408678024 85.6962201137509 26.0566 ZTF_r AB 
59009.20053240005 232.05604325999 37.1294636422969 26.07 ZTF_r AB 
59009.21149310004 178.844826539497 40.7564662514908 26.0888 ZTF_r AB 
59012.193669000175 118.523768976926 24.0463503883908 26.2528 ZTF_g AB 
59012.19509259984 100.315655189421 22.728784056953 26.1673 ZTF_g AB 
59012.23128469987 242.033240498946 28.5397805517153 26.0788 ZTF_r AB 
59012.2327083 228.418078794557 26.0168740930665 26.0765 ZTF_r AB 
59015.21358799981 261.184749937861 28.1406302851443 26.0187 ZTF_r AB 
59016.19929399993 112.59513635301 24.5447492005268 26.23 ZTF_g AB 
59016.237499999814 208.42497662878 34.4380638366588 25.9688 ZTF_r AB 
59018.201307899784 100.876635640224 21.3443528673857 26.1626 ZTF_g AB 
59019.21324069984 220.397885309012 25.6745863558416 26.0548 ZTF_r AB 
59019.255659699906 92.8614226355715 22.4509328203091 26.1443 ZTF_g AB 
59021.23577550007 162.515889467803 26.2336585278575 26.0349 ZTF_r AB 
59022.20129630016 100.714535893801 22.4504941696309 26.204 ZTF_g AB 
59022.2200230998 202.406564609288 22.4088047999164 26.0756 ZTF_r AB 
59024.20158560015 81.5524915550559 23.6056970591923 26.1474 ZTF_g AB 
59024.21369209979 164.485223281043 27.1160870419564 25.8184 ZTF_r AB 
59025.18898149999 200.864268111506 24.8191520289411 25.8571 ZTF_r AB 
59025.22847220022 99.3517897091347 20.4213155855075 25.9096 ZTF_g AB 
59027.25494210003 157.238940591665 37.1947190198924 25.9236 ZTF_r AB 
59028.21453699982 172.069012712197 38.5222792064251 25.9764 ZTF_r AB 
59031.21156249987 168.610303624606 56.0298042796475 25.9635 ZTF_r AB 
59036.278252299875 194.225676647518 60.922550236567 26.0249 ZTF_r AB 
59037.19126159977 118.599103833468 37.3298607954174 26.032 ZTF_r AB 
59039.22893519979 167.655933749232 26.174592630604 26.0598 ZTF_r AB 
59040.19853009982 166.891749908173 28.2597895033158 26.058 ZTF_r AB 
59042.195717600174 78.1166539206696 22.2885095514597 26.0521 ZTF_g AB 
59042.2125694002 116.27675109433 28.5889115415859 25.988 ZTF_r AB 
59043.23436339991 111.929513317078 32.7505237555019 25.9638 ZTF_r AB 
59044.213703699876 107.159570061528 31.4464237162876 26.0433 ZTF_r AB 
59045.19298609998 80.0320066892862 25.2218955300825 26.0556 ZTF_r AB 
59046.19047449995 121.200311856309 31.5585364798902 26.0738 ZTF_r AB 
59048.186145800166 174.313233372162 33.500542348063 26.0645 ZTF_r AB 
59050.25738430023 160.66628362382 47.3985898728839 25.9928 ZTF_r AB 
59051.192546300124 89.3201145184528 27.2487869579617 26.0436 ZTF_r AB 
59051.19488430023 95.5283991523979 31.4367557426234 26.019 ZTF_r AB 
59052.2436573999 119.761314674733 28.2398675710778 26.0193 ZTF_r AB 
59053.18621530011 164.641057302616 25.4432432356904 26.069 ZTF_r AB 
59053.18667820003 112.640657153786 26.1664840220189 26.0539 ZTF_r AB 
59078.170555599965 103.886547296184 33.3617445793395 25.9051 ZTF_r AB 
