name z ra dec 
2020jfo 0.00502 185.460333 4.481681
time flux flux_err zp band mag_sys 
58976.426942 3423.0 34.0 23.9 ATLAS_o AB 
58976.429719 3500.0 38.0 23.9 ATLAS_o AB 
58976.435244 3428.0 39.0 23.9 ATLAS_o AB 
58976.470897 3437.0 58.0 23.9 ATLAS_o AB 
58978.447025 4921.0 34.0 23.9 ATLAS_o AB 
58978.450717 5168.0 36.0 23.9 ATLAS_o AB 
58978.456691 5261.0 38.0 23.9 ATLAS_o AB 
58978.466919 5056.0 31.0 23.9 ATLAS_o AB 
58980.345694 5578.0 86.0 23.9 ATLAS_o AB 
58980.354915 5597.0 30.0 23.9 ATLAS_o AB 
58980.367393 5875.0 88.0 23.9 ATLAS_o AB 
58982.360275 5712.0 27.0 23.9 ATLAS_c AB 
58982.364045 5718.0 26.0 23.9 ATLAS_c AB 
58982.381285 5680.0 26.0 23.9 ATLAS_c AB 
58982.387906 5659.0 26.0 23.9 ATLAS_c AB 
58984.391279 5322.0 26.0 23.9 ATLAS_o AB 
58984.394122 5088.0 27.0 23.9 ATLAS_o AB 
58984.394582 5445.0 29.0 23.9 ATLAS_o AB 
58984.398748 5438.0 29.0 23.9 ATLAS_o AB 
58984.404272 5369.0 26.0 23.9 ATLAS_o AB 
58984.405197 5439.0 28.0 23.9 ATLAS_o AB 
58984.4098 4906.0 31.0 23.9 ATLAS_o AB 
58984.41533 5351.0 28.0 23.9 ATLAS_o AB 
58986.359093 5101.0 24.0 23.9 ATLAS_c AB 
58986.362802 5118.0 24.0 23.9 ATLAS_c AB 
58986.367953 5126.0 25.0 23.9 ATLAS_c AB 
58986.379502 5068.0 25.0 23.9 ATLAS_c AB 
58988.347609 5330.0 26.0 23.9 ATLAS_o AB 
58988.350836 5160.0 27.0 23.9 ATLAS_o AB 
58988.355941 5166.0 25.0 23.9 ATLAS_o AB 
58988.356401 5374.0 29.0 23.9 ATLAS_o AB 
58988.359627 5268.0 29.0 23.9 ATLAS_o AB 
58988.366075 5418.0 29.0 23.9 ATLAS_o AB 
58988.367456 5033.0 28.0 23.9 ATLAS_o AB 
58988.377134 5438.0 28.0 23.9 ATLAS_o AB 
58990.316544 5053.0 25.0 23.9 ATLAS_c AB 
58990.319762 5014.0 25.0 23.9 ATLAS_c AB 
58990.326273 4920.0 24.0 23.9 ATLAS_c AB 
58990.341463 4996.0 24.0 23.9 ATLAS_c AB 
58992.337158 5381.0 26.0 23.9 ATLAS_o AB 
58992.340876 5331.0 26.0 23.9 ATLAS_o AB 
58992.347351 5355.0 26.0 23.9 ATLAS_o AB 
58992.357491 5358.0 26.0 23.9 ATLAS_o AB 
58994.344007 4610.0 24.0 23.9 ATLAS_c AB 
58994.34678 4554.0 23.0 23.9 ATLAS_c AB 
58994.354224 4610.0 24.0 23.9 ATLAS_c AB 
58994.373624 4547.0 25.0 23.9 ATLAS_c AB 
58996.315493 5888.0 289.0 23.9 ATLAS_o AB 
58996.336411 5268.0 38.0 23.9 ATLAS_o AB 
58996.344306 5042.0 47.0 23.9 ATLAS_o AB 
58996.369155 5211.0 31.0 23.9 ATLAS_o AB 
58998.303588 5267.0 29.0 23.9 ATLAS_o AB 
58998.306363 5323.0 28.0 23.9 ATLAS_o AB 
58998.313286 5253.0 30.0 23.9 ATLAS_o AB 
58998.329083 5305.0 27.0 23.9 ATLAS_o AB 
59004.323606 4912.0 30.0 23.9 ATLAS_o AB 
59004.327754 5042.0 32.0 23.9 ATLAS_o AB 
59004.333277 4954.0 31.0 23.9 ATLAS_o AB 
59004.343487 4986.0 31.0 23.9 ATLAS_o AB 
59005.341121 5115.0 37.0 23.9 ATLAS_o AB 
59005.346306 5151.0 38.0 23.9 ATLAS_o AB 
59005.349966 5076.0 39.0 23.9 ATLAS_o AB 
59005.365723 5056.0 39.0 23.9 ATLAS_o AB 
59006.293859 5105.0 30.0 23.9 ATLAS_o AB 
59006.297075 5071.0 32.0 23.9 ATLAS_o AB 
59006.302577 4996.0 28.0 23.9 ATLAS_o AB 
59006.314487 4993.0 32.0 23.9 ATLAS_o AB 
59008.334055 4935.0 267.0 23.9 ATLAS_o AB 
59008.337315 4976.0 142.0 23.9 ATLAS_o AB 
59008.34378 4982.0 32.0 23.9 ATLAS_o AB 
59008.36188 3819.0 543.0 23.9 ATLAS_o AB 
59010.315192 5055.0 27.0 23.9 ATLAS_o AB 
59010.318502 5006.0 27.0 23.9 ATLAS_o AB 
59010.324944 5068.0 27.0 23.9 ATLAS_o AB 
59010.336081 5036.0 26.0 23.9 ATLAS_o AB 
59016.294281 4751.0 26.0 23.9 ATLAS_o AB 
59016.297503 4762.0 28.0 23.9 ATLAS_o AB 
59016.303045 4810.0 29.0 23.9 ATLAS_o AB 
59016.317333 4810.0 35.0 23.9 ATLAS_o AB 
59020.279704 4599.0 25.0 23.9 ATLAS_o AB 
59020.282938 4546.0 30.0 23.9 ATLAS_o AB 
59020.288487 4614.0 27.0 23.9 ATLAS_o AB 
59020.301428 4572.0 45.0 23.9 ATLAS_o AB 
59022.269589 3109.0 21.0 23.9 ATLAS_c AB 
59022.273764 3148.0 21.0 23.9 ATLAS_c AB 
59022.279779 3124.0 22.0 23.9 ATLAS_c AB 
59022.292689 3154.0 21.0 23.9 ATLAS_c AB 
59024.256628 4362.0 25.0 23.9 ATLAS_o AB 
59024.261784 4298.0 26.0 23.9 ATLAS_o AB 
59024.265025 4341.0 26.0 23.9 ATLAS_o AB 
59024.27933 4350.0 25.0 23.9 ATLAS_o AB 
59026.259864 4401.0 31.0 23.9 ATLAS_o AB 
59026.263532 4251.0 28.0 23.9 ATLAS_o AB 
59026.26903 4547.0 30.0 23.9 ATLAS_o AB 
59026.279601 4385.0 28.0 23.9 ATLAS_o AB 
59030.255093 4201.0 38.0 23.9 ATLAS_o AB 
59030.258311 3966.0 36.0 23.9 ATLAS_o AB 
59030.264757 4139.0 38.0 23.9 ATLAS_o AB 
59032.288145 3617.0 30.0 23.9 ATLAS_o AB 
59032.291367 3680.0 28.0 23.9 ATLAS_o AB 
59032.296992 3684.0 31.0 23.9 ATLAS_o AB 
59032.30715 3612.0 27.0 23.9 ATLAS_o AB 
59032.307609 3644.0 34.0 23.9 ATLAS_o AB 
59034.29221 3509.0 40.0 23.9 ATLAS_o AB 
59034.296327 3379.0 42.0 23.9 ATLAS_o AB 
59034.301857 3327.0 35.0 23.9 ATLAS_o AB 
59034.312498 3459.0 41.0 23.9 ATLAS_o AB 
59036.249734 3070.0 29.0 23.9 ATLAS_o AB 
59036.252982 3059.0 25.0 23.9 ATLAS_o AB 
59036.260824 3013.0 24.0 23.9 ATLAS_o AB 
59036.262732 3059.0 30.0 23.9 ATLAS_o AB 
59036.271643 3103.0 24.0 23.9 ATLAS_o AB 
59040.282616 1888.0 22.0 23.9 ATLAS_o AB 
59040.285848 1842.0 20.0 23.9 ATLAS_o AB 
59040.29322 1832.0 22.0 23.9 ATLAS_o AB 
59040.302984 1935.0 22.0 23.9 ATLAS_o AB 
59042.284841 721.0 17.0 23.9 ATLAS_c AB 
