name z ra dec 
2020jgl 0.006758 142.243442219 -14.8055223401
time flux flux_err zp band mag_sys 
58961.308653 42.0 13.0 23.9 ATLAS_c AB 
58975.282741 75.0 24.0 23.9 ATLAS_o AB 
58975.303496 104.0 22.0 23.9 ATLAS_o AB 
58976.287838 199.0 28.0 23.9 ATLAS_o AB 
58976.293856 242.0 25.0 23.9 ATLAS_o AB 
58976.299846 224.0 24.0 23.9 ATLAS_o AB 
58976.310008 218.0 25.0 23.9 ATLAS_o AB 
58979.308055 1290.0 17.0 23.9 ATLAS_o AB 
58979.313588 1296.0 17.0 23.9 ATLAS_o AB 
58979.325132 1273.0 19.0 23.9 ATLAS_o AB 
58979.329295 1304.0 21.0 23.9 ATLAS_o AB 
58982.26857 3888.0 23.0 23.9 ATLAS_c AB 
58982.271819 3874.0 25.0 23.9 ATLAS_c AB 
58982.278244 3919.0 24.0 23.9 ATLAS_c AB 
58982.288451 3910.0 25.0 23.9 ATLAS_c AB 
58983.259588 4528.0 27.0 23.9 ATLAS_o AB 
58983.262817 4550.0 26.0 23.9 ATLAS_o AB 
58983.268806 4461.0 27.0 23.9 ATLAS_o AB 
58983.28217 4548.0 26.0 23.9 ATLAS_o AB 
58984.275803 5656.0 27.0 23.9 ATLAS_o AB 
58984.277645 5502.0 29.0 23.9 ATLAS_o AB 
58984.279035 5503.0 29.0 23.9 ATLAS_o AB 
58984.280878 5476.0 30.0 23.9 ATLAS_o AB 
58984.285042 5536.0 31.0 23.9 ATLAS_o AB 
58984.286884 5608.0 30.0 23.9 ATLAS_o AB 
58984.296151 5592.0 29.0 23.9 ATLAS_o AB 
58986.278885 7997.0 30.0 23.9 ATLAS_c AB 
58986.282131 7981.0 30.0 23.9 ATLAS_c AB 
58986.289023 8181.0 30.0 23.9 ATLAS_c AB 
58986.300953 8008.0 32.0 23.9 ATLAS_c AB 
58988.244823 8325.0 34.0 23.9 ATLAS_o AB 
58988.247592 8498.0 33.0 23.9 ATLAS_o AB 
58988.253158 8529.0 34.0 23.9 ATLAS_o AB 
58988.254078 8372.0 31.0 23.9 ATLAS_o AB 
58988.257301 8279.0 34.0 23.9 ATLAS_o AB 
58988.263761 8520.0 33.0 23.9 ATLAS_o AB 
58988.266064 8580.0 33.0 23.9 ATLAS_o AB 
58988.273947 8514.0 34.0 23.9 ATLAS_o AB 
58990.250632 10874.0 35.0 23.9 ATLAS_c AB 
58990.254322 10836.0 35.0 23.9 ATLAS_c AB 
58990.26124 10854.0 35.0 23.9 ATLAS_c AB 
58990.271424 10968.0 34.0 23.9 ATLAS_c AB 
58992.242486 9354.0 41.0 23.9 ATLAS_o AB 
58992.245708 9221.0 37.0 23.9 ATLAS_o AB 
58992.253542 9327.0 34.0 23.9 ATLAS_o AB 
58992.254463 8573.0 35.0 23.9 ATLAS_o AB 
58992.257691 9270.0 34.0 23.9 ATLAS_o AB 
58992.264609 9220.0 37.0 23.9 ATLAS_o AB 
58994.253406 9733.0 36.0 23.9 ATLAS_o AB 
58994.260324 9531.0 35.0 23.9 ATLAS_o AB 
58994.280631 9700.0 36.0 23.9 ATLAS_o AB 
58994.28936 9545.0 36.0 23.9 ATLAS_o AB 
58997.254986 9677.0 48.0 23.9 ATLAS_o AB 
58997.258193 9140.0 43.0 23.9 ATLAS_o AB 
58997.26375 9130.0 119.0 23.9 ATLAS_o AB 
58997.274794 9021.0 149.0 23.9 ATLAS_o AB 
59000.272007 7634.0 36.0 23.9 ATLAS_o AB 
59000.276171 7654.0 34.0 23.9 ATLAS_o AB 
59000.28261 7641.0 34.0 23.9 ATLAS_o AB 
59000.294141 7662.0 34.0 23.9 ATLAS_o AB 
59005.248729 5440.0 63.0 23.9 ATLAS_o AB 
59005.253357 5466.0 44.0 23.9 ATLAS_o AB 
59005.258922 5557.0 46.0 23.9 ATLAS_o AB 
59005.26909 5474.0 56.0 23.9 ATLAS_o AB 
59010.249691 5240.0 38.0 23.9 ATLAS_o AB 
59010.252905 5279.0 35.0 23.9 ATLAS_o AB 
59010.258411 5361.0 33.0 23.9 ATLAS_o AB 
59010.268986 5280.0 28.0 23.9 ATLAS_o AB 
