name z ra dec 
2020jhf 0.015371 198.722667 27.008639
time flux flux_err zp band mag_sys 
58975.370592 88.0 23.0 23.9 ATLAS_o AB 
58977.425874 204.0 15.0 23.9 ATLAS_o AB 
58977.431892 210.0 15.0 23.9 ATLAS_o AB 
58977.435113 172.0 19.0 23.9 ATLAS_o AB 
58977.461511 180.0 19.0 23.9 ATLAS_o AB 
58979.416534 470.0 16.0 23.9 ATLAS_o AB 
58979.419736 466.0 17.0 23.9 ATLAS_o AB 
58979.437833 471.0 18.0 23.9 ATLAS_o AB 
58979.457083 555.0 19.0 23.9 ATLAS_o AB 
58981.375001 933.0 14.0 23.9 ATLAS_o AB 
58981.389109 923.0 14.0 23.9 ATLAS_o AB 
58981.394648 868.0 15.0 23.9 ATLAS_o AB 
58981.398748 921.0 13.0 23.9 ATLAS_o AB 
58983.339911 1412.0 15.0 23.9 ATLAS_c AB 
58983.343132 1404.0 14.0 23.9 ATLAS_c AB 
58983.348649 1414.0 14.0 23.9 ATLAS_c AB 
58983.361267 1426.0 15.0 23.9 ATLAS_c AB 
58985.383909 1840.0 19.0 23.9 ATLAS_o AB 
58985.389717 1780.0 16.0 23.9 ATLAS_o AB 
58985.393426 1776.0 17.0 23.9 ATLAS_o AB 
58985.418955 1804.0 16.0 23.9 ATLAS_o AB 
58987.414778 2172.0 18.0 23.9 ATLAS_c AB 
58987.417561 2203.0 19.0 23.9 ATLAS_c AB 
58987.42358 2263.0 19.0 23.9 ATLAS_c AB 
58987.424494 2218.0 18.0 23.9 ATLAS_c AB 
58987.442948 2339.0 18.0 23.9 ATLAS_c AB 
58987.443405 2178.0 19.0 23.9 ATLAS_c AB 
58989.325161 2251.0 18.0 23.9 ATLAS_o AB 
58989.330289 2177.0 17.0 23.9 ATLAS_o AB 
58989.333972 2187.0 16.0 23.9 ATLAS_o AB 
58989.349279 2180.0 17.0 23.9 ATLAS_o AB 
58993.381099 2227.0 19.0 23.9 ATLAS_o AB 
58993.384328 2222.0 16.0 23.9 ATLAS_o AB 
58993.394122 2235.0 19.0 23.9 ATLAS_o AB 
58993.415373 2166.0 20.0 23.9 ATLAS_o AB 
58995.388962 2522.0 18.0 23.9 ATLAS_c AB 
58995.393083 2515.0 18.0 23.9 ATLAS_c AB 
58995.403054 2462.0 18.0 23.9 ATLAS_c AB 
58995.408565 2525.0 18.0 23.9 ATLAS_c AB 
58997.326363 1983.0 18.0 23.9 ATLAS_o AB 
58997.336482 1960.0 18.0 23.9 ATLAS_o AB 
58997.339708 1963.0 18.0 23.9 ATLAS_o AB 
58997.344961 1973.0 20.0 23.9 ATLAS_o AB 
58999.309371 1790.0 19.0 23.9 ATLAS_o AB 
58999.312483 1787.0 19.0 23.9 ATLAS_o AB 
58999.318436 1750.0 18.0 23.9 ATLAS_o AB 
58999.349167 1727.0 20.0 23.9 ATLAS_o AB 
59001.362287 1490.0 23.0 23.9 ATLAS_o AB 
59001.365078 1498.0 20.0 23.9 ATLAS_o AB 
59001.387687 1475.0 20.0 23.9 ATLAS_o AB 
59001.395763 1446.0 19.0 23.9 ATLAS_o AB 
59003.382726 1302.0 22.0 23.9 ATLAS_o AB 
59003.385951 1342.0 21.0 23.9 ATLAS_o AB 
59003.391988 1297.0 25.0 23.9 ATLAS_o AB 
59003.402795 1368.0 25.0 23.9 ATLAS_o AB 
59005.313288 1039.0 21.0 23.9 ATLAS_o AB 
59005.31651 1216.0 17.0 23.9 ATLAS_o AB 
59005.327072 1225.0 20.0 23.9 ATLAS_o AB 
59005.335931 1211.0 21.0 23.9 ATLAS_o AB 
59007.312296 1194.0 18.0 23.9 ATLAS_o AB 
59007.315649 1187.0 20.0 23.9 ATLAS_o AB 
59007.321354 1173.0 19.0 23.9 ATLAS_o AB 
59007.34681 1252.0 20.0 23.9 ATLAS_o AB 
59009.336169 1212.0 22.0 23.9 ATLAS_o AB 
59009.338978 1191.0 25.0 23.9 ATLAS_o AB 
59009.345526 1175.0 24.0 23.9 ATLAS_o AB 
59009.360148 1129.0 44.0 23.9 ATLAS_o AB 
59013.330398 1164.0 14.0 23.9 ATLAS_o AB 
59013.335514 1140.0 14.0 23.9 ATLAS_o AB 
59013.346636 1150.0 14.0 23.9 ATLAS_o AB 
59013.359366 1174.0 15.0 23.9 ATLAS_o AB 
59017.315694 1041.0 17.0 23.9 ATLAS_o AB 
59017.320337 1040.0 14.0 23.9 ATLAS_o AB 
59017.327756 1072.0 14.0 23.9 ATLAS_o AB 
59017.339423 1083.0 15.0 23.9 ATLAS_o AB 
59019.317838 520.0 54.0 23.9 ATLAS_c AB 
59019.321981 534.0 52.0 23.9 ATLAS_c AB 
59021.27905 843.0 15.0 23.9 ATLAS_o AB 
59021.282274 850.0 15.0 23.9 ATLAS_o AB 
59021.298171 846.0 13.0 23.9 ATLAS_o AB 
59021.303962 826.0 13.0 23.9 ATLAS_o AB 
59023.269668 455.0 12.0 23.9 ATLAS_c AB 
59023.273331 473.0 12.0 23.9 ATLAS_c AB 
59023.2798 437.0 12.0 23.9 ATLAS_c AB 
59023.293875 462.0 12.0 23.9 ATLAS_c AB 
59025.277284 624.0 13.0 23.9 ATLAS_o AB 
59025.280201 665.0 13.0 23.9 ATLAS_o AB 
59025.286199 606.0 12.0 23.9 ATLAS_o AB 
59025.296846 650.0 13.0 23.9 ATLAS_o AB 
59027.288167 538.0 14.0 23.9 ATLAS_o AB 
59027.291381 559.0 12.0 23.9 ATLAS_o AB 
59027.297833 610.0 14.0 23.9 ATLAS_o AB 
59027.308274 573.0 15.0 23.9 ATLAS_o AB 
59029.297823 447.0 19.0 23.9 ATLAS_o AB 
59029.301049 544.0 17.0 23.9 ATLAS_o AB 
59029.309546 531.0 16.0 23.9 ATLAS_o AB 
59029.319974 545.0 51.0 23.9 ATLAS_o AB 
59031.270109 466.0 18.0 23.9 ATLAS_o AB 
59031.273311 520.0 18.0 23.9 ATLAS_o AB 
59031.291504 518.0 17.0 23.9 ATLAS_o AB 
59031.301164 483.0 17.0 23.9 ATLAS_o AB 
59033.317521 423.0 18.0 23.9 ATLAS_o AB 
59033.320744 435.0 18.0 23.9 ATLAS_o AB 
59033.326274 465.0 17.0 23.9 ATLAS_o AB 
59033.337838 459.0 16.0 23.9 ATLAS_o AB 
59035.31517 418.0 23.0 23.9 ATLAS_o AB 
59035.318403 402.0 25.0 23.9 ATLAS_o AB 
59035.324845 438.0 24.0 23.9 ATLAS_o AB 
59035.335903 470.0 27.0 23.9 ATLAS_o AB 
59037.255175 388.0 11.0 23.9 ATLAS_o AB 
59037.259006 363.0 10.0 23.9 ATLAS_o AB 
59037.264245 388.0 11.0 23.9 ATLAS_o AB 
59037.280971 364.0 11.0 23.9 ATLAS_o AB 
59039.255711 386.0 24.0 23.9 ATLAS_o AB 
59039.258913 364.0 18.0 23.9 ATLAS_o AB 
59039.265849 330.0 14.0 23.9 ATLAS_o AB 
59039.288428 308.0 16.0 23.9 ATLAS_o AB 
59041.286283 340.0 12.0 23.9 ATLAS_o AB 
59041.290425 366.0 11.0 23.9 ATLAS_o AB 
59041.297351 475.0 21.0 23.9 ATLAS_o AB 
59041.310273 328.0 12.0 23.9 ATLAS_o AB 
59043.32338 201.0 12.0 23.9 ATLAS_c AB 
59043.326619 209.0 18.0 23.9 ATLAS_c AB 
59043.333033 249.0 12.0 23.9 ATLAS_c AB 
59043.345006 239.0 11.0 23.9 ATLAS_c AB 
59047.296283 292.0 18.0 23.9 ATLAS_c AB 
59047.308234 203.0 13.0 23.9 ATLAS_c AB 
59047.318793 192.0 12.0 23.9 ATLAS_c AB 
59051.283265 208.0 11.0 23.9 ATLAS_c AB 
59051.286466 189.0 10.0 23.9 ATLAS_c AB 
59051.293818 202.0 11.0 23.9 ATLAS_c AB 
59051.303965 209.0 12.0 23.9 ATLAS_c AB 
59057.280278 170.0 13.0 23.9 ATLAS_o AB 
59057.283503 236.0 17.0 23.9 ATLAS_o AB 
59057.290879 192.0 13.0 23.9 ATLAS_o AB 
59057.304728 190.0 16.0 23.9 ATLAS_o AB 
59059.279271 185.0 17.0 23.9 ATLAS_o AB 
59059.282946 210.0 19.0 23.9 ATLAS_o AB 
59059.288448 228.0 22.0 23.9 ATLAS_o AB 
59059.299908 155.0 25.0 23.9 ATLAS_o AB 
59065.269465 144.0 27.0 23.9 ATLAS_o AB 
59065.273608 122.0 22.0 23.9 ATLAS_o AB 
59065.280973 125.0 25.0 23.9 ATLAS_o AB 
59065.2925 203.0 25.0 23.9 ATLAS_o AB 
59073.246672 138.0 14.0 23.9 ATLAS_o AB 
59073.252211 92.0 12.0 23.9 ATLAS_o AB 
59073.255893 157.0 11.0 23.9 ATLAS_o AB 
59073.267426 138.0 11.0 23.9 ATLAS_o AB 
59075.247582 95.0 22.0 23.9 ATLAS_c AB 
59075.2508 112.0 14.0 23.9 ATLAS_c AB 
59075.256303 120.0 12.0 23.9 ATLAS_c AB 
59075.267779 155.0 12.0 23.9 ATLAS_c AB 
59077.241695 100.0 19.0 23.9 ATLAS_o AB 
59077.245016 135.0 15.0 23.9 ATLAS_o AB 
59077.251944 116.0 14.0 23.9 ATLAS_o AB 
59077.26679 129.0 11.0 23.9 ATLAS_o AB 
59089.232995 126.0 39.0 23.9 ATLAS_o AB 
59089.239463 126.0 22.0 23.9 ATLAS_o AB 
59089.250073 104.0 19.0 23.9 ATLAS_o AB 
