time	flux	flux_err	mag	mag_err	zp	band
58970.39	0.0	0.0			-20.818	ZTF_g
58970.49	0.0	0.0			-20.818	ZTF_g
58970.59	0.0	0.0			-20.818	ZTF_g
58970.69	0.0	0.0			-20.818	ZTF_g
58970.79	0.0	0.0			-20.818	ZTF_g
58970.89	0.0	0.0			-20.818	ZTF_g
58970.99	0.0	0.0			-20.818	ZTF_g
58971.09	0.0	0.0			-20.818	ZTF_g
58971.19	0.0	0.0			-20.818	ZTF_g
58971.29	0.0	0.0			-20.818	ZTF_g
58971.39	0.0	0.0			-20.818	ZTF_g
58971.49	0.0	0.0			-20.818	ZTF_g
58971.59	0.0	0.0			-20.818	ZTF_g
58971.69	0.0	0.0			-20.818	ZTF_g
58971.79	0.0	0.0			-20.818	ZTF_g
58971.89	0.0	0.0			-20.818	ZTF_g
58971.99	-1.7553480117647925e-20	-2.7661865323786893e-21			-20.818	ZTF_g
58972.09	-2.0364824444043852e-19	-3.2021930097712345e-20			-20.818	ZTF_g
58972.19	-3.4720001881867775e-19	-5.447234029675622e-20			-20.818	ZTF_g
58972.29	-4.471675074149822e-19	-6.999655417107139e-20			-20.818	ZTF_g
58972.39	-5.030103119246391e-19	-7.855501651828833e-20			-20.818	ZTF_g
58972.49	-5.14950333636032e-19	-8.022935558848294e-20			-20.818	ZTF_g
58972.59	-4.842368309957506e-19	-7.52621886688704e-20			-20.818	ZTF_g
58972.69	-4.134146900174153e-19	-6.409674452672422e-20			-20.818	ZTF_g
58972.79	-3.065968622432552e-19	-4.74164065899534e-20			-20.818	ZTF_g
58972.89	-1.6974046414798988e-19	-2.6184052018806223e-20			-20.818	ZTF_g
58972.99	-1.0927085530147492e-20	-1.6812251581993843e-21			-20.818	ZTF_g
58973.09	1.5936553279598332e-19	2.4454872390073712e-20	26.176	0.167	-20.818	ZTF_g
58973.19	3.2826235678179843e-19	5.023666698412531e-20	25.391	0.166	-20.818	ZTF_g
58973.29	4.812382473300646e-19	7.344593302685749e-20	24.976	0.166	-20.818	ZTF_g
58973.39	6.032301081863966e-19	9.180736919090797e-20	24.731	0.165	-20.818	ZTF_g
58973.49	6.797832082719774e-19	1.0316462702740891e-19	24.601	0.165	-20.818	ZTF_g
