name z ra dec 
2020kjt 0.038 280.818572284 71.6768336908
time flux flux_err zp band mag_sys 
58966.367791 66.0 16.0 23.9 ATLAS_o AB 
58966.561274 68.0 12.0 23.9 ATLAS_o AB 
58968.522491 29.0 9.0 23.9 ATLAS_c AB 
58968.528459 32.0 10.0 23.9 ATLAS_c AB 
58968.534892 29.0 9.0 23.9 ATLAS_c AB 
58970.592148 50.0 12.0 23.9 ATLAS_o AB 
58972.606867 30.0 9.0 23.9 ATLAS_c AB 
58986.594896 45.0 10.0 23.9 ATLAS_o AB 
58990.489411 58.0 9.0 23.9 ATLAS_o AB 
58994.48397 58.0 13.0 23.9 ATLAS_o AB 
58994.505545 43.0 11.0 23.9 ATLAS_o AB 
58998.487318 45.0 12.0 23.9 ATLAS_o AB 
58998.491533 36.0 10.0 23.9 ATLAS_o AB 
