name z ra dec 
2020kku 0.085 263.14051208 15.7358797031
time flux flux_err zp band mag_sys 
58981.455167 48.0 15.0 23.9 ATLAS_o AB 
58985.470534 30.0 10.0 23.9 ATLAS_o AB 
58985.472374 42.0 10.0 23.9 ATLAS_o AB 
58985.475596 34.0 9.0 23.9 ATLAS_o AB 
58985.481119 50.0 10.0 23.9 ATLAS_o AB 
58987.511733 49.0 10.0 23.9 ATLAS_c AB 
58987.525021 28.0 8.0 23.9 ATLAS_c AB 
58987.53618 41.0 8.0 23.9 ATLAS_c AB 
58989.439801 55.0 12.0 23.9 ATLAS_o AB 
58989.444971 82.0 10.0 23.9 ATLAS_o AB 
58989.448311 71.0 12.0 23.9 ATLAS_o AB 
58989.453475 82.0 8.0 23.9 ATLAS_o AB 
58991.538713 55.0 9.0 23.9 ATLAS_c AB 
58991.541914 82.0 10.0 23.9 ATLAS_c AB 
58991.549246 57.0 9.0 23.9 ATLAS_c AB 
58991.5695 76.0 10.0 23.9 ATLAS_c AB 
58993.486278 60.0 11.0 23.9 ATLAS_o AB 
58993.490433 54.0 14.0 23.9 ATLAS_o AB 
58993.50809 74.0 11.0 23.9 ATLAS_o AB 
58995.490532 89.0 9.0 23.9 ATLAS_c AB 
58995.494204 85.0 9.0 23.9 ATLAS_c AB 
58995.500336 78.0 9.0 23.9 ATLAS_c AB 
58995.535436 112.0 17.0 23.9 ATLAS_c AB 
58999.433719 101.0 10.0 23.9 ATLAS_o AB 
58999.452316 80.0 10.0 23.9 ATLAS_o AB 
58999.455071 132.0 11.0 23.9 ATLAS_o AB 
58999.459252 122.0 10.0 23.9 ATLAS_o AB 
59001.469856 72.0 13.0 23.9 ATLAS_o AB 
59001.501672 58.0 12.0 23.9 ATLAS_o AB 
59001.508115 82.0 10.0 23.9 ATLAS_o AB 
59001.514216 53.0 10.0 23.9 ATLAS_o AB 
59002.442984 58.0 15.0 23.9 ATLAS_o AB 
59002.445293 75.0 14.0 23.9 ATLAS_o AB 
59002.448501 55.0 12.0 23.9 ATLAS_o AB 
59003.498801 94.0 17.0 23.9 ATLAS_o AB 
59003.528549 97.0 18.0 23.9 ATLAS_o AB 
59003.534937 73.0 18.0 23.9 ATLAS_o AB 
59004.375412 74.0 21.0 23.9 ATLAS_o AB 
59005.418194 98.0 19.0 23.9 ATLAS_o AB 
59005.471759 84.0 24.0 23.9 ATLAS_o AB 
59006.436026 117.0 30.0 23.9 ATLAS_o AB 
59007.404881 61.0 19.0 23.9 ATLAS_o AB 
59007.412724 57.0 19.0 23.9 ATLAS_o AB 
59009.450481 43.0 13.0 23.9 ATLAS_o AB 
59009.453906 61.0 13.0 23.9 ATLAS_o AB 
59009.486211 63.0 10.0 23.9 ATLAS_o AB 
59009.491933 34.0 10.0 23.9 ATLAS_o AB 
59013.441588 56.0 7.0 23.9 ATLAS_o AB 
59013.453012 38.0 7.0 23.9 ATLAS_o AB 
59013.458613 47.0 8.0 23.9 ATLAS_o AB 
59017.43221 39.0 8.0 23.9 ATLAS_o AB 
59017.435955 47.0 8.0 23.9 ATLAS_o AB 
59017.442622 56.0 8.0 23.9 ATLAS_o AB 
59017.474507 44.0 8.0 23.9 ATLAS_o AB 
59021.407713 36.0 10.0 23.9 ATLAS_o AB 
59021.420711 38.0 10.0 23.9 ATLAS_o AB 
59025.40563 63.0 9.0 23.9 ATLAS_o AB 
59025.41836 31.0 8.0 23.9 ATLAS_o AB 
59029.415408 47.0 12.0 23.9 ATLAS_o AB 
59037.377799 51.0 13.0 23.9 ATLAS_o AB 
59037.381615 35.0 11.0 23.9 ATLAS_o AB 
59038.425687 46.0 15.0 23.9 ATLAS_o AB 
59041.400774 33.0 10.0 23.9 ATLAS_o AB 
59053.327705 24.0 5.0 23.9 ATLAS_o AB 
59053.332841 34.0 8.0 23.9 ATLAS_o AB 
59053.341435 47.0 7.0 23.9 ATLAS_o AB 
59071.308085 22.0 7.0 23.9 ATLAS_c AB 
59073.350984 33.0 8.0 23.9 ATLAS_o AB 
59075.376554 38.0 10.0 23.9 ATLAS_c AB 
59077.346526 48.0 8.0 23.9 ATLAS_o AB 
59083.286916 28.0 8.0 23.9 ATLAS_c AB 
59093.271955 37.0 12.0 23.9 ATLAS_o AB 
