name z ra dec 
2020kku 0.085 263.14051208 15.7358797031
time flux flux_err zp band mag_sys 
58984.39972 6251.92165 711.76469 30 ZTF_r AB 
58985.37765 10023.29391 870.1053 30 ZTF_r AB 
58985.41966 7414.15627 637.8261 30 ZTF_g AB 
58986.29472 10386.46532 812.64709 30 ZTF_r AB 
58987.33888 14937.72591 754.31738 30 ZTF_r AB 
58987.40451 10862.01545 601.31458 30 ZTF_g AB 
58991.27212 23351.65394 1005.36713 30 ZTF_r AB 
58991.31778 19943.46288 765.48808 30 ZTF_g AB 
58992.33884 20262.58769 629.90005 30 ZTF_g AB 
58992.42083 23156.14759 796.66494 30 ZTF_r AB 
58995.31966 23289.39517 659.91263 30 ZTF_g AB 
58995.4369 26387.80365 684.96549 30 ZTF_r AB 
58996.31123 27338.59598 825.41175 30 ZTF_r AB 
58997.29767 30543.59918 838.04234 30 ZTF_r AB 
58997.38167 22046.56629 593.65541 30 ZTF_g AB 
58998.33194 28178.90606 781.986 30 ZTF_r AB 
58998.36072 22424.06407 535.05016 30 ZTF_g AB 
58999.33626 25907.77864 1073.52161 30 ZTF_r AB 
58999.40007 19661.44626 858.67254 30 ZTF_g AB 
59000.32929 22818.54755 1856.83102 30 ZTF_r AB 
59000.39568 26943.48173 1406.35061 30 ZTF_r AB 
59001.39553 19605.62623 813.36949 30 ZTF_g AB 
59004.22086 19308.79255 2880.54846 30 ZTF_g AB 
59004.28796 21095.83906 2297.83936 30 ZTF_r AB 
59005.21244 17812.66331 2929.60892 30 ZTF_g AB 
59008.30755 11632.42524 1719.13204 30 ZTF_g AB 
59009.3613 19359.61052 1498.99638 30 ZTF_r AB 
59011.25838 16607.61596 829.61144 30 ZTF_r AB 
59011.2783 10725.05555 759.52077 30 ZTF_g AB 
59012.273 15207.55076 758.20464 30 ZTF_r AB 
59014.25634 17374.84312 1215.88018 30 ZTF_r AB 
59014.35205 6429.40658 539.16582 30 ZTF_g AB 
59015.31019 5482.6489 641.68022 30 ZTF_g AB 
59016.25396 17705.68082 1429.80039 30 ZTF_r AB 
59016.33594 4490.54322 674.38589 30 ZTF_g AB 
59017.27676 15448.47717 731.00971 30 ZTF_r AB 
59017.29926 3717.18078 495.38586 30 ZTF_g AB 
59018.257 15056.50747 686.23557 30 ZTF_r AB 
59020.26797 12729.7184 704.95787 30 ZTF_r AB 
59023.29697 12104.04825 727.16128 30 ZTF_r AB 
59024.24288 10076.93853 1014.73948 30 ZTF_r AB 
59025.19337 9349.27706 1087.56757 30 ZTF_r AB 
59026.29034 9824.8874 810.30527 30 ZTF_r AB 
59027.27333 9575.96057 1059.00471 30 ZTF_r AB 
59028.23127 7652.60274 1116.86512 30 ZTF_r AB 
59031.2494 8462.54546 1416.5403 30 ZTF_r AB 
59032.245 6662.05816 1360.4249 30 ZTF_r AB 
59033.33319 6408.30592 1748.69766 30 ZTF_r AB 
59038.22926 5876.42302 948.14428 30 ZTF_r AB 
59044.2498 4971.73383 811.71395 30 ZTF_r AB 
59047.2115 5329.65418 796.23848 30 ZTF_r AB 
59050.29146 5289.85472 811.89335 30 ZTF_r AB 
59053.31135 3934.58616 733.33198 30 ZTF_r AB 
