name z ra dec 
2020kyx 0.031985 243.439625 22.920661
time flux flux_err zp band mag_sys 
59001.412023 512.0 15.0 23.9 ATLAS_o AB 
59001.418012 557.0 14.0 23.9 ATLAS_o AB 
59001.421231 503.0 14.0 23.9 ATLAS_o AB 
59001.436739 509.0 14.0 23.9 ATLAS_o AB 
59002.374408 605.0 21.0 23.9 ATLAS_o AB 
59002.376237 570.0 19.0 23.9 ATLAS_o AB 
59002.382398 549.0 20.0 23.9 ATLAS_o AB 
59002.389549 573.0 18.0 23.9 ATLAS_o AB 
59003.425174 630.0 23.0 23.9 ATLAS_o AB 
59003.429765 622.0 24.0 23.9 ATLAS_o AB 
59003.434979 630.0 26.0 23.9 ATLAS_o AB 
59003.445224 643.0 26.0 23.9 ATLAS_o AB 
59005.365817 654.0 23.0 23.9 ATLAS_o AB 
59005.367665 656.0 22.0 23.9 ATLAS_o AB 
59005.370429 660.0 22.0 23.9 ATLAS_o AB 
59005.397814 672.0 18.0 23.9 ATLAS_o AB 
59007.424685 680.0 24.0 23.9 ATLAS_o AB 
59007.427533 675.0 25.0 23.9 ATLAS_o AB 
59007.433173 681.0 28.0 23.9 ATLAS_o AB 
59007.465802 693.0 26.0 23.9 ATLAS_o AB 
59009.408381 703.0 16.0 23.9 ATLAS_o AB 
59009.418274 685.0 16.0 23.9 ATLAS_o AB 
59009.421978 698.0 19.0 23.9 ATLAS_o AB 
59009.427603 654.0 17.0 23.9 ATLAS_o AB 
59013.409277 626.0 13.0 23.9 ATLAS_o AB 
59013.416085 639.0 13.0 23.9 ATLAS_o AB 
59013.427838 644.0 14.0 23.9 ATLAS_o AB 
59013.43186 631.0 13.0 23.9 ATLAS_o AB 
59017.389635 516.0 14.0 23.9 ATLAS_o AB 
59017.392866 500.0 12.0 23.9 ATLAS_o AB 
59017.401796 498.0 12.0 23.9 ATLAS_o AB 
59017.417398 499.0 14.0 23.9 ATLAS_o AB 
59021.367538 377.0 10.0 23.9 ATLAS_o AB 
59021.371328 392.0 11.0 23.9 ATLAS_o AB 
59021.379075 390.0 10.0 23.9 ATLAS_o AB 
59021.414593 413.0 10.0 23.9 ATLAS_o AB 
59023.391321 408.0 10.0 23.9 ATLAS_c AB 
59023.394229 389.0 10.0 23.9 ATLAS_c AB 
59023.411707 419.0 12.0 23.9 ATLAS_c AB 
59023.422513 405.0 11.0 23.9 ATLAS_c AB 
59025.375405 372.0 11.0 23.9 ATLAS_o AB 
59025.378629 370.0 11.0 23.9 ATLAS_o AB 
59025.389322 386.0 10.0 23.9 ATLAS_o AB 
59025.394622 338.0 12.0 23.9 ATLAS_o AB 
59027.34736 396.0 11.0 23.9 ATLAS_o AB 
59027.351221 363.0 11.0 23.9 ATLAS_o AB 
59027.356935 379.0 13.0 23.9 ATLAS_o AB 
59027.36783 376.0 12.0 23.9 ATLAS_o AB 
59029.361786 357.0 17.0 23.9 ATLAS_o AB 
59029.368249 360.0 16.0 23.9 ATLAS_o AB 
59029.381138 382.0 16.0 23.9 ATLAS_o AB 
59029.384013 376.0 15.0 23.9 ATLAS_o AB 
59031.350755 376.0 16.0 23.9 ATLAS_o AB 
59031.353956 331.0 15.0 23.9 ATLAS_o AB 
59031.360978 345.0 16.0 23.9 ATLAS_o AB 
59031.371379 348.0 19.0 23.9 ATLAS_o AB 
59033.375264 321.0 17.0 23.9 ATLAS_o AB 
59033.379091 376.0 18.0 23.9 ATLAS_o AB 
59033.385689 353.0 16.0 23.9 ATLAS_o AB 
59033.396611 357.0 16.0 23.9 ATLAS_o AB 
59035.37122 339.0 22.0 23.9 ATLAS_o AB 
59035.374884 310.0 20.0 23.9 ATLAS_o AB 
59035.380423 316.0 22.0 23.9 ATLAS_o AB 
59035.394281 318.0 24.0 23.9 ATLAS_o AB 
59037.339967 328.0 13.0 23.9 ATLAS_o AB 
59037.349936 316.0 14.0 23.9 ATLAS_o AB 
59037.353862 319.0 13.0 23.9 ATLAS_o AB 
59037.35962 330.0 14.0 23.9 ATLAS_o AB 
59039.338537 241.0 11.0 23.9 ATLAS_o AB 
59039.341836 246.0 12.0 23.9 ATLAS_o AB 
59039.346949 244.0 10.0 23.9 ATLAS_o AB 
59039.357971 254.0 11.0 23.9 ATLAS_o AB 
