name z ra dec 
2020lao 0.031162 256.7275 30.2715
time flux flux_err zp band mag_sys 
58991.571872 25.0 8.0 23.9 ATLAS_c AB 
58991.575667 46.0 10.0 23.9 ATLAS_c AB 
58993.482049 83.0 23.0 23.9 ATLAS_o AB 
58993.487667 54.0 15.0 23.9 ATLAS_o AB 
58995.478047 56.0 9.0 23.9 ATLAS_c AB 
58995.488178 98.0 9.0 23.9 ATLAS_c AB 
58995.491119 99.0 10.0 23.9 ATLAS_c AB 
58995.496376 101.0 10.0 23.9 ATLAS_c AB 
58999.414842 332.0 13.0 23.9 ATLAS_o AB 
58999.43189 378.0 14.0 23.9 ATLAS_o AB 
58999.443868 356.0 12.0 23.9 ATLAS_o AB 
58999.446178 359.0 14.0 23.9 ATLAS_o AB 
59000.467901 317.0 15.0 23.9 ATLAS_o AB 
59000.471221 370.0 12.0 23.9 ATLAS_o AB 
59000.47685 359.0 15.0 23.9 ATLAS_o AB 
59000.47975 367.0 15.0 23.9 ATLAS_o AB 
59001.453508 351.0 20.0 23.9 ATLAS_o AB 
59001.462131 445.0 17.0 23.9 ATLAS_o AB 
59001.463972 438.0 14.0 23.9 ATLAS_o AB 
59001.467092 410.0 14.0 23.9 ATLAS_o AB 
59001.497601 360.0 16.0 23.9 ATLAS_o AB 
59001.499538 375.0 12.0 23.9 ATLAS_o AB 
59001.509611 425.0 10.0 23.9 ATLAS_o AB 
59003.442764 391.0 20.0 23.9 ATLAS_o AB 
59003.448106 418.0 17.0 23.9 ATLAS_o AB 
59003.451674 455.0 19.0 23.9 ATLAS_o AB 
59003.461648 356.0 19.0 23.9 ATLAS_o AB 
59005.377501 447.0 23.0 23.9 ATLAS_o AB 
59005.384955 401.0 21.0 23.9 ATLAS_o AB 
59005.386795 427.0 23.0 23.9 ATLAS_o AB 
59005.414161 427.0 24.0 23.9 ATLAS_o AB 
59007.431264 406.0 21.0 23.9 ATLAS_o AB 
59007.438826 411.0 20.0 23.9 ATLAS_o AB 
59007.44186 479.0 19.0 23.9 ATLAS_o AB 
59007.470448 432.0 19.0 23.9 ATLAS_o AB 
59009.435059 428.0 16.0 23.9 ATLAS_o AB 
59009.440202 400.0 15.0 23.9 ATLAS_o AB 
59009.447695 404.0 15.0 23.9 ATLAS_o AB 
59009.451924 398.0 17.0 23.9 ATLAS_o AB 
59013.4516 345.0 10.0 23.9 ATLAS_o AB 
59013.461897 323.0 10.0 23.9 ATLAS_o AB 
59013.468903 314.0 13.0 23.9 ATLAS_o AB 
59013.473183 334.0 12.0 23.9 ATLAS_o AB 
59015.392137 200.0 10.0 23.9 ATLAS_c AB 
59015.394449 210.0 10.0 23.9 ATLAS_c AB 
59015.397219 221.0 10.0 23.9 ATLAS_c AB 
59015.403218 185.0 11.0 23.9 ATLAS_c AB 
59015.423682 198.0 12.0 23.9 ATLAS_c AB 
59015.426911 136.0 10.0 23.9 ATLAS_c AB 
59015.432431 170.0 10.0 23.9 ATLAS_c AB 
59015.465999 212.0 10.0 23.9 ATLAS_c AB 
59017.420623 268.0 12.0 23.9 ATLAS_o AB 
59017.423478 266.0 13.0 23.9 ATLAS_o AB 
59017.433654 272.0 12.0 23.9 ATLAS_o AB 
59017.442083 276.0 11.0 23.9 ATLAS_o AB 
59021.41978 205.0 10.0 23.9 ATLAS_o AB 
59021.426357 224.0 11.0 23.9 ATLAS_o AB 
59021.429598 181.0 12.0 23.9 ATLAS_o AB 
59021.465937 207.0 9.0 23.9 ATLAS_o AB 
59023.420077 114.0 9.0 23.9 ATLAS_c AB 
59023.434238 97.0 8.0 23.9 ATLAS_c AB 
59023.46213 140.0 9.0 23.9 ATLAS_c AB 
59023.472698 90.0 9.0 23.9 ATLAS_c AB 
59025.381393 178.0 10.0 23.9 ATLAS_o AB 
59025.397395 184.0 9.0 23.9 ATLAS_o AB 
59025.400549 200.0 10.0 23.9 ATLAS_o AB 
59025.412409 180.0 10.0 23.9 ATLAS_o AB 
59027.400348 91.0 10.0 23.9 ATLAS_c AB 
59027.40318 45.0 10.0 23.9 ATLAS_c AB 
59027.438715 80.0 10.0 23.9 ATLAS_c AB 
59027.452045 57.0 8.0 23.9 ATLAS_c AB 
59029.388251 131.0 13.0 23.9 ATLAS_o AB 
59029.394855 146.0 11.0 23.9 ATLAS_o AB 
59029.41783 83.0 11.0 23.9 ATLAS_o AB 
59029.42942 144.0 11.0 23.9 ATLAS_o AB 
59031.377207 85.0 18.0 23.9 ATLAS_o AB 
59031.380573 88.0 17.0 23.9 ATLAS_o AB 
59031.412471 91.0 19.0 23.9 ATLAS_o AB 
59031.417983 108.0 18.0 23.9 ATLAS_o AB 
59033.400541 136.0 15.0 23.9 ATLAS_o AB 
59033.403786 120.0 17.0 23.9 ATLAS_o AB 
59033.409785 130.0 17.0 23.9 ATLAS_o AB 
59033.420528 150.0 16.0 23.9 ATLAS_o AB 
59035.40864 124.0 25.0 23.9 ATLAS_o AB 
59035.411836 80.0 22.0 23.9 ATLAS_o AB 
59035.418081 95.0 22.0 23.9 ATLAS_o AB 
59035.442046 147.0 20.0 23.9 ATLAS_o AB 
59037.364336 106.0 14.0 23.9 ATLAS_o AB 
59037.367103 124.0 14.0 23.9 ATLAS_o AB 
59037.372491 93.0 12.0 23.9 ATLAS_o AB 
59037.384971 112.0 14.0 23.9 ATLAS_o AB 
59039.351994 71.0 12.0 23.9 ATLAS_o AB 
59039.355226 110.0 9.0 23.9 ATLAS_o AB 
59039.361628 138.0 12.0 23.9 ATLAS_o AB 
59039.373913 139.0 12.0 23.9 ATLAS_o AB 
59041.390984 84.0 10.0 23.9 ATLAS_o AB 
59041.393769 83.0 9.0 23.9 ATLAS_o AB 
59041.418721 75.0 12.0 23.9 ATLAS_o AB 
59041.437276 81.0 11.0 23.9 ATLAS_o AB 
59043.440064 115.0 13.0 23.9 ATLAS_o AB 
59043.443295 147.0 13.0 23.9 ATLAS_o AB 
59043.450323 61.0 13.0 23.9 ATLAS_o AB 
59047.390266 74.0 11.0 23.9 ATLAS_c AB 
59047.39305 63.0 12.0 23.9 ATLAS_c AB 
59047.411995 61.0 12.0 23.9 ATLAS_c AB 
59047.419603 33.0 9.0 23.9 ATLAS_c AB 
59051.402904 27.0 9.0 23.9 ATLAS_c AB 
59051.418638 38.0 10.0 23.9 ATLAS_c AB 
59051.428537 46.0 9.0 23.9 ATLAS_c AB 
59053.324478 100.0 8.0 23.9 ATLAS_o AB 
59053.329094 136.0 9.0 23.9 ATLAS_o AB 
59053.342913 98.0 9.0 23.9 ATLAS_o AB 
59053.350847 111.0 9.0 23.9 ATLAS_o AB 
59059.383492 114.0 14.0 23.9 ATLAS_o AB 
59059.386701 61.0 15.0 23.9 ATLAS_o AB 
59059.392209 107.0 18.0 23.9 ATLAS_o AB 
59061.302427 84.0 13.0 23.9 ATLAS_o AB 
59061.314136 76.0 15.0 23.9 ATLAS_o AB 
59061.32859 55.0 12.0 23.9 ATLAS_o AB 
59065.370057 60.0 16.0 23.9 ATLAS_o AB 
59065.372945 78.0 19.0 23.9 ATLAS_o AB 
59069.29369 59.0 9.0 23.9 ATLAS_o AB 
59069.303624 62.0 7.0 23.9 ATLAS_o AB 
59069.314386 61.0 9.0 23.9 ATLAS_o AB 
59071.297491 31.0 9.0 23.9 ATLAS_c AB 
59071.301154 73.0 9.0 23.9 ATLAS_c AB 
59073.376164 75.0 12.0 23.9 ATLAS_o AB 
