name z ra dec 
2020nny 0.030654 344.642616645 15.1708536937
time flux flux_err zp band mag_sys 
58973.595277 44.0 13.0 23.9 ATLAS_o AB 
59001.60257 36.0 10.0 23.9 ATLAS_o AB 
59001.610865 38.0 12.0 23.9 ATLAS_o AB 
59003.600604 36.0 10.0 23.9 ATLAS_o AB 
59013.593105 76.0 14.0 23.9 ATLAS_o AB 
59013.598679 50.0 16.0 23.9 ATLAS_o AB 
59013.601995 45.0 12.0 23.9 ATLAS_o AB 
59013.609027 49.0 13.0 23.9 ATLAS_o AB 
59017.56807 154.0 11.0 23.9 ATLAS_o AB 
59017.569453 52.0 12.0 23.9 ATLAS_o AB 
59017.571293 116.0 12.0 23.9 ATLAS_o AB 
59017.57268 65.0 10.0 23.9 ATLAS_o AB 
59017.582095 105.0 11.0 23.9 ATLAS_o AB 
59017.592758 146.0 14.0 23.9 ATLAS_o AB 
59017.602717 51.0 10.0 23.9 ATLAS_o AB 
59021.531036 154.0 13.0 23.9 ATLAS_o AB 
59021.543654 91.0 11.0 23.9 ATLAS_o AB 
59021.544113 53.0 13.0 23.9 ATLAS_o AB 
59021.551649 78.0 12.0 23.9 ATLAS_o AB 
59021.552587 83.0 17.0 23.9 ATLAS_o AB 
59021.559294 111.0 13.0 23.9 ATLAS_o AB 
59021.559753 116.0 13.0 23.9 ATLAS_o AB 
59021.56346 44.0 14.0 23.9 ATLAS_o AB 
59025.556759 102.0 10.0 23.9 ATLAS_o AB 
59025.55998 139.0 11.0 23.9 ATLAS_o AB 
59025.577793 148.0 12.0 23.9 ATLAS_o AB 
59025.586102 66.0 10.0 23.9 ATLAS_o AB 
59027.537386 135.0 11.0 23.9 ATLAS_c AB 
59027.540598 85.0 9.0 23.9 ATLAS_c AB 
59027.543798 34.0 8.0 23.9 ATLAS_c AB 
59027.551943 33.0 9.0 23.9 ATLAS_c AB 
59027.555255 36.0 8.0 23.9 ATLAS_c AB 
59027.567564 46.0 8.0 23.9 ATLAS_c AB 
59027.57186 75.0 11.0 23.9 ATLAS_c AB 
59029.560376 88.0 11.0 23.9 ATLAS_o AB 
59029.564992 121.0 12.0 23.9 ATLAS_o AB 
59029.575874 127.0 11.0 23.9 ATLAS_o AB 
59031.544199 98.0 11.0 23.9 ATLAS_c AB 
59031.545571 51.0 10.0 23.9 ATLAS_c AB 
59031.546028 128.0 10.0 23.9 ATLAS_c AB 
59031.558004 30.0 9.0 23.9 ATLAS_c AB 
59031.558462 75.0 10.0 23.9 ATLAS_c AB 
59033.54674 97.0 16.0 23.9 ATLAS_o AB 
59033.549046 85.0 15.0 23.9 ATLAS_o AB 
59033.552549 70.0 14.0 23.9 ATLAS_o AB 
59033.560917 110.0 15.0 23.9 ATLAS_o AB 
59035.530428 85.0 20.0 23.9 ATLAS_o AB 
59035.543966 118.0 21.0 23.9 ATLAS_o AB 
59036.501749 107.0 30.0 23.9 ATLAS_o AB 
59037.519838 142.0 20.0 23.9 ATLAS_o AB 
59037.521677 120.0 19.0 23.9 ATLAS_o AB 
59037.527858 111.0 18.0 23.9 ATLAS_o AB 
59037.53342 100.0 18.0 23.9 ATLAS_o AB 
59037.550163 227.0 18.0 23.9 ATLAS_o AB 
59039.533845 117.0 16.0 23.9 ATLAS_o AB 
59039.535675 95.0 18.0 23.9 ATLAS_o AB 
59039.557443 108.0 19.0 23.9 ATLAS_o AB 
59039.572849 65.0 16.0 23.9 ATLAS_o AB 
59041.526001 64.0 14.0 23.9 ATLAS_o AB 
59041.529402 97.0 16.0 23.9 ATLAS_o AB 
59041.558012 68.0 13.0 23.9 ATLAS_o AB 
59041.562911 93.0 14.0 23.9 ATLAS_o AB 
59043.574452 135.0 13.0 23.9 ATLAS_o AB 
59043.577653 52.0 13.0 23.9 ATLAS_o AB 
59043.583181 84.0 12.0 23.9 ATLAS_o AB 
59043.608032 122.0 14.0 23.9 ATLAS_o AB 
59045.513627 195.0 43.0 23.9 ATLAS_o AB 
59047.566631 42.0 10.0 23.9 ATLAS_c AB 
59047.572218 30.0 9.0 23.9 ATLAS_c AB 
59051.501056 36.0 9.0 23.9 ATLAS_c AB 
59051.526679 35.0 10.0 23.9 ATLAS_c AB 
59053.498594 96.0 8.0 23.9 ATLAS_o AB 
59053.504116 50.0 9.0 23.9 ATLAS_o AB 
59053.527555 64.0 9.0 23.9 ATLAS_o AB 
59053.531744 73.0 8.0 23.9 ATLAS_o AB 
59059.562696 26.0 8.0 23.9 ATLAS_c AB 
59059.57244 23.0 7.0 23.9 ATLAS_c AB 
59061.47464 123.0 13.0 23.9 ATLAS_o AB 
59061.476482 86.0 13.0 23.9 ATLAS_o AB 
59061.479244 85.0 12.0 23.9 ATLAS_o AB 
59061.484327 60.0 11.0 23.9 ATLAS_o AB 
59064.451384 76.0 16.0 23.9 ATLAS_o AB 
59064.455064 81.0 17.0 23.9 ATLAS_o AB 
59064.460126 94.0 20.0 23.9 ATLAS_o AB 
59065.564936 84.0 28.0 23.9 ATLAS_o AB 
59069.435068 72.0 14.0 23.9 ATLAS_o AB 
59069.440129 72.0 17.0 23.9 ATLAS_o AB 
59069.465574 114.0 17.0 23.9 ATLAS_o AB 
59069.467877 127.0 15.0 23.9 ATLAS_o AB 
59071.465398 59.0 14.0 23.9 ATLAS_o AB 
59071.492455 60.0 17.0 23.9 ATLAS_o AB 
59071.495658 108.0 15.0 23.9 ATLAS_o AB 
59071.521808 60.0 13.0 23.9 ATLAS_o AB 
59073.504171 39.0 10.0 23.9 ATLAS_o AB 
59073.512401 46.0 11.0 23.9 ATLAS_o AB 
59075.505426 74.0 9.0 23.9 ATLAS_o AB 
59075.513775 69.0 12.0 23.9 ATLAS_o AB 
59075.524137 49.0 11.0 23.9 ATLAS_o AB 
59077.483167 65.0 9.0 23.9 ATLAS_o AB 
59077.515252 51.0 9.0 23.9 ATLAS_o AB 
59079.449092 79.0 10.0 23.9 ATLAS_c AB 
59079.450937 39.0 10.0 23.9 ATLAS_c AB 
59083.438449 93.0 9.0 23.9 ATLAS_c AB 
59087.48717 26.0 8.0 23.9 ATLAS_c AB 
59087.505784 46.0 9.0 23.9 ATLAS_c AB 
59087.512773 30.0 9.0 23.9 ATLAS_c AB 
59089.458493 39.0 12.0 23.9 ATLAS_o AB 
59089.469138 37.0 9.0 23.9 ATLAS_o AB 
59089.474327 66.0 11.0 23.9 ATLAS_o AB 
59098.497614 43.0 13.0 23.9 ATLAS_o AB 
