name z ra dec 
2020rlj 0.045 345.290059561 23.4872227538
time flux flux_err zp band mag_sys 
59077.590359 38.0 8.0 23.9 ATLAS_o AB 
59077.603147 45.0 9.0 23.9 ATLAS_o AB 
59079.381739 36.0 10.0 23.9 ATLAS_c AB 
59079.416181 60.0 9.0 23.9 ATLAS_c AB 
59079.424716 48.0 8.0 23.9 ATLAS_c AB 
59079.427945 51.0 10.0 23.9 ATLAS_c AB 
59083.423055 101.0 9.0 23.9 ATLAS_c AB 
59083.425516 96.0 9.0 23.9 ATLAS_c AB 
59083.429257 99.0 10.0 23.9 ATLAS_c AB 
59083.434748 102.0 8.0 23.9 ATLAS_c AB 
59085.387756 127.0 15.0 23.9 ATLAS_o AB 
59085.416506 147.0 11.0 23.9 ATLAS_o AB 
59085.418808 121.0 14.0 23.9 ATLAS_o AB 
59085.432774 125.0 13.0 23.9 ATLAS_o AB 
59087.508075 143.0 12.0 23.9 ATLAS_c AB 
59087.511691 121.0 11.0 23.9 ATLAS_c AB 
59087.517002 154.0 11.0 23.9 ATLAS_c AB 
59087.552434 140.0 11.0 23.9 ATLAS_c AB 
59089.454142 165.0 12.0 23.9 ATLAS_o AB 
59089.45651 167.0 18.0 23.9 ATLAS_o AB 
59089.456971 132.0 13.0 23.9 ATLAS_o AB 
59089.462944 154.0 14.0 23.9 ATLAS_o AB 
59089.467187 155.0 13.0 23.9 ATLAS_o AB 
59089.472908 145.0 12.0 23.9 ATLAS_o AB 
59093.363184 148.0 18.0 23.9 ATLAS_o AB 
59093.36643 174.0 21.0 23.9 ATLAS_o AB 
59093.36919 172.0 30.0 23.9 ATLAS_o AB 
59093.370573 166.0 24.0 23.9 ATLAS_o AB 
59093.380266 178.0 21.0 23.9 ATLAS_o AB 
59097.510002 140.0 46.0 23.9 ATLAS_o AB 
59101.433457 108.0 9.0 23.9 ATLAS_o AB 
59101.438112 90.0 10.0 23.9 ATLAS_o AB 
59101.46381 107.0 10.0 23.9 ATLAS_o AB 
59101.469005 95.0 11.0 23.9 ATLAS_o AB 
59103.459058 72.0 13.0 23.9 ATLAS_o AB 
59103.46226 169.0 12.0 23.9 ATLAS_o AB 
59103.472435 108.0 11.0 23.9 ATLAS_o AB 
59103.479349 108.0 12.0 23.9 ATLAS_o AB 
59105.424594 88.0 19.0 23.9 ATLAS_o AB 
59105.431962 100.0 12.0 23.9 ATLAS_o AB 
59105.442325 59.0 12.0 23.9 ATLAS_o AB 
59105.445692 46.0 12.0 23.9 ATLAS_o AB 
59107.434441 40.0 9.0 23.9 ATLAS_c AB 
59107.437642 34.0 8.0 23.9 ATLAS_c AB 
59107.443154 58.0 9.0 23.9 ATLAS_c AB 
59107.454527 53.0 9.0 23.9 ATLAS_c AB 
59109.352511 57.0 9.0 23.9 ATLAS_o AB 
59109.354354 70.0 9.0 23.9 ATLAS_o AB 
59109.358059 69.0 9.0 23.9 ATLAS_o AB 
59109.365263 52.0 9.0 23.9 ATLAS_o AB 
59111.478502 38.0 11.0 23.9 ATLAS_c AB 
59115.47216 38.0 10.0 23.9 ATLAS_c AB 
59115.488758 27.0 8.0 23.9 ATLAS_c AB 
59117.356752 42.0 12.0 23.9 ATLAS_o AB 
59117.369438 46.0 10.0 23.9 ATLAS_o AB 
59119.441796 69.0 22.0 23.9 ATLAS_o AB 
59129.435674 45.0 9.0 23.9 ATLAS_o AB 
59141.335084 28.0 8.0 23.9 ATLAS_o AB 
59141.341694 35.0 10.0 23.9 ATLAS_o AB 
59141.348027 35.0 9.0 23.9 ATLAS_o AB 
59143.331457 36.0 10.0 23.9 ATLAS_c AB 
59145.376081 30.0 8.0 23.9 ATLAS_o AB 
59147.380323 48.0 12.0 23.9 ATLAS_o AB 
59161.347647 38.0 11.0 23.9 ATLAS_o AB 
