name z ra dec 
2020rlj 0.045 345.290059561 23.4872227538
time flux flux_err zp band mag_sys 
59077.30131 7554.75845 915.41836 30 ZTF_r AB 
59077.37497 7538.52225 491.24407 30 ZTF_g AB 
59077.41753 7201.14736 529.08228 30 ZTF_g AB 
59078.30522 10633.32195 742.99197 30 ZTF_r AB 
59079.33247 12100.40732 573.51021 30 ZTF_g AB 
59079.37227 13324.52476 715.9244 30 ZTF_r AB 
59080.32605 16054.90921 750.64776 30 ZTF_r AB 
59080.37083 16066.82796 741.21697 30 ZTF_r AB 
59080.42111 14351.44286 669.70632 30 ZTF_g AB 
59080.42793 13998.85283 690.21395 30 ZTF_g AB 
59081.30697 16705.98141 596.89845 30 ZTF_g AB 
59081.37348 21805.15885 861.19714 30 ZTF_r AB 
59084.30668 33110.75681 752.54066 30 ZTF_r AB 
59084.39894 26370.536 542.81965 30 ZTF_g AB 
59085.37208 31254.07243 524.68368 30 ZTF_g AB 
59086.33602 42187.16568 719.82615 30 ZTF_r AB 
59087.28435 43930.48411 999.1599 30 ZTF_r AB 
59087.33765 32340.23191 587.99939 30 ZTF_g AB 
59087.37133 45714.59351 861.40274 30 ZTF_r AB 
59088.32693 32189.04818 686.56334 30 ZTF_g AB 
59088.43554 43814.31947 912.56725 30 ZTF_r AB 
59089.28723 31012.58288 1216.67172 30 ZTF_g AB 
59090.28558 30366.61898 1297.36126 30 ZTF_g AB 
59090.40122 30402.09746 646.17461 30 ZTF_g AB 
59090.45667 48526.68307 704.52132 30 ZTF_r AB 
59091.30576 29201.55177 1133.22265 30 ZTF_g AB 
59092.30399 26198.84817 1578.76822 30 ZTF_g AB 
59093.35263 45034.67054 1768.07857 30 ZTF_r AB 
59093.40281 23378.69451 2234.09618 30 ZTF_g AB 
59094.4081 44680.81113 2900.19638 30 ZTF_r AB 
59096.17392 16295.22975 1518.87387 30 ZTF_g AB 
59096.28944 40308.66502 1485.18604 30 ZTF_r AB 
59096.36544 38166.4945 1471.84453 30 ZTF_r AB 
59097.19041 14083.31232 1560.08585 30 ZTF_g AB 
59097.2672 36307.89575 1602.81168 30 ZTF_r AB 
59097.46219 33676.11172 2089.6288 30 ZTF_r AB 
59098.22956 10352.25473 1163.90329 30 ZTF_g AB 
59098.33031 32227.27606 1189.40993 30 ZTF_r AB 
59098.35767 36248.40055 1268.25175 30 ZTF_r AB 
59099.21777 33428.75751 1140.17526 30 ZTF_r AB 
59099.32668 34458.11522 1054.93454 30 ZTF_r AB 
59099.3724 8940.01593 1099.01449 30 ZTF_g AB 
59099.41594 11183.10081 2152.90652 30 ZTF_g AB 
59106.22299 22171.2699 1152.82248 30 ZTF_r AB 
59106.31259 4208.9415 788.36598 30 ZTF_g AB 
59106.36728 20459.03407 1034.04641 30 ZTF_r AB 
59106.36822 21452.13661 955.41807 30 ZTF_r AB 
59106.40211 6435.91419 859.37795 30 ZTF_g AB 
59107.25332 19001.0651 862.28952 30 ZTF_r AB 
59107.29813 18946.86715 912.21124 30 ZTF_r AB 
59107.33851 5120.38587 660.09338 30 ZTF_g AB 
59107.35168 3899.46203 724.39404 30 ZTF_g AB 
59107.38241 5626.49419 700.51518 30 ZTF_g AB 
59108.28917 5015.76409 724.22998 30 ZTF_g AB 
59108.35892 4191.52416 726.8545 30 ZTF_g AB 
59108.38204 18697.19279 892.79536 30 ZTF_r AB 
59109.24021 16004.09827 855.34667 30 ZTF_r AB 
59109.24115 15348.26077 826.54788 30 ZTF_r AB 
59109.39758 15027.51763 1159.8956 30 ZTF_r AB 
59110.25894 16327.72192 1159.19622 30 ZTF_r AB 
59110.34841 4088.65529 791.44191 30 ZTF_g AB 
59110.36017 13965.41592 1026.96855 30 ZTF_r AB 
59111.33779 3934.73213 568.82072 30 ZTF_g AB 
59111.36412 3852.34522 693.91691 30 ZTF_g AB 
59111.40694 13011.30322 931.17328 30 ZTF_r AB 
59112.16627 3490.28628 700.81028 30 ZTF_g AB 
59112.19285 13104.88382 762.97408 30 ZTF_r AB 
59112.30411 3538.71892 514.7948 30 ZTF_g AB 
59112.33288 3938.40137 516.29189 30 ZTF_g AB 
59112.3426 13474.97229 751.91385 30 ZTF_r AB 
59112.35788 12652.63421 750.48128 30 ZTF_r AB 
59113.19068 3635.46405 559.40554 30 ZTF_g AB 
59113.25839 12359.03606 799.60903 30 ZTF_r AB 
59113.2773 11929.89746 678.27671 30 ZTF_r AB 
59113.33584 11447.87214 787.79863 30 ZTF_r AB 
59113.36524 4167.75803 563.00797 30 ZTF_g AB 
59114.20547 3685.77667 570.0267 30 ZTF_g AB 
59114.31745 3443.26799 558.07925 30 ZTF_g AB 
59114.34123 3736.97323 591.82056 30 ZTF_g AB 
59114.40647 10791.96118 768.22589 30 ZTF_r AB 
59115.27119 3120.90397 607.70173 30 ZTF_g AB 
59115.32407 9730.89335 740.77311 30 ZTF_r AB 
59115.33543 10521.98453 801.51412 30 ZTF_r AB 
59116.27252 3061.59962 576.25315 30 ZTF_g AB 
59116.29635 3143.41294 519.07601 30 ZTF_g AB 
59116.29823 2805.95383 536.08175 30 ZTF_g AB 
59116.31786 9926.49169 809.2791 30 ZTF_r AB 
59116.3188 9598.10239 690.48386 30 ZTF_r AB 
59116.35565 9558.13691 770.7281 30 ZTF_r AB 
59116.36737 9901.50141 736.1261 30 ZTF_r AB 
59117.11808 7686.81542 1224.85973 30 ZTF_r AB 
59117.26718 3716.79989 689.58774 30 ZTF_g AB 
59117.32015 3038.61409 526.91471 30 ZTF_g AB 
59117.34891 8632.47234 706.48826 30 ZTF_r AB 
59118.19145 5256.57002 957.10928 30 ZTF_g AB 
59118.23106 8932.23928 893.60825 30 ZTF_r AB 
59118.246 8576.31739 883.0657 30 ZTF_r AB 
59118.3385 8787.29882 883.30699 30 ZTF_r AB 
59118.44231 2580.93912 712.76496 30 ZTF_g AB 
