name z ra dec 
2020itj 0.033 218.701639922 8.16956133833
time flux flux_err zp band mag_sys 
58961.40271990001 2.5685254865325895e-05 6.549472664043123e-06 25.9793 ZTF_r AB 
58961.40596059989 2.26670196806568e-05 5.474682155090289e-06 25.9598 ZTF_r AB 
58963.32819439983 1.3785665354039946e-05 2.878918873142227e-06 26.105 ZTF_g AB 
58963.32954860013 1.0130810271429111e-05 3.116448061551153e-06 26.1041 ZTF_g AB 
58964.286631899886 1.70751177721523e-05 3.75764195744424e-06 25.9819 ZTF_r AB 
58965.32805560017 1.706397510092721e-05 3.5450647601785704e-06 26.0007 ZTF_r AB 
58967.27402780019 1.6099505123618737e-05 3.1431399522149665e-06 26.0952 ZTF_g AB 
58967.33738429984 2.5635312603382708e-05 3.896616909173739e-06 25.9881 ZTF_r AB 
58967.353379600216 3.305752088407243e-05 4.138568514474295e-06 26.0002 ZTF_r AB 
58970.293599499855 3.0181065782920636e-05 4.095307815472132e-06 26.1296 ZTF_g AB 
58970.29406249989 2.9461635275011745e-05 4.028875057800144e-06 26.1743 ZTF_g AB 
58970.35940970015 4.002347318329866e-05 3.5770652521456594e-06 26.0647 ZTF_r AB 
58970.3603356001 4.8344074151105296e-05 3.923509495236512e-06 26.0435 ZTF_r AB 
58973.25143520022 4.2993429101324534e-05 7.841794763151116e-06 26.0913 ZTF_g AB 
58973.25190970022 5.253943273355516e-05 7.233359433981083e-06 26.135 ZTF_g AB 
58973.29399310006 7.213533678510752e-05 7.37813378805084e-06 26.0252 ZTF_r AB 
58973.315266199876 6.602894216628956e-05 7.213715193856678e-06 26.0561 ZTF_r AB 
58976.20493059978 8.549162930265763e-05 1.5231839447843067e-05 26.0949 ZTF_g AB 
58976.20540509978 6.647385391842108e-05 1.7797422160465608e-05 26.0708 ZTF_g AB 
58976.29370369995 9.323871527987854e-05 1.399597011401336e-05 26.0351 ZTF_r AB 
58976.31383100012 7.440112440924191e-05 1.8268480439390442e-05 26.0009 ZTF_r AB 
58979.2487269002 8.936345831990071e-05 5.0966859815173674e-06 25.9749 ZTF_g AB 
58979.268912000116 8.463144625914606e-05 5.885533770139544e-06 26.093 ZTF_g AB 
58979.297557900194 9.195472483078226e-05 7.182354366708883e-06 25.9829 ZTF_r AB 
58979.2980324002 0.00011030163901990898 6.242760034134959e-06 26.0089 ZTF_r AB 
58985.27239579987 0.00010606584648570787 3.911879115894267e-06 26.024 ZTF_r AB 
58985.29137729993 9.792420436943169e-05 3.7653279104033723e-06 26.0119 ZTF_r AB 
58985.29399310006 6.157863840187842e-05 3.2890738623303503e-06 26.1263 ZTF_g AB 
58991.271006899886 8.164769715453096e-05 4.1105822394672875e-06 26.0358 ZTF_r AB 
58991.295080999844 4.027889070877072e-05 3.062852590001754e-06 26.1574 ZTF_g AB 
58991.29601849988 3.586221036962435e-05 3.489584178856636e-06 26.1107 ZTF_g AB 
58994.25148149999 3.012049590634397e-05 3.000108531349537e-06 26.1259 ZTF_g AB 
58994.27371530002 6.594377511327688e-05 3.892709681633554e-06 26.0057 ZTF_r AB 
58995.25457180012 6.379184863434404e-05 3.3597440201157778e-06 26.0367 ZTF_r AB 
58995.30083330022 2.7183855728053e-05 3.4492783141520476e-06 26.1405 ZTF_g AB 
58997.21045139991 2.124512840998494e-05 3.6961097274024617e-06 26.1139 ZTF_g AB 
58998.26541669993 5.243905917445186e-05 3.817495931622038e-06 26.0283 ZTF_r AB 
58998.270092600025 5.01798671981112e-05 4.026512625850444e-06 26.0072 ZTF_r AB 
58998.2747105998 5.590698626246241e-05 3.537721257765354e-06 26.0114 ZTF_r AB 
58998.337789400015 2.0940596074785372e-05 2.9311263243798176e-06 26.1086 ZTF_g AB 
59000.257129599806 2.5297754097750503e-05 4.7192645960474895e-06 26.119 ZTF_g AB 
59001.231898100115 5.2395786265456005e-05 7.274422301709735e-06 25.9906 ZTF_r AB 
59001.371354199946 2.8095664355232066e-05 7.0033183211948525e-06 26.01 ZTF_g AB 
59004.250752300024 7.236388445094549e-05 1.1757288752298591e-05 26.0566 ZTF_r AB 
59009.20053240005 3.1447989289801235e-05 5.0315778137756816e-06 26.07 ZTF_r AB 
59009.21149310004 2.3820802139797858e-05 5.4282774818669655e-06 26.0888 ZTF_r AB 
59012.193669000175 1.3573300163572278e-05 2.7536877268796816e-06 26.2528 ZTF_g AB 
59012.19509259984 1.2429358484001584e-05 2.816058810392869e-06 26.1673 ZTF_g AB 
59012.23128469987 3.253531497170655e-05 3.83633167195643e-06 26.0788 ZTF_r AB 
59012.2327083 3.077021100435303e-05 3.504617563227364e-06 26.0765 ZTF_r AB 
59015.21358799981 3.710802288371378e-05 3.99796822629647e-06 26.0187 ZTF_r AB 
59016.19929399993 1.316799433966445e-05 2.870411204883607e-06 26.23 ZTF_g AB 
59016.237499999814 3.100485905803552e-05 5.122762769862004e-06 25.9688 ZTF_r AB 
59018.201307899784 1.25530884686387e-05 2.6560026863886876e-06 26.1626 ZTF_g AB 
59019.21324069984 3.02891735199549e-05 3.5283281793833286e-06 26.0548 ZTF_r AB 
59019.255659699906 1.1752096062881293e-05 2.8411875843990087e-06 26.1443 ZTF_g AB 
59021.23577550007 2.274761289766786e-05 3.6718453304285873e-06 26.0349 ZTF_r AB 
59022.20129630016 1.2064022979974003e-05 2.689127678352977e-06 26.204 ZTF_g AB 
59022.2200230998 2.7288809763882166e-05 3.021093812422424e-06 26.0756 ZTF_r AB 
59024.20158560015 1.029146577124093e-05 2.9788068729618793e-06 26.1474 ZTF_g AB 
59024.21369209979 2.81039192339539e-05 4.632895850328685e-06 25.8184 ZTF_r AB 
59025.18898149999 3.311789208536199e-05 4.091970151851008e-06 25.8571 ZTF_r AB 
59025.22847220022 1.560758449787613e-05 3.2079621440804596e-06 25.9096 ZTF_g AB 
59027.25494210003 2.438485115859519e-05 5.768020564943378e-06 25.9236 ZTF_r AB 
59028.21453699982 2.5418075586669708e-05 5.690330514745941e-06 25.9764 ZTF_r AB 
59031.21156249987 2.520484960844615e-05 8.375381980712093e-06 25.9635 ZTF_r AB 
59036.278252299875 2.7437633022455545e-05 8.606044603124642e-06 26.0249 ZTF_r AB 
59037.19126159977 1.6644908319468463e-05 5.238921466880945e-06 26.032 ZTF_r AB 
59039.22893519979 2.2935009732929618e-05 3.5805146011654914e-06 26.0598 ZTF_r AB 
59040.19853009982 2.286835199667837e-05 3.872170219176591e-06 26.058 ZTF_r AB 
59042.195717600174 1.07622637800055e-05 3.0706233331287424e-06 26.0521 ZTF_g AB 
59042.2125694002 1.699389335763354e-05 4.178141449160147e-06 25.988 ZTF_r AB 
59043.23436339991 1.672725260457427e-05 4.894223157433712e-06 25.9638 ZTF_r AB 
59044.213703699876 1.4883701878567246e-05 4.367538879853514e-06 26.0433 ZTF_r AB 
59045.19298609998 1.0990658312793726e-05 3.4635641864374363e-06 26.0556 ZTF_r AB 
59046.19047449995 1.6367552299327672e-05 4.2616950740495674e-06 26.0738 ZTF_r AB 
59048.186145800166 2.3742713872361016e-05 4.5628622285204574e-06 26.0645 ZTF_r AB 
59050.25738430023 2.3377859710510836e-05 6.896534915620644e-06 25.9928 ZTF_r AB 
