name z ra dec 
2020jfo 0.00502 185.460333 4.481681
time flux flux_err zp band mag_sys 
58975.20255789999 0.0014570204785578763 1.1744278786091038e-05 26.2847 ZTF_r AB 
58975.2501968001 0.0025025706983496042 1.401094338456572e-05 26.2856 ZTF_g AB 
58978.19204859994 0.005892811756671444 1.4355423546309283e-05 26.2594 ZTF_g AB 
58978.19298609998 0.005996264069279687 1.4389942385899612e-05 26.2439 ZTF_g AB 
58978.24788190005 0.005550605618254319 1.375851841641187e-05 26.2963 ZTF_r AB 
58978.24881940009 0.005819170975521176 1.425924880564077e-05 26.2861 ZTF_r AB 
58979.25216440018 0.005937437811532107 1.5064033826350155e-05 26.1729 ZTF_g AB 
58980.1895486 0.005949652313553027 1.3917637640014661e-05 26.2382 ZTF_g AB 
58981.19927080022 0.005916833094288771 1.4140737206742512e-05 26.2302 ZTF_g AB 
58981.20021989988 0.005913830673114295 1.3882438637407568e-05 26.2523 ZTF_g AB 
58981.24912039982 0.005911187144477261 1.4159991034530171e-05 26.2595 ZTF_r AB 
58981.25005789986 0.006041111200664008 1.4188454491595894e-05 26.2773 ZTF_r AB 
58986.190555599984 0.005361872430478113 1.3267163455322945e-05 26.2467 ZTF_g AB 
58986.192013899796 0.005383488871038974 1.327737616815461e-05 26.2533 ZTF_g AB 
58986.25555559993 0.005937862966228392 1.4136688875516199e-05 26.2584 ZTF_r AB 
58987.23158559995 0.005096316085602803 1.2668765732698743e-05 26.2886 ZTF_g AB 
58987.297627300024 0.005714724959643053 1.3679856217465905e-05 26.274 ZTF_r AB 
58991.17012730008 0.005077829085619335 1.2956701023127569e-05 26.2395 ZTF_g AB 
58991.227661999874 0.00601324267153601 1.421440190365059e-05 26.2616 ZTF_r AB 
58992.19228010019 0.004748368516018984 1.2646748365947298e-05 26.2329 ZTF_g AB 
58992.19321760023 0.0047329334645736364 1.2504434146511453e-05 26.2536 ZTF_g AB 
58992.233344899956 0.005878526088034825 1.397219478677133e-05 26.2555 ZTF_r AB 
58992.234270799905 0.005932137475336389 1.4146862036299171e-05 26.2318 ZTF_r AB 
58993.249004600104 0.004584749489541388 1.290519533580797e-05 26.1785 ZTF_g AB 
58994.2215741002 0.004598838180584729 1.2512020007928341e-05 26.2203 ZTF_g AB 
58995.20054400014 0.004392662939799684 1.2086946981186143e-05 26.2435 ZTF_g AB 
58995.20146990009 0.004408544775969633 1.2217477735281402e-05 26.2355 ZTF_g AB 
58995.21146989986 0.005836825705093853 1.3749629847562091e-05 26.2707 ZTF_r AB 
58995.22942129988 0.005695104425144681 1.4106334496685962e-05 26.2526 ZTF_r AB 
58996.255243100226 0.0057672040413527 1.4148415515882136e-05 26.219 ZTF_r AB 
58997.18631940009 0.004029026974484373 1.1649548292212093e-05 26.2597 ZTF_g AB 
58998.19271990005 0.003992651834997039 1.1866686915230763e-05 26.2531 ZTF_g AB 
58998.19365740009 0.00395707610160316 1.1709013460408619e-05 26.2572 ZTF_g AB 
58998.22516199993 0.006009439535682013 1.45576553966257e-05 26.2497 ZTF_r AB 
