name z ra dec 
2020jhf 0.015371 198.722667 27.008639
time flux flux_err zp band mag_sys 
58978.28916 0.0003284518838626481 5.935930749940282e-06 30 ZTF_r AB 
58978.28962 0.0003450048975048132 5.458550972577857e-06 30 ZTF_r AB 
58980.2526 0.0006893032878130224 3.4602990996817962e-06 30 ZTF_r AB 
58986.22365 0.002113726366457523 8.270345559216692e-06 30 ZTF_g AB 
58986.25606 0.002187620407411105 4.746464115462675e-06 30 ZTF_r AB 
58991.22861 0.0025624769941385117 6.628322205196279e-06 30 ZTF_r AB 
58994.23253 0.0025689972792470946 1.3982907906775754e-05 30 ZTF_g AB 
58997.21422 0.0023517369398007924 1.9469701816280807e-06 30 ZTF_g AB 
59000.26091 0.001955854380745882 8.804611149676696e-06 30 ZTF_g AB 
59004.19267 0.001426812421872254 1.06108735086019e-05 30 ZTF_g AB 
59004.23446 0.0014973808513437895 8.69685895112359e-06 30 ZTF_r AB 
59009.17231 0.001295710505040742 6.25994340718461e-06 30 ZTF_r AB 
59009.25867 0.0008123528340577662 6.6364339563269e-06 30 ZTF_g AB 
59012.19977 0.0006241548350057019 3.787939262991521e-06 30 ZTF_g AB 
59012.22763 0.0012564955068203331 4.680191965267224e-06 30 ZTF_r AB 
59018.2074 0.00037281516130286465 3.279104571926151e-06 30 ZTF_g AB 
59021.2276 0.0003056038683642515 3.1233225304178973e-06 30 ZTF_g AB 
59021.24148 0.0008092883647601451 4.136923982017576e-06 30 ZTF_r AB 
59024.20487 0.00024979721403169423 3.6592846735295286e-06 30 ZTF_g AB 
59024.21697 0.0006496759723806791 7.820574655992946e-06 30 ZTF_r AB 
59027.18384 0.0005873149444486761 6.701294580336515e-06 30 ZTF_r AB 
59027.21558 0.00023840006990130493 6.1912178746868145e-06 30 ZTF_g AB 
59031.17417 0.0002044402397729514 8.206707715067233e-06 30 ZTF_g AB 
59031.21441 0.0004757656184149912 6.142798292922405e-06 30 ZTF_r AB 
59036.19809 0.00019449622565865344 6.3110609314841525e-06 30 ZTF_g AB 
59036.25646 0.0003668048938258267 8.117348127924807e-06 30 ZTF_r AB 
59039.17685 0.00016956868183602567 4.1479844881187316e-06 30 ZTF_g AB 
59039.2151 0.00035327549593855694 3.7287890037630676e-06 30 ZTF_r AB 
59042.22831 0.0003312724587446783 4.708228524332359e-06 30 ZTF_r AB 
59045.20774 0.0002926354453873542 3.81670826513339e-06 30 ZTF_r AB 
59045.23809 0.00015063746521744802 4.12062556380259e-06 30 ZTF_g AB 
59074.15877 0.00013753143812672412 5.698480207612969e-06 30 ZTF_r AB 
59076.15051 0.00011352759145274542 7.202783404739402e-06 30 ZTF_r AB 
59076.15551 0.00011768547361631462 5.984396757340177e-06 30 ZTF_r AB 
59076.1605 0.00011783272554913628 6.117673479906661e-06 30 ZTF_r AB 
59076.16549 0.00012437746948349156 6.159285452599411e-06 30 ZTF_r AB 
59078.14922 0.0001123730230263304 6.342789249577223e-06 30 ZTF_r AB 
59078.15418 0.00011009249149589257 5.70758614272988e-06 30 ZTF_r AB 
59078.15914 0.00010388938894333641 5.8500542933171006e-06 30 ZTF_r AB 
59078.1641 0.00010726948057796236 6.391726958688e-06 30 ZTF_r AB 
59080.15552 9.759587102342272e-05 8.134479304509365e-06 30 ZTF_r AB 
59080.16514 0.00013289099309595723 1.1886547516362842e-05 30 ZTF_r AB 
59082.14431 9.877130318563768e-05 1.1782402473286245e-05 30 ZTF_r AB 
59082.1492 7.568268083451416e-05 9.440605994512104e-06 30 ZTF_r AB 
59082.15409 9.70886283611456e-05 1.0154677250307941e-05 30 ZTF_r AB 
59082.15898 5.681308516985122e-05 9.906208703455234e-06 30 ZTF_r AB 
59082.16385 0.00010445669513621215 1.0604826815520989e-05 30 ZTF_r AB 
59084.14177 9.311702738743512e-05 1.1965320655807818e-05 30 ZTF_r AB 
59084.14667 8.509438566809666e-05 9.845547723572084e-06 30 ZTF_r AB 
59084.15155 8.71180009522033e-05 9.164693386232328e-06 30 ZTF_r AB 
59084.15644 8.92359687131702e-05 1.0103452630762684e-05 30 ZTF_r AB 
59084.16082 9.88996358471817e-05 1.0380197133522704e-05 30 ZTF_r AB 
59086.13894 5.1276620938860336e-05 1.2640310864552057e-05 30 ZTF_r AB 
59086.14378 8.288824930308272e-05 9.491899584865834e-06 30 ZTF_r AB 
59086.14863 9.884238453765594e-05 1.0563866520105896e-05 30 ZTF_r AB 
59086.15347 9.550724861053891e-05 7.988606881600174e-06 30 ZTF_r AB 
59086.15831 6.897376661921867e-05 8.57094075035935e-06 30 ZTF_r AB 
59088.14087 9.328904084420639e-05 1.2594799112701055e-05 30 ZTF_r AB 
59088.14569 9.668244070554429e-05 1.1315573263262566e-05 30 ZTF_r AB 
59088.1547 7.658867625783369e-05 1.2403304080286456e-05 30 ZTF_r AB 
59090.13976 8.745040693537045e-05 1.1953252522572257e-05 30 ZTF_r AB 
59090.14479 7.672714620389808e-05 1.1260061614323578e-05 30 ZTF_r AB 
59090.15481 8.691520294224738e-05 1.130329693477069e-05 30 ZTF_r AB 
