name z ra dec 
2020kjt 0.038 280.818572284 71.6768336908
time flux flux_err zp band mag_sys 
58940.49006940005 1.260507397082406e-05 3.4206707327005427e-06 26.1369 ZTF_g AB 
58944.51160879992 1.6198085874566928e-05 5.226418735587781e-06 26.2002 ZTF_r AB 
58954.4912963002 1.9624481593581177e-05 4.293034708511126e-06 26.2305 ZTF_r AB 
58955.451828700025 2.1493325229385895e-05 4.145357136427064e-06 26.2164 ZTF_r AB 
58956.470324099995 1.5234609273734615e-05 4.316720993148929e-06 25.8621 ZTF_g AB 
58956.49008100014 2.2704435308578566e-05 6.540227447797293e-06 25.7896 ZTF_r AB 
58961.44854169991 2.027479333219544e-05 5.852479851528764e-06 26.1734 ZTF_r AB 
58962.47300929995 1.947730325018291e-05 3.7611490414239546e-06 26.2213 ZTF_r AB 
58962.4938194002 1.2347948043242215e-05 3.3016728384301284e-06 26.2982 ZTF_g AB 
58963.456770800054 1.3340538690219677e-05 2.598219165666168e-06 26.2752 ZTF_g AB 
58964.394525500014 8.294748112879858e-06 2.3323529384765e-06 26.2555 ZTF_g AB 
58964.430786999874 2.399306447102527e-05 2.774936747122908e-06 26.209 ZTF_r AB 
58965.42413190007 8.787219506584188e-06 2.327098278166937e-06 26.2808 ZTF_g AB 
58965.44729170017 1.6153793212043082e-05 2.7867505091046375e-06 26.2267 ZTF_r AB 
58966.445486099925 1.0194455487223011e-05 2.3949876901837794e-06 26.259 ZTF_g AB 
58966.465451399796 2.6929092456273844e-05 2.9020156294805266e-06 26.1866 ZTF_r AB 
58967.388749999925 2.9770073013741928e-05 3.5983932406165953e-06 26.2067 ZTF_r AB 
58967.450127299875 1.0844538450604089e-05 2.503897004621462e-06 26.2939 ZTF_g AB 
58968.42422450008 2.268131234245641e-05 2.650297913350453e-06 26.2617 ZTF_r AB 
58968.464861100074 1.0627020562642455e-05 2.404350289619904e-06 26.3326 ZTF_g AB 
58970.37936339993 2.3814745813383114e-05 2.917688034932409e-06 26.2526 ZTF_r AB 
58970.46700230008 9.987181975514048e-06 1.9275688102752448e-06 26.3442 ZTF_g AB 
58971.39548610011 2.0671504085040574e-05 4.117467308329508e-06 26.2483 ZTF_r AB 
58971.45258100005 9.827085802735713e-06 2.5097212400608753e-06 26.325 ZTF_g AB 
58972.41357639991 2.5013783049243783e-05 5.480838818533244e-06 26.0083 ZTF_r AB 
58972.47105319984 1.3253349641015928e-05 2.2145752030849158e-06 26.3368 ZTF_g AB 
58973.36409719987 3.4691307746265974e-05 5.2002497199043375e-06 26.2407 ZTF_r AB 
58974.3608448999 1.939260405822487e-05 5.435819701802542e-06 26.2333 ZTF_r AB 
58978.475544000044 3.253869587468478e-05 6.503405964562825e-06 26.1136 ZTF_r AB 
58979.342164400034 2.1773258519941578e-05 4.7017546371182485e-06 26.173 ZTF_r AB 
58980.46694440022 1.9622045604077382e-05 5.257286132670534e-06 26.2471 ZTF_r AB 
58981.43587959977 1.6464255826119143e-05 3.70340797571161e-06 26.2452 ZTF_r AB 
58983.38913189992 2.5873563606060284e-05 3.625014627383685e-06 26.1827 ZTF_r AB 
58985.404027800076 2.634454971458067e-05 2.7331843199307303e-06 26.2337 ZTF_r AB 
58985.449849499855 1.524541557896575e-05 2.943035864856348e-06 26.3119 ZTF_g AB 
58986.40209490014 9.393294708404115e-06 2.30539975901074e-06 26.3197 ZTF_g AB 
58986.47086809995 2.2524402095290637e-05 2.495597915718813e-06 26.2605 ZTF_r AB 
58987.351793999784 2.4009280664018722e-05 2.50998888528625e-06 26.2571 ZTF_r AB 
58987.434375000186 8.513062184957294e-06 1.943328862733376e-06 26.3301 ZTF_g AB 
58991.414467600174 9.959742708304399e-06 2.44949227401467e-06 26.3235 ZTF_g AB 
58991.449583299924 2.4640929011905454e-05 2.6574812635010033e-06 26.2606 ZTF_r AB 
58992.4270601999 1.7481803159871242e-05 2.9120573189988988e-06 26.2342 ZTF_r AB 
58994.42304399982 9.265303340226114e-06 2.469686212411075e-06 26.3196 ZTF_g AB 
58995.44047449995 2.3101014850956837e-05 2.7267501616351767e-06 26.2541 ZTF_r AB 
58996.30180560006 1.574933404605912e-05 2.990232209007789e-06 26.2248 ZTF_r AB 
58996.32758100005 1.3726599450151713e-05 2.4755411895750033e-06 26.3015 ZTF_g AB 
58997.41299769981 9.88779882078813e-06 2.0421763940846553e-06 26.3213 ZTF_g AB 
58997.4543980998 2.5132582139586898e-05 3.015113888595982e-06 26.2481 ZTF_r AB 
58998.30836809985 2.6348273408376725e-05 3.0943978370652856e-06 26.2365 ZTF_r AB 
58998.43572920002 8.53234010023879e-06 2.055632904596623e-06 26.3041 ZTF_g AB 
58999.32726849988 1.8947002317589344e-05 3.993778951734906e-06 26.251 ZTF_r AB 
