name z ra dec 
2020kku 0.085 263.14051208 15.7358797031
time flux flux_err zp band mag_sys 
58984.39972 2.2699355512570816e-05 2.447446785701965e-06 30 ZTF_r AB 
58985.37765 3.639238055231796e-05 3.0294929469627677e-06 30 ZTF_r AB 
58985.41966 2.6919174362731502e-05 2.2215623652493193e-06 30 ZTF_g AB 
58986.29472 3.771097624322722e-05 2.840804760055183e-06 30 ZTF_r AB 
58987.33888 5.423560466091732e-05 2.6718538148545556e-06 30 ZTF_r AB 
58987.40451 3.9437594404687955e-05 2.124951442867675e-06 30 ZTF_g AB 
58991.27212 8.47847308819977e-05 3.5738742469728984e-06 30 ZTF_r AB 
58991.31778 7.241033707850131e-05 2.7273068079494536e-06 30 ZTF_g AB 
58992.33884 7.356900923093813e-05 2.252200547683588e-06 30 ZTF_g AB 
58992.42083 8.40748902294657e-05 2.843871032924379e-06 30 ZTF_r AB 
58995.31966 8.455868295095795e-05 2.362680163490788e-06 30 ZTF_g AB 
58995.4369 9.580832418897376e-05 2.455229478394543e-06 30 ZTF_r AB 
58996.31123 9.926044248564102e-05 2.9525381120014106e-06 30 ZTF_r AB 
58997.29767 0.00011089710575952073 3.001753185563341e-06 30 ZTF_r AB 
58997.38167 8.004624402933297e-05 2.126923137034494e-06 30 ZTF_g AB 
58998.33194 0.00010231142397814228 2.8005383020006255e-06 30 ZTF_r AB 
58998.36072 8.141685562575739e-05 1.919835574952938e-06 30 ZTF_g AB 
58999.33626 9.406545872025551e-05 3.819131514270304e-06 30 ZTF_r AB 
58999.40007 7.13863966204768e-05 3.0514924875138054e-06 30 ZTF_g AB 
59000.32929 8.284913857133051e-05 6.48147312569154e-06 30 ZTF_r AB 
59000.39568 9.782586935262169e-05 4.977352198559151e-06 30 ZTF_r AB 
59001.39553 7.118372634138069e-05 2.89355104602331e-06 30 ZTF_g AB 
59004.22086 7.010598839013428e-05 9.748341034770736e-06 30 ZTF_g AB 
59004.28796 7.659436209647916e-05 7.919092076553296e-06 30 ZTF_r AB 
59005.21244 6.467387144869563e-05 9.847510665873451e-06 30 ZTF_g AB 
59008.30755 4.223478328397833e-05 5.821496832044176e-06 30 ZTF_g AB 
59009.3613 7.029049728708404e-05 5.242103629908646e-06 30 ZTF_r AB 
59011.25838 6.029860897125684e-05 2.939318619768718e-06 30 ZTF_r AB 
59011.2783 3.894032306395274e-05 2.664386518041023e-06 30 ZTF_g AB 
59012.273 5.521527947758373e-05 2.6864484050162693e-06 30 ZTF_r AB 
59014.25634 6.308424241945262e-05 4.266976940920496e-06 30 ZTF_r AB 
59014.35205 2.334376434392491e-05 1.8798298861513525e-06 30 ZTF_g AB 
59015.31019 1.9906294975994333e-05 2.2032458258456722e-06 30 ZTF_g AB 
59016.25396 6.428544150505903e-05 4.9923256387357155e-06 30 ZTF_r AB 
59016.33594 1.630417697178666e-05 2.2812429187889022e-06 30 ZTF_g AB 
59017.27676 5.6090030400439104e-05 2.5932532543073555e-06 30 ZTF_r AB 
59017.29926 1.3496267668312104e-05 1.6884720123312872e-06 30 ZTF_g AB 
59018.257 5.466687443839105e-05 2.4364595134817973e-06 30 ZTF_r AB 
59020.26797 4.621881394443169e-05 2.491187342548182e-06 30 ZTF_r AB 
59023.29697 4.394714293453451e-05 2.5638976330766564e-06 30 ZTF_r AB 
59024.24288 3.658715239510289e-05 3.51037625416815e-06 30 ZTF_r AB 
59025.19337 3.3945173284515325e-05 3.7354381316909644e-06 30 ZTF_r AB 
59026.29034 3.567201005527274e-05 2.827002086547898e-06 30 ZTF_r AB 
59027.27333 3.4768211363107975e-05 3.646884046098023e-06 30 ZTF_r AB 
59028.23127 2.7784921167675494e-05 3.7851484186897246e-06 30 ZTF_r AB 
59031.2494 3.072564544020347e-05 4.75540700505168e-06 30 ZTF_r AB 
59032.245 2.418847117498084e-05 4.494689924127825e-06 30 ZTF_r AB 
59033.33319 2.3267152478053193e-05 5.613943787160656e-06 30 ZTF_r AB 
59038.22926 2.133600239107843e-05 3.191454021863673e-06 30 ZTF_r AB 
59044.2498 1.805127447831107e-05 2.7299189362366402e-06 30 ZTF_r AB 
59047.2115 1.935080472271741e-05 2.69436990128442e-06 30 ZTF_r AB 
59050.29146 1.9206301617540404e-05 2.742362492587976e-06 30 ZTF_r AB 
59053.31135 1.4285618892981622e-05 2.441518989667166e-06 30 ZTF_r AB 
