name z ra dec 
2020kyx 0.031985 243.439625 22.920661
time flux flux_err zp band mag_sys 
58992.27231 1.8171129376199477e-05 2.9735333009393067e-06 30 ZTF_r AB 
58993.26881 2.6092718448870397e-05 2.467416163307782e-06 30 ZTF_g AB 
58993.29907 4.369374516870843e-05 3.319670823062244e-06 30 ZTF_r AB 
58994.26781 5.112928415469699e-05 2.186828330745463e-06 30 ZTF_g AB 
58994.31036 8.253214931806272e-05 3.091136792637782e-06 30 ZTF_r AB 
58995.25789 0.00013404131565129192 3.3380328883208573e-06 30 ZTF_r AB 
58996.27319 0.00020381211517389255 2.9983912565638707e-06 30 ZTF_r AB 
58996.31721 0.00016277506684780018 2.109696028826547e-06 30 ZTF_g AB 
58997.29532 0.0002882037281936413 3.4109031063438842e-06 30 ZTF_r AB 
58998.26117 0.00036395964710012735 3.6528142886735387e-06 30 ZTF_r AB 
58998.29464 0.0003723836595911299 3.4539591705636316e-06 30 ZTF_r AB 
58998.35215 0.00033328234938785053 2.1169494680067406e-06 30 ZTF_g AB 
58999.24553 0.0003992749799488877 4.503209670696333e-06 30 ZTF_g AB 
58999.26972 0.00039765201973698615 3.5083325758527776e-06 30 ZTF_g AB 
58999.29617 0.0004076574915289968 5.0787032313700184e-06 30 ZTF_r AB 
59000.28938 0.00047595786014835087 3.5212635041423983e-06 30 ZTF_g AB 
59000.40025 0.0005068392879676565 3.4572311544398768e-06 30 ZTF_g AB 
59001.26118 0.0006264402573427696 5.355358542681114e-06 30 ZTF_r AB 
59001.37041 0.0005731635441845057 3.983909129251011e-06 30 ZTF_g AB 
59004.21946 0.0007548140387471464 6.961315578100893e-06 30 ZTF_g AB 
59004.2894 0.0007603187155307511 7.486271520077906e-06 30 ZTF_r AB 
59005.22576 0.0007824416579814455 7.020924650175275e-06 30 ZTF_g AB 
59005.27689 0.0007902240283684876 1.0377240595148868e-05 30 ZTF_r AB 
59008.31947 0.0008347190871308414 5.338863301975617e-06 30 ZTF_r AB 
59009.2678 0.0007975340214985408 4.216059830153116e-06 30 ZTF_g AB 
59011.25649 0.0008323951527051221 3.887308419214536e-06 30 ZTF_r AB 
59011.29017 0.0007984082332867937 3.4243271150564393e-06 30 ZTF_g AB 
59014.23668 0.0007943656883497993 4.296955895599981e-06 30 ZTF_r AB 
59017.25562 0.0006472420461813497 3.7658506426320582e-06 30 ZTF_r AB 
59017.30256 0.0005892694404908792 2.251469581939531e-06 30 ZTF_g AB 
59020.25266 0.0005114809179036564 3.4163502206655988e-06 30 ZTF_r AB 
59023.19749 0.0004613080423423354 3.6945151133343917e-06 30 ZTF_r AB 
59023.23584 0.0003505354462502892 1.943323027149438e-06 30 ZTF_g AB 
59024.24962 0.0004420525007688554 3.934391802787997e-06 30 ZTF_r AB 
59026.23296 0.0002675249914093762 3.335369138459169e-06 30 ZTF_g AB 
59026.28788 0.0004380371605443518 3.752673882293785e-06 30 ZTF_r AB 
