name z ra dec 
2020lao 0.031162 256.7275 30.2715
time flux flux_err zp band mag_sys 
58985.42391199991 9.275672894476855e-06 2.5275518293700685e-06 26.3089 ZTF_g AB 
58991.319641199894 9.069906579908021e-06 2.650006177779525e-06 26.2925 ZTF_g AB 
58994.31446760008 3.373888172918186e-05 2.9955362662825765e-06 26.1891 ZTF_r AB 
58994.41313660005 4.823112721003221e-05 2.599974175215138e-06 26.3015 ZTF_g AB 
58994.41407410009 4.77438374136058e-05 2.412222610712488e-06 26.3091 ZTF_g AB 
58995.27604170004 8.798628406248304e-05 3.399541072696965e-06 26.1773 ZTF_r AB 
58995.28697919985 9.177045862723054e-05 3.4473861469896476e-06 26.1777 ZTF_r AB 
58995.32201390015 8.562241829196092e-05 2.601581117797366e-06 26.2809 ZTF_g AB 
58995.3229398001 8.32080174488805e-05 2.471589311052715e-06 26.2843 ZTF_g AB 
58996.30699069984 0.000149475278147426 3.873834057610345e-06 26.1778 ZTF_r AB 
58996.30792819988 0.0001489011722629159 3.792692719782569e-06 26.1741 ZTF_r AB 
58996.33005789993 0.00015131821358763762 2.913976015056781e-06 26.2869 ZTF_g AB 
58996.33099539997 0.0001545471730102277 3.0478472787852856e-06 26.2881 ZTF_g AB 
58997.3014814998 0.00022737918858287546 3.91641510903356e-06 26.1803 ZTF_r AB 
58997.30241899984 0.00022923543908386003 4.0271040340634554e-06 26.1856 ZTF_r AB 
58997.38452549977 0.0002301825143783749 3.463999547260085e-06 26.2831 ZTF_g AB 
58997.38546299981 0.0002221479446695253 3.5589019107617184e-06 26.3268 ZTF_g AB 
58998.31111110002 0.00029498166668423455 4.4207634486333634e-06 26.1771 ZTF_r AB 
58998.3121181 0.0002872080750132476 4.507591397946292e-06 26.1746 ZTF_r AB 
58998.36402780004 0.000290932667646345 3.653663274781384e-06 26.2921 ZTF_g AB 
58998.36508100014 0.00029796018378671686 3.6021216549267347e-06 26.3005 ZTF_g AB 
58999.310682899784 0.00031182921481557897 5.489584968333953e-06 26.1858 ZTF_r AB 
58999.350590299815 0.0003372873801561398 5.610722377219898e-06 26.0609 ZTF_r AB 
58999.35152779985 0.0003343736202290012 5.004092765292467e-06 26.1421 ZTF_r AB 
58999.4019559999 0.00032109812521021 4.4153512182902816e-06 26.3074 ZTF_g AB 
58999.40289349994 0.0003166992154072184 5.003849163371155e-06 26.2635 ZTF_g AB 
59000.310000000056 0.00038333597051983393 7.533251415585522e-06 25.9045 ZTF_g AB 
59000.344849499874 0.0004076662679582321 5.93196319209539e-06 26.0872 ZTF_r AB 
59000.391932900064 0.0003681001432509557 3.12555104184578e-05 24.2387 ZTF_r AB 
59000.3928704001 0.00040257799671461974 1.747839671457716e-05 24.833 ZTF_r AB 
59000.41438659979 0.0003832087322466476 1.157104651917804e-05 25.0606 ZTF_g AB 
59000.41532409983 0.0003886973193949693 1.4388202240319848e-05 24.8089 ZTF_g AB 
59001.27837960003 0.00043252448894614713 5.991519232344405e-06 26.1851 ZTF_r AB 
59001.390798599925 0.0004054293508373151 4.700109502077645e-06 26.2273 ZTF_g AB 
59001.41608799994 0.00039657571060974 4.369064646054328e-06 26.2667 ZTF_g AB 
59002.40356480004 0.00042290102273384654 2.689401678931087e-05 24.6373 ZTF_g AB 
59002.40450230008 0.00042331378619009526 1.8163440898997316e-05 25.023 ZTF_g AB 
59004.2222684999 0.000389911709772854 9.001479534928097e-06 26.2564 ZTF_g AB 
59004.286562500056 0.00047484454908991176 8.28311537807575e-06 26.2011 ZTF_r AB 
59005.223865699954 0.0003608492495081234 9.02212566910157e-06 26.2983 ZTF_g AB 
59005.283194399904 0.00059821945485555 4.122033753480528e-05 25.3316 ZTF_r AB 
59009.36318290001 0.0003972874374569438 6.464231297380985e-06 26.2385 ZTF_r AB 
59011.25982639985 0.00039070402753691347 4.764110311740638e-06 26.1824 ZTF_r AB 
59011.27969910018 0.0001934498491459381 3.419130284319079e-06 26.1954 ZTF_g AB 
59012.31299770018 0.0001634031146273165 2.900930471642916e-06 26.3561 ZTF_g AB 
59013.314999999944 0.00033492034063110546 4.7073578021865286e-06 26.2331 ZTF_r AB 
59014.26158560021 0.0003149212939202471 4.6476066500093965e-06 26.2355 ZTF_r AB 
59014.34056709986 0.00012784398426647707 2.7783685713315054e-06 26.3498 ZTF_g AB 
59015.3120833002 0.00011639066929249757 3.0549917489591146e-06 26.3306 ZTF_g AB 
59015.31804399984 0.00029179546459645166 4.731222179173223e-06 26.1902 ZTF_r AB 
59016.25780089991 0.00027260339744068296 6.480478334192915e-06 25.8633 ZTF_r AB 
59016.33734950004 0.00010924634970144866 3.0691833956534497e-06 26.1716 ZTF_g AB 
59017.29060189985 0.00025105965454599844 3.898909026312612e-06 26.2312 ZTF_r AB 
59018.2607522998 0.0002380360094502035 4.0622443652669845e-06 26.2605 ZTF_r AB 
59018.339826399926 9.012077271399161e-05 2.7616442288457098e-06 26.3369 ZTF_g AB 
59020.22377309995 8.748399744130777e-05 2.642525793781526e-06 26.2925 ZTF_g AB 
59020.27890049992 0.000213491407241867 4.017587483467188e-06 26.1945 ZTF_r AB 
59022.25346060004 0.00018790270880902465 3.6526366143188258e-06 26.2285 ZTF_r AB 
59022.34347219998 6.831063609820025e-05 2.6679171971599596e-06 26.3427 ZTF_g AB 
59023.29837960005 0.00016610996373746047 3.721531984594718e-06 26.2216 ZTF_r AB 
59023.320763899945 6.833198836956183e-05 2.5867284779245056e-06 26.3411 ZTF_g AB 
59024.257361100055 0.00017012347725099604 3.9313532222852935e-06 26.1309 ZTF_r AB 
59024.28943290003 6.174048655716672e-05 3.036791261998167e-06 26.1371 ZTF_g AB 
59025.1958217998 0.0001712069854881095 6.28074239370794e-06 25.5875 ZTF_r AB 
59025.24969909992 5.687254323214603e-05 2.597891026016089e-06 26.2377 ZTF_g AB 
59026.288391199894 0.0001266297303744755 4.602898123214234e-06 26.0839 ZTF_r AB 
59026.36467589997 5.414516669963958e-05 2.814283375514505e-06 26.2823 ZTF_g AB 
59027.238286999986 5.783996161613795e-05 3.4761358862729183e-06 26.1817 ZTF_g AB 
59027.27028940013 0.00012512372305670998 4.727502719289556e-06 26.0474 ZTF_r AB 
59028.23221059982 0.00012260939467772502 4.396807101809429e-06 26.1324 ZTF_r AB 
59028.338113400154 5.234061870552051e-05 2.973429233997774e-06 26.2092 ZTF_g AB 
59030.35008100001 4.3485025579140166e-05 4.07356700756811e-06 26.2244 ZTF_g AB 
59031.1936458 4.6235631738370356e-05 4.219264239184986e-06 26.2186 ZTF_g AB 
59031.246701399796 0.00011882907110680805 5.076098375226631e-06 26.1378 ZTF_r AB 
59032.24310189998 0.00010952110576275136 5.5844123618237706e-06 26.1729 ZTF_r AB 
59032.393113399856 5.7780527362081175e-05 5.944584993357216e-06 26.2042 ZTF_g AB 
59033.21103010001 5.0097492524280994e-05 7.839568866009124e-06 26.2742 ZTF_g AB 
59033.21856479999 3.496848724292087e-05 8.29902886493809e-06 26.3747 ZTF_g AB 
59033.219976900145 5.047922623960429e-05 5.630656737570619e-06 26.2709 ZTF_g AB 
59033.33179400023 9.2672907692314e-05 6.7143071324610445e-06 26.1754 ZTF_r AB 
59034.215104199946 4.3172077652814015e-05 6.324781301953954e-06 26.2782 ZTF_g AB 
59034.22805560008 4.470289438832536e-05 8.037052468909295e-06 26.3573 ZTF_g AB 
59034.33971060021 9.72626453380995e-05 7.029154664811567e-06 26.1712 ZTF_r AB 
59035.21467590006 4.3617174692178494e-05 8.270525817122508e-06 26.3233 ZTF_g AB 
59035.329375000205 0.0001078990694342899 7.887194462243587e-06 26.169 ZTF_r AB 
59036.25053239986 4.568472624931047e-05 7.677739919990932e-06 26.3627 ZTF_g AB 
59037.3283218001 9.451305477418866e-05 5.9255400676930254e-06 26.1816 ZTF_r AB 
59038.2255092999 7.302983945679582e-05 4.34029135262628e-06 26.1839 ZTF_r AB 
59038.26016200008 3.6126202606461264e-05 3.6553219462839375e-06 26.3064 ZTF_g AB 
59039.31043979991 8.202205056465736e-05 4.05073270749487e-06 26.1765 ZTF_r AB 
59041.2256713002 3.2140912676426446e-05 2.501859427484653e-06 26.27 ZTF_g AB 
59041.25582179986 7.620790436340015e-05 3.534355301010493e-06 26.1781 ZTF_r AB 
59044.32635420002 3.8531066176966434e-05 3.233468793986651e-06 26.3089 ZTF_g AB 
59047.25677079987 3.139582123619416e-05 2.398763891781314e-06 26.3548 ZTF_g AB 
59048.24929400021 6.600780416749314e-05 3.2737637656378125e-06 26.2358 ZTF_r AB 
59048.27841439983 3.380535336793428e-05 2.295533402797626e-06 26.3449 ZTF_g AB 
59049.34440970002 7.135744522034837e-05 3.863735172614875e-06 26.2004 ZTF_r AB 
59050.24736109981 2.63947080242917e-05 2.6416834361886094e-06 26.3327 ZTF_g AB 
59050.27614580002 5.9654926000265075e-05 3.7735633738069647e-06 26.2168 ZTF_r AB 
59050.27800930012 5.048369250600035e-05 3.7972603490944904e-06 26.2176 ZTF_r AB 
59051.310289400164 3.171309180970253e-05 2.460799644515695e-06 26.271 ZTF_g AB 
59051.35155089991 6.512490162017851e-05 3.691366432044015e-06 26.1639 ZTF_r AB 
59052.256215299945 5.8737868301999485e-05 2.9868157080117045e-06 26.2346 ZTF_r AB 
59052.27569440007 3.194259891921385e-05 2.2456456763774563e-06 26.3355 ZTF_g AB 
59053.24675930012 2.6168632190138517e-05 2.0511288044015614e-06 26.3437 ZTF_g AB 
59053.32193290023 6.08536100249675e-05 3.529390437619164e-06 26.2117 ZTF_r AB 
59053.3229398001 5.6047799413226066e-05 3.045392713446033e-06 26.212 ZTF_r AB 
59053.340104199946 2.8577411093855034e-05 2.4765381563296197e-06 26.3017 ZTF_g AB 
59054.28898150008 3.0013124645359096e-05 2.6718438092482425e-06 26.3041 ZTF_g AB 
59054.35256939987 5.558417958368446e-05 3.990347631525768e-06 26.1783 ZTF_r AB 
59055.29835649999 3.0176466680843262e-05 2.4649862823252866e-06 26.3101 ZTF_g AB 
59055.32431709999 5.671850702234099e-05 3.5302554662552986e-06 26.1814 ZTF_r AB 
59056.27458330011 3.0883511161973753e-05 2.979451640095591e-06 26.3091 ZTF_g AB 
59056.27552080015 2.7609106793018564e-05 2.5846128926021637e-06 26.3189 ZTF_g AB 
59056.33883100003 5.525406156719587e-05 4.212389661290573e-06 26.1752 ZTF_r AB 
59056.34981480008 3.743299674383213e-05 6.356311584907448e-06 26.1646 ZTF_r AB 
59057.26759260008 3.1541511938101755e-05 3.1651721878210098e-06 26.304 ZTF_g AB 
59057.32187499991 5.431192216592469e-05 3.5569080296622222e-06 26.1748 ZTF_r AB 
59059.18736110022 4.9588420552523355e-05 4.394067062496608e-06 26.2202 ZTF_r AB 
59059.18782409979 4.7038864052301875e-05 4.428930505041173e-06 26.2217 ZTF_r AB 
59059.289513899945 3.302940666161753e-05 3.784291347216952e-06 26.3206 ZTF_g AB 
59060.206689800136 4.970736192522029e-05 4.2952069048621606e-06 26.2119 ZTF_r AB 
59060.29841439985 2.417575201463135e-05 6.20934497150034e-06 26.2785 ZTF_g AB 
59061.18315970013 3.34786234419846e-05 4.137211922219143e-06 26.3373 ZTF_g AB 
59061.25432869978 5.607867863968766e-05 4.567146818138637e-06 26.2034 ZTF_r AB 
59061.27534720022 4.8640619013409685e-05 5.319214333995428e-06 26.1983 ZTF_r AB 
59062.23172450019 5.2308840022747475e-05 5.216543982475612e-06 26.2068 ZTF_r AB 
59062.23266200023 5.217145364517232e-05 5.391719920605676e-06 26.2096 ZTF_r AB 
59062.33991899993 3.063171398940625e-05 7.175602600061781e-06 26.1982 ZTF_g AB 
59063.255590300076 2.281223139213383e-05 5.481896262098984e-06 26.3241 ZTF_g AB 
59063.28269679984 4.4333802761061845e-05 6.782966948695319e-06 26.2149 ZTF_r AB 
59064.19700230006 3.691803007632297e-05 9.26502314815492e-06 26.246 ZTF_g AB 
