name z ra dec 
2020nny 0.030654 344.642616645 15.1708536937
time flux flux_err zp band mag_sys 
59014.481655099895 5.6891561554310174e-05 7.053788647443524e-06 26.0701 ZTF_r AB 
59018.4656134001 8.327438428886683e-05 3.6154540978316273e-06 26.0471 ZTF_r AB 
59026.47439809982 8.712849003511626e-05 4.049904931842208e-06 26.087 ZTF_r AB 
59030.46686339984 7.896535092805167e-05 4.385950319929829e-06 26.0284 ZTF_r AB 
59036.38204859989 7.551179565171194e-05 8.421996499911277e-06 26.0698 ZTF_r AB 
59039.4568403 6.580663881889181e-05 7.13692130546683e-06 26.0868 ZTF_r AB 
59042.46325229993 7.73332615833292e-05 4.938546514750663e-06 26.0239 ZTF_r AB 
59045.36217590002 6.620755521306472e-05 3.895587139684927e-06 26.0505 ZTF_r AB 
59046.42251159996 6.705564986603847e-05 3.5978847467580003e-06 26.0762 ZTF_r AB 
59048.41834490001 6.574006830211761e-05 4.116088891144699e-06 26.085 ZTF_r AB 
59051.418530100025 5.492490939200281e-05 3.7683850354523167e-06 26.0531 ZTF_r AB 
59054.40339120012 5.235036329686346e-05 3.667371699001129e-06 26.0701 ZTF_r AB 
59057.45478009991 4.419951415152833e-05 3.678576840064387e-06 26.054 ZTF_r AB 
59060.424895800184 4.990031136566001e-05 3.3204187331520777e-06 26.0599 ZTF_r AB 
59060.4287268999 4.987367886106182e-05 3.279660203590665e-06 26.0616 ZTF_r AB 
59061.34144680016 5.669361491333144e-05 4.785520899893066e-06 26.0674 ZTF_r AB 
59063.37057870021 4.910025210786803e-05 7.484300103011069e-06 26.078 ZTF_r AB 
59063.39483800018 2.6954990799254622e-05 8.042229390856564e-06 26.0697 ZTF_r AB 
59064.36612269981 4.07194098725675e-05 9.286447005419722e-06 26.0685 ZTF_r AB 
59066.44175929995 4.884935233622802e-05 8.40699941656009e-06 26.0633 ZTF_r AB 
59069.403506900184 4.696711317295023e-05 5.687925232254575e-06 26.0847 ZTF_r AB 
59071.38888890017 4.069055626988598e-05 4.90260288044436e-06 26.081 ZTF_r AB 
59072.46172450017 4.7649760145091285e-05 4.31670993496462e-06 26.0604 ZTF_r AB 
59075.31490739994 4.878255518795837e-05 3.922403601701578e-06 25.9824 ZTF_r AB 
59076.36658560019 4.34986150380331e-05 4.518981256460821e-06 25.944 ZTF_r AB 
59078.34563660016 4.1203024894499444e-05 3.7957976761188847e-06 25.9965 ZTF_r AB 
59078.34752310021 3.8765944873990484e-05 3.6554112980514533e-06 25.9981 ZTF_r AB 
59079.373205999844 3.554806893181824e-05 4.066034872570998e-06 25.9778 ZTF_r AB 
59080.34163190005 4.189186911852642e-05 4.1167537262012535e-06 25.9286 ZTF_r AB 
59081.3744212999 3.584283241488729e-05 4.239081934731934e-06 25.9256 ZTF_r AB 
59081.37778940005 4.054682871472714e-05 4.201286544636913e-06 25.907 ZTF_r AB 
59084.29304399993 2.8693141172325604e-05 4.3436563952831935e-06 25.9233 ZTF_r AB 
59086.333437500056 3.888382407116658e-05 3.520640600273446e-06 26.0183 ZTF_r AB 
59087.37181709986 2.9286418333246452e-05 3.9682843695913325e-06 25.935 ZTF_r AB 
59087.37462959997 3.4515773875844175e-05 4.2614919210127525e-06 25.9295 ZTF_r AB 
59090.43990739994 1.3473127951772356e-05 3.9306971790935035e-06 25.9972 ZTF_r AB 
59098.331736099906 2.3804133900275282e-05 7.091766469082416e-06 26.0439 ZTF_r AB 
59099.327604200225 2.443577077647702e-05 5.5195302019819314e-06 25.9973 ZTF_r AB 
