name z ra dec 
2020rlj 0.045 345.290059561 23.4872227538
time flux flux_err zp band mag_sys 
59077.30131 2.7429670022839875e-05 3.137234503992185e-06 30 ZTF_r AB 
59077.37497 2.737071994371124e-05 1.7278930744342355e-06 30 ZTF_g AB 
59077.41753 2.6145785755816517e-05 1.85368917143564e-06 30 ZTF_g AB 
59078.30522 3.8607258493502134e-05 2.6075657818491976e-06 30 ZTF_r AB 
59079.33247 4.393392351671495e-05 2.034449470893846e-06 30 ZTF_g AB 
59079.37227 4.8378425305968466e-05 2.531937399001257e-06 30 ZTF_r AB 
59080.32605 5.829185205477392e-05 2.663642166288876e-06 30 ZTF_r AB 
59080.37083 5.833512642042667e-05 2.6309646806241266e-06 30 ZTF_r AB 
59080.42111 5.210693956753068e-05 2.376528133790284e-06 30 ZTF_g AB 
59080.42793 5.0826762545293284e-05 2.4461942425520415e-06 30 ZTF_g AB 
59081.30697 6.065575233368278e-05 2.1293887258573794e-06 30 ZTF_g AB 
59081.37348 7.916974659211059e-05 3.0666499351410416e-06 30 ZTF_r AB 
59084.30668 0.00012021789174540674 2.701722636461951e-06 30 ZTF_r AB 
59084.39894 9.574562914124931e-05 1.950848758635617e-06 30 ZTF_g AB 
59085.37208 0.00011347667821528265 1.8891976669492375e-06 30 ZTF_g AB 
59086.33602 0.00015317234051358383 2.5914842902797035e-06 30 ZTF_r AB 
59087.28435 0.0001595019471576765 3.587090629789465e-06 30 ZTF_r AB 
59087.33765 0.00011742028492696756 2.1157208388848508e-06 30 ZTF_g AB 
59087.37133 0.00016597965686216716 3.0984628791422183e-06 30 ZTF_r AB 
59088.32693 0.00011687136998095455 2.4665487159185892e-06 30 ZTF_g AB 
59088.43554 0.00015908017884243332 3.2792980428035247e-06 30 ZTF_r AB 
59089.28723 0.00011259988265466947 4.3330176263316626e-06 30 ZTF_g AB 
59090.28558 0.00011025452949203261 4.612588602949319e-06 30 ZTF_g AB 
59090.40122 0.00011038334406707833 2.3215334253278455e-06 30 ZTF_g AB 
59090.45667 0.00017618973693500807 2.5395715545159546e-06 30 ZTF_r AB 
59091.30576 0.00010602442612919993 4.036654659505639e-06 30 ZTF_g AB 
59092.30399 9.512226830780847e-05 5.566087494200142e-06 30 ZTF_g AB 
59093.35263 0.00016351100576875594 6.296693278842849e-06 30 ZTF_r AB 
59093.40281 8.488290925755245e-05 7.746986956950475e-06 30 ZTF_g AB 
59094.4081 0.00016222621990630697 1.020233420824726e-05 30 ZTF_r AB 
59096.17392 5.9164403196618926e-05 5.2726174349890826e-06 30 ZTF_g AB 
59096.28944 0.00014635191685841216 5.295417181569385e-06 30 ZTF_r AB 
59096.36544 0.00013857416580453756 5.2434779032833984e-06 30 ZTF_r AB 
59097.19041 5.113341641865403e-05 5.371995567441093e-06 30 ZTF_g AB 
59097.2672 0.00013182600161705638 5.694666908775391e-06 30 ZTF_r AB 
59097.46219 0.00012227057135518233 7.360900111798192e-06 30 ZTF_r AB 
59098.22956 3.758676509852983e-05 4.004747669490943e-06 30 ZTF_g AB 
59098.33031 0.00011701016702403846 4.240703439834036e-06 30 ZTF_r AB 
59098.35767 0.00013160998760221467 4.526019853858704e-06 30 ZTF_r AB 
59099.21777 0.00012137248250112203 4.0706933714557415e-06 30 ZTF_r AB 
