name z ra dec 
2020itj 0.03295304 218.701639922 8.16956133833
time flux flux_err zp band mag_sys 
58968.49 25.67 5.77 23.9 ATLAS_o AB 
58969.45 30.17 4.76 23.9 ATLAS_o AB 
58971.47 36.25 7.25 23.9 ATLAS_o AB 
58973.39 47.75 9.62 23.9 ATLAS_o AB 
58977.47 124.5 14.5 23.9 ATLAS_o AB 
58980.42 104.0 13.0 23.9 ATLAS_o AB 
58981.43 80.75 7.25 23.9 ATLAS_o AB 
58982.45 89.5 7.12 23.9 ATLAS_o AB 
58983.39 88.75 5.12 23.9 ATLAS_c AB 
58984.45 96.75 5.62 23.9 ATLAS_o AB 
58986.44 79.5 4.75 23.9 ATLAS_c AB 
58988.42 87.5 4.62 23.9 ATLAS_o AB 
58990.39 58.5 4.12 23.9 ATLAS_c AB 
58992.4 59.25 5.38 23.9 ATLAS_o AB 
58994.4 30.25 4.5 23.9 ATLAS_c AB 
58995.43 34.0 4.5 23.9 ATLAS_c AB 
58999.4 45.25 6.12 23.9 ATLAS_o AB 
59000.38 46.75 6.75 23.9 ATLAS_o AB 
59006.38 38.0 11.74 23.9 ATLAS_o AB 
59007.36 34.5 8.12 23.9 ATLAS_o AB 
59008.39 46.75 10.88 23.9 ATLAS_o AB 
59010.41 41.5 9.9 23.9 ATLAS_o AB 
59013.36 39.75 4.5 23.9 ATLAS_o AB 
59020.35 25.67 5.0 23.9 ATLAS_o AB 
59022.34 22.75 4.12 23.9 ATLAS_c AB 
59025.33 16.75 4.75 23.9 ATLAS_o AB 
59026.38 16.25 4.38 23.9 ATLAS_c AB 
59034.37 43.0 13.66 23.9 ATLAS_o AB 
59038.31 16.0 4.62 23.9 ATLAS_o AB 
59040.35 19.5 4.62 23.9 ATLAS_o AB 
59044.33 19.75 5.0 23.9 ATLAS_o AB 
59050.3 19.5 5.12 23.9 ATLAS_c AB 
58961.40271990001 25.68525486532589 6.549472664043123 25.9793 ZTF_r AB 
58961.40596059989 22.6670196806568 5.474682155090289 25.9598 ZTF_r AB 
58963.32819439983 13.785665354039946 2.8789188731422266 26.105 ZTF_g AB 
58963.32954860013 10.13081027142911 3.116448061551153 26.1041 ZTF_g AB 
58964.286631899886 17.0751177721523 3.75764195744424 25.9819 ZTF_r AB 
58965.32805560017 17.063975100927212 3.5450647601785703 26.0007 ZTF_r AB 
58967.27402780019 16.099505123618737 3.1431399522149666 26.0952 ZTF_g AB 
58967.33738429984 25.635312603382708 3.896616909173739 25.9881 ZTF_r AB 
58967.353379600216 33.05752088407243 4.138568514474295 26.0002 ZTF_r AB 
58970.293599499855 30.18106578292064 4.0953078154721325 26.1296 ZTF_g AB 
58970.29406249989 29.461635275011744 4.028875057800144 26.1743 ZTF_g AB 
58970.35940970015 40.02347318329866 3.577065252145659 26.0647 ZTF_r AB 
58970.3603356001 48.344074151105296 3.923509495236512 26.0435 ZTF_r AB 
58973.25143520022 42.99342910132454 7.841794763151116 26.0913 ZTF_g AB 
58973.25190970022 52.53943273355516 7.233359433981083 26.135 ZTF_g AB 
58973.29399310006 72.13533678510753 7.37813378805084 26.0252 ZTF_r AB 
58973.31526619988 66.02894216628957 7.213715193856678 26.0561 ZTF_r AB 
58976.20493059978 85.49162930265763 15.231839447843068 26.0949 ZTF_g AB 
58976.20540509978 66.47385391842109 17.797422160465608 26.0708 ZTF_g AB 
58976.29370369995 93.23871527987856 13.99597011401336 26.0351 ZTF_r AB 
58976.31383100012 74.4011244092419 18.26848043939044 26.0009 ZTF_r AB 
58979.2487269002 89.36345831990072 5.096685981517368 25.9749 ZTF_g AB 
58979.26891200012 84.63144625914606 5.885533770139544 26.093 ZTF_g AB 
58979.297557900194 91.95472483078228 7.182354366708883 25.9829 ZTF_r AB 
58979.2980324002 110.30163901990898 6.242760034134959 26.0089 ZTF_r AB 
58985.27239579987 106.06584648570788 3.9118791158942674 26.024 ZTF_r AB 
58985.29137729993 97.92420436943168 3.765327910403372 26.0119 ZTF_r AB 
58985.29399310006 61.57863840187842 3.2890738623303504 26.1263 ZTF_g AB 
58991.271006899886 81.64769715453096 4.110582239467288 26.0358 ZTF_r AB 
58991.29508099984 40.27889070877072 3.062852590001754 26.1574 ZTF_g AB 
58991.29601849988 35.86221036962435 3.4895841788566364 26.1107 ZTF_g AB 
58994.25148149999 30.12049590634397 3.0001085313495373 26.1259 ZTF_g AB 
58994.27371530002 65.94377511327689 3.8927096816335545 26.0057 ZTF_r AB 
58995.25457180012 63.79184863434404 3.3597440201157776 26.0367 ZTF_r AB 
58995.30083330022 27.183855728053 3.449278314152048 26.1405 ZTF_g AB 
58997.21045139991 21.24512840998494 3.6961097274024617 26.1139 ZTF_g AB 
58998.26541669993 52.43905917445186 3.8174959316220383 26.0283 ZTF_r AB 
58998.270092600025 50.1798671981112 4.026512625850444 26.0072 ZTF_r AB 
58998.2747105998 55.90698626246241 3.537721257765354 26.0114 ZTF_r AB 
58998.337789400015 20.94059607478537 2.9311263243798176 26.1086 ZTF_g AB 
59000.257129599806 25.297754097750506 4.7192645960474895 26.119 ZTF_g AB 
59001.23189810012 52.395786265456 7.274422301709735 25.9906 ZTF_r AB 
59001.371354199946 28.095664355232067 7.003318321194852 26.01 ZTF_g AB 
59004.25075230002 72.36388445094549 11.75728875229859 26.0566 ZTF_r AB 
59009.20053240005 31.447989289801235 5.031577813775682 26.07 ZTF_r AB 
59009.21149310004 23.82080213979786 5.4282774818669655 26.0888 ZTF_r AB 
59012.193669000175 13.57330016357228 2.7536877268796816 26.2528 ZTF_g AB 
