name z ra dec 
2020jfo 0.005224 185.460333 4.481681
time flux flux_err zp band mag_sys 
58976.44 3447.0 21.12 23.9 ATLAS_o AB 
58978.46 5101.5 17.38 23.9 ATLAS_o AB 
58980.36 5683.33 39.26 23.9 ATLAS_o AB 
58982.37 5703.33 15.2 23.9 ATLAS_c AB 
58984.4 5394.0 11.29 23.9 ATLAS_o AB 
58986.37 5103.25 12.25 23.9 ATLAS_c AB 
58988.36 5374.0 16.17 23.9 ATLAS_o AB 
58990.33 4995.75 12.25 23.9 ATLAS_c AB 
58992.35 5356.25 13.0 23.9 ATLAS_o AB 
58994.35 4580.25 12.0 23.9 ATLAS_c AB 
58996.35 5239.5 24.4 23.9 ATLAS_o AB 
58998.31 5287.0 14.25 23.9 ATLAS_o AB 
59004.33 4973.5 15.5 23.9 ATLAS_o AB 
59005.35 5099.5 19.12 23.9 ATLAS_o AB 
59006.3 5041.25 15.25 23.9 ATLAS_o AB 
59008.34 4964.33 84.87 23.9 ATLAS_o AB 
59010.32 5041.25 13.38 23.9 ATLAS_o AB 
59016.3 4783.25 14.75 23.9 ATLAS_o AB 
59020.29 4582.75 15.88 23.9 ATLAS_o AB 
59022.28 3133.75 10.62 23.9 ATLAS_c AB 
59024.27 4337.75 12.75 23.9 ATLAS_o AB 
59026.27 4345.67 16.74 23.9 ATLAS_o AB 
59030.26 4102.0 21.55 23.9 ATLAS_o AB 
59032.3 3647.4 13.42 23.9 ATLAS_o AB 
59034.3 3418.5 19.75 23.9 ATLAS_o AB 
59036.26 3062.67 16.17 23.9 ATLAS_o AB 
59040.29 1874.25 10.75 23.9 ATLAS_o AB 
59042.29 726.33 10.01 23.9 ATLAS_c AB 
59044.26 1021.75 8.62 23.9 ATLAS_o AB 
59064.25 780.5 20.0 23.9 ATLAS_o AB 
58975.20255789999 1457.0204785578762 44.69034432633605 26.2847 ZTF_r AB 
58975.2501968001 2502.5706983496043 53.31565229314956 26.2856 ZTF_g AB 
58978.19204859994 5892.811756671444 54.62649796722744 26.2594 ZTF_g AB 
58978.19298609998 5996.264069279688 54.75785203801673 26.2439 ZTF_g AB 
58978.24788190005 5550.60561825432 52.355102995161154 26.2963 ZTF_r AB 
58978.24881940009 5819.170975521176 54.26052553467054 26.2861 ZTF_r AB 
58979.25216440018 5937.437811532108 57.32296302779062 26.1729 ZTF_g AB 
58980.1895486 5949.652313553027 52.96059721249615 26.2382 ZTF_g AB 
58981.19927080022 5916.833094288772 53.80955495930407 26.2302 ZTF_g AB 
58981.20021989988 5913.830673114296 52.82665492663032 26.2523 ZTF_g AB 
58981.24912039982 5911.1871444772605 53.88282128830589 26.2595 ZTF_r AB 
58981.25005789986 6041.111200664008 53.99113289433583 26.2773 ZTF_r AB 
58986.190555599984 5361.8724304781135 50.48535664483408 26.2467 ZTF_g AB 
58986.1920138998 5383.488871038974 50.52421894206544 26.2533 ZTF_g AB 
58986.25555559993 5937.862966228392 53.79414989955147 26.2584 ZTF_r AB 
58987.23158559995 5096.316085602803 48.20828192996587 26.2886 ZTF_g AB 
58987.29762730002 5714.724959643054 52.05577079942639 26.274 ZTF_r AB 
58991.17012730008 5077.829085619335 49.303958174317934 26.2395 ZTF_g AB 
58991.227661999874 6013.24267153601 54.08987022850698 26.2616 ZTF_r AB 
58992.19228010019 4748.368516018983 48.12449954373313 26.2329 ZTF_g AB 
58992.19321760023 4732.933464573636 47.58295318018341 26.2536 ZTF_g AB 
58992.23334489996 5878.526088034825 53.16820278099691 26.2555 ZTF_r AB 
58992.23427079991 5932.137475336389 53.83286168990991 26.2318 ZTF_r AB 
58993.2490046001 4584.749489541388 49.10796428290898 26.1785 ZTF_g AB 
58994.2215741002 4598.838180584728 47.611819555454936 26.2203 ZTF_g AB 
58995.20054400014 4392.662939799684 45.9942949483718 26.2435 ZTF_g AB 
58995.20146990009 4408.544775969633 46.491001851532346 26.2355 ZTF_g AB 
58995.21146989986 5836.825705093853 52.32127944501388 26.2707 ZTF_r AB 
58995.22942129988 5695.104425144681 53.67864279465015 26.2526 ZTF_r AB 
58996.25524310023 5767.204041352699 53.8387731246375 26.219 ZTF_r AB 
58997.18631940009 4029.026974484373 44.32986766644379 26.2597 ZTF_g AB 
58998.19271990005 3992.6518349970393 45.156142315232216 26.2531 ZTF_g AB 
58998.19365740009 3957.07610160316 44.556149662173794 26.2572 ZTF_g AB 
58998.22516199993 6009.439535682012 55.39604807660462 26.2497 ZTF_r AB 
58999.22799770022 3561.673855344172 131.528055953825 24.9968 ZTF_g AB 
58999.28615739988 5136.914352155692 65.41471082873404 26.2171 ZTF_r AB 
59005.186759300064 3420.97202232412 52.170978820638105 26.2051 ZTF_g AB 
59009.23148149997 2890.2195438587178 45.28760336360365 26.252 ZTF_g AB 
59014.19987270003 2885.471329436721 37.68763015395185 26.2852 ZTF_g AB 
59017.23525460018 5015.482461002721 49.92524938223009 26.2537 ZTF_r AB 
59020.197789399885 2632.9915066079534 37.48408290909572 26.1939 ZTF_g AB 
59020.23638889985 4867.285190634058 50.5253701534983 26.1894 ZTF_r AB 
59023.21440970013 2478.5663475642505 37.489113251923634 26.1646 ZTF_g AB 
59033.1761690001 3583.2713689799816 54.84149777354673 26.2669 ZTF_r AB 
59033.19792820001 1586.9126752682962 46.930183163013794 26.2077 ZTF_g AB 
59037.21212959988 1002.5211308089428 66.44315986112814 26.1151 ZTF_g AB 
