name z ra dec 
2020jgl 0.006758 142.243442219 -14.8055223401
time flux flux_err zp band mag_sys 
58975.29 63.0 11.75 23.9 ATLAS_o AB 
58976.3 220.75 12.75 23.9 ATLAS_o AB 
58979.32 1290.75 9.25 23.9 ATLAS_o AB 
58982.28 3897.75 12.12 23.9 ATLAS_c AB 
58983.26 4513.0 15.4 23.9 ATLAS_o AB 
58984.28 5536.17 12.11 23.9 ATLAS_o AB 
58986.29 8041.75 15.25 23.9 ATLAS_c AB 
58988.27 8396.5 24.04 23.9 ATLAS_o AB 
58990.26 10883.0 17.38 23.9 ATLAS_c AB 
58992.24 9354.0 41.0 23.9 ATLAS_o AB 
58994.27 9627.25 17.88 23.9 ATLAS_o AB 
58997.26 9242.0 44.88 23.9 ATLAS_o AB 
59000.28 7647.75 17.25 23.9 ATLAS_o AB 
59005.26 5484.25 26.12 23.9 ATLAS_o AB 
59010.26 5290.0 16.75 23.9 ATLAS_o AB 
59126.62 176.67 19.44 23.9 ATLAS_o AB 
59132.63 132.14 15.6 23.9 ATLAS_o AB 
59140.63 99.25 9.88 23.9 ATLAS_o AB 
59142.61 195.5 7.0 23.9 ATLAS_c AB 
59144.61 109.0 9.43 23.9 ATLAS_o AB 
59147.62 74.67 7.12 23.9 ATLAS_o AB 
