name z ra dec 
2020kjt 0.0372 280.818572284 71.6768336908
time flux flux_err zp band mag_sys 
58966.45 17.57 5.13 23.9 ATLAS_o AB 
58968.53 26.5 4.62 23.9 ATLAS_c AB 
58970.58 27.25 5.12 23.9 ATLAS_o AB 
58972.59 18.5 5.0 23.9 ATLAS_c AB 
58990.48 37.33 6.74 23.9 ATLAS_o AB 
58994.49 29.38 4.51 23.9 ATLAS_o AB 
58998.48 25.0 4.16 23.9 ATLAS_o AB 
58940.49006940005 98.9248495876327 26.8463812865255 26.1369 ZTF_g AB 
58944.51160879992 134.754630350875 43.4809159512998 26.2002 ZTF_r AB 
58954.4912963002 167.879703344472 36.7264441331629 26.2305 ZTF_r AB 
58955.451828700025 181.494559173496 35.0055120344854 26.2164 ZTF_r AB 
58956.4703241 92.8263598786171 26.3031923892682 25.8621 ZTF_g AB 
58956.49008100014 129.404895044393 37.2775476552602 25.7896 ZTF_r AB 
58961.44854169991 164.557028326098 47.5022749795837 26.1734 ZTF_r AB 
58962.47300929995 165.214753223934 31.9047264616534 26.2213 ZTF_r AB 
58962.4938194002 112.428079843584 30.0627371122842 26.2982 ZTF_g AB 
58963.45677080005 118.919580007379 23.1616910401889 26.2752 ZTF_g AB 
58964.394525500014 72.6111311469612 20.417790902573 26.2555 ZTF_g AB 
58964.430786999874 201.22675370779 23.2738145926761 26.209 ZTF_r AB 
58965.42413190007 78.7356605439852 20.8520715746592 26.2808 ZTF_g AB 
58965.44729170017 137.70652500216 23.7570532584313 26.2267 ZTF_r AB 
58966.445486099925 89.5290619020834 21.033801336355 26.259 ZTF_g AB 
58966.4654513998 221.239015591273 23.8426338417966 26.1866 ZTF_r AB 
58967.388749999925 249.149431065537 30.116403309131 26.2067 ZTF_r AB 
58967.45012729988 98.3492546532534 22.708630445543 26.2939 ZTF_g AB 
58968.42422450008 199.686258284542 23.333999100012 26.2617 ZTF_r AB 
58968.46486110008 99.8737877378379 22.5970747593089 26.3326 ZTF_g AB 
58970.37936339993 207.915061208215 25.4737766429346 26.2526 ZTF_r AB 
58970.46700230008 94.8687030076677 18.3106757696714 26.3442 ZTF_g AB 
58971.39548610011 179.75959361564 35.806728378127 26.2483 ZTF_r AB 
58971.45258100005 91.7117008970416 23.4228624653116 26.325 ZTF_g AB 
58972.41357639991 174.381086310551 38.2103937124011 26.0083 ZTF_r AB 
58972.47105319984 125.039047112352 20.8941599441821 26.3368 ZTF_g AB 
58973.36409719987 299.571622504819 44.9074796151872 26.2407 ZTF_r AB 
58974.3608448999 166.324463209252 46.6229259656332 26.2333 ZTF_r AB 
58978.475544000044 249.942519174022 49.9568845948523 26.1136 ZTF_r AB 
58979.342164400034 176.653981058097 38.148234507818 26.173 ZTF_r AB 
58980.46694440022 170.445005886637 45.6684315878521 26.2471 ZTF_r AB 
58981.43587959977 142.76511702416 32.1141210223792 26.2452 ZTF_r AB 
58983.38913189992 211.805019884495 29.6759236791559 26.1827 ZTF_r AB 
58985.40402780008 226.032443493301 23.4511099406511 26.2337 ZTF_r AB 
58985.449849499855 140.572143576619 27.1375125146149 26.3119 ZTF_g AB 
58986.40209490014 87.2364428018799 21.4111860660988 26.3197 ZTF_g AB 
58986.47086809995 198.085767064621 21.9477041001677 26.2605 ZTF_r AB 
58987.35179399978 210.484029105982 22.005248661141 26.2571 ZTF_r AB 
58987.434375000186 79.8225882656484 18.2221989139718 26.3301 ZTF_g AB 
58991.414467600174 92.8214010448133 22.829192813085 26.3235 ZTF_g AB 
58991.44958329992 216.719044655198 23.3735507993817 26.2606 ZTF_r AB 
58992.4270601999 150.06044358032 24.997374762644 26.2342 ZTF_r AB 
58994.42304399982 86.0398495721438 22.9348687613687 26.3196 ZTF_g AB 
58995.44047449995 201.962649425756 23.8396475101972 26.2541 ZTF_r AB 
58996.30180560006 134.023882444062 25.4471645015007 26.2248 ZTF_r AB 
58996.32758100005 125.361148104582 22.6091710191581 26.3015 ZTF_g AB 
58997.41299769981 91.9643745571843 18.9944942270311 26.3213 ZTF_g AB 
58997.4543980998 218.51291499064 26.2155035045656 26.2481 ZTF_r AB 
58998.30836809985 226.648141039526 26.6189322561817 26.2365 ZTF_r AB 
58998.43572920002 78.1102734436206 18.819151695262 26.3041 ZTF_g AB 
58999.32726849988 165.173552000612 34.8175738916971 26.251 ZTF_r AB 
