name z ra dec 
2020kjt 0.0372 280.818572284 71.6768336908
time flux flux_err zp band mag_sys 
58966.45 17.57 5.13 23.9 ATLAS_o AB 
58968.53 26.5 4.62 23.9 ATLAS_c AB 
58970.58 27.25 5.12 23.9 ATLAS_o AB 
58972.59 18.5 5.0 23.9 ATLAS_c AB 
58990.48 37.33 6.74 23.9 ATLAS_o AB 
58994.49 29.38 4.51 23.9 ATLAS_o AB 
58998.48 25.0 4.16 23.9 ATLAS_o AB 
58940.49006940005 12.60507397082406 3.420670732700543 26.1369 ZTF_g AB 
58944.51160879992 16.198085874566928 5.226418735587781 26.2002 ZTF_r AB 
58954.4912963002 19.624481593581176 4.293034708511127 26.2305 ZTF_r AB 
58955.451828700025 21.493325229385896 4.145357136427064 26.2164 ZTF_r AB 
58956.4703241 15.234609273734616 4.3167209931489285 25.8621 ZTF_g AB 
58956.49008100014 22.704435308578567 6.540227447797293 25.7896 ZTF_r AB 
58961.44854169991 20.27479333219544 5.852479851528764 26.1734 ZTF_r AB 
58962.47300929995 19.47730325018291 3.7611490414239546 26.2213 ZTF_r AB 
58962.4938194002 12.347948043242216 3.3016728384301284 26.2982 ZTF_g AB 
58963.45677080005 13.340538690219676 2.598219165666168 26.2752 ZTF_g AB 
58964.394525500014 8.294748112879857 2.3323529384765003 26.2555 ZTF_g AB 
58964.430786999874 23.99306447102527 2.7749367471229083 26.209 ZTF_r AB 
58965.42413190007 8.787219506584188 2.327098278166937 26.2808 ZTF_g AB 
58965.44729170017 16.153793212043084 2.7867505091046376 26.2267 ZTF_r AB 
58966.445486099925 10.194455487223012 2.3949876901837794 26.259 ZTF_g AB 
58966.4654513998 26.929092456273843 2.902015629480527 26.1866 ZTF_r AB 
58967.388749999925 29.77007301374193 3.5983932406165957 26.2067 ZTF_r AB 
58967.45012729988 10.84453845060409 2.503897004621462 26.2939 ZTF_g AB 
58968.42422450008 22.68131234245641 2.6502979133504527 26.2617 ZTF_r AB 
58968.46486110008 10.627020562642455 2.404350289619904 26.3326 ZTF_g AB 
58970.37936339993 23.814745813383112 2.917688034932409 26.2526 ZTF_r AB 
58970.46700230008 9.987181975514048 1.9275688102752448 26.3442 ZTF_g AB 
58971.39548610011 20.67150408504057 4.117467308329508 26.2483 ZTF_r AB 
58971.45258100005 9.827085802735713 2.509721240060875 26.325 ZTF_g AB 
58972.41357639991 25.013783049243784 5.480838818533244 26.0083 ZTF_r AB 
58972.47105319984 13.253349641015928 2.214575203084916 26.3368 ZTF_g AB 
58973.36409719987 34.69130774626598 5.200249719904337 26.2407 ZTF_r AB 
58974.3608448999 19.392604058224872 5.435819701802542 26.2333 ZTF_r AB 
58978.475544000044 32.53869587468478 6.503405964562825 26.1136 ZTF_r AB 
58979.342164400034 21.773258519941574 4.701754637118248 26.173 ZTF_r AB 
58980.46694440022 19.622045604077385 5.257286132670534 26.2471 ZTF_r AB 
58981.43587959977 16.464255826119143 3.70340797571161 26.2452 ZTF_r AB 
58983.38913189992 25.873563606060284 3.625014627383685 26.1827 ZTF_r AB 
58985.40402780008 26.34454971458067 2.7331843199307304 26.2337 ZTF_r AB 
58985.449849499855 15.24541557896575 2.943035864856348 26.3119 ZTF_g AB 
58986.40209490014 9.393294708404117 2.30539975901074 26.3197 ZTF_g AB 
58986.47086809995 22.52440209529064 2.495597915718813 26.2605 ZTF_r AB 
58987.35179399978 24.00928066401872 2.50998888528625 26.2571 ZTF_r AB 
58987.434375000186 8.513062184957294 1.943328862733376 26.3301 ZTF_g AB 
58991.414467600174 9.9597427083044 2.44949227401467 26.3235 ZTF_g AB 
58991.44958329992 24.64092901190545 2.6574812635010034 26.2606 ZTF_r AB 
58992.4270601999 17.48180315987124 2.9120573189988987 26.2342 ZTF_r AB 
58994.42304399982 9.265303340226112 2.469686212411075 26.3196 ZTF_g AB 
58995.44047449995 23.10101485095684 2.726750161635177 26.2541 ZTF_r AB 
58996.30180560006 15.749334046059118 2.990232209007789 26.2248 ZTF_r AB 
58996.32758100005 13.726599450151712 2.4755411895750035 26.3015 ZTF_g AB 
58997.41299769981 9.887798820788127 2.042176394084655 26.3213 ZTF_g AB 
58997.4543980998 25.132582139586894 3.0151138885959816 26.2481 ZTF_r AB 
58998.30836809985 26.348273408376723 3.0943978370652854 26.2365 ZTF_r AB 
58998.43572920002 8.53234010023879 2.055632904596623 26.3041 ZTF_g AB 
58999.32726849988 18.947002317589344 3.9937789517349054 26.251 ZTF_r AB 
