name z ra dec 
2020kyx 0.0319161 243.439625 22.920661
time flux flux_err zp band mag_sys 
58993.45 49.67 8.85 23.9 ATLAS_o AB 
58995.46 103.33 6.16 23.9 ATLAS_c AB 
58999.38 414.5 7.0 23.9 ATLAS_o AB 
59001.42 520.25 7.12 23.9 ATLAS_o AB 
59002.38 574.25 9.75 23.9 ATLAS_o AB 
59003.43 631.25 12.38 23.9 ATLAS_o AB 
59005.38 660.5 10.62 23.9 ATLAS_o AB 
59007.44 682.25 12.88 23.9 ATLAS_o AB 
59009.42 685.0 8.5 23.9 ATLAS_o AB 
59013.42 635.0 6.62 23.9 ATLAS_o AB 
59017.4 503.25 6.5 23.9 ATLAS_o AB 
59021.38 393.0 5.12 23.9 ATLAS_o AB 
59025.38 366.5 5.5 23.9 ATLAS_o AB 
59027.36 378.5 5.88 23.9 ATLAS_o AB 
59029.38 379.0 10.96 23.9 ATLAS_o AB 
59031.36 350.0 8.25 23.9 ATLAS_o AB 
59033.38 351.75 8.38 23.9 ATLAS_o AB 
59035.38 324.33 13.09 23.9 ATLAS_o AB 
59037.35 317.5 9.55 23.9 ATLAS_o AB 
59039.35 246.25 5.5 23.9 ATLAS_o AB 
59040.36 143.0 4.0 23.9 ATLAS_c AB 
59041.35 251.67 5.77 23.9 ATLAS_o AB 
59043.37 121.75 4.88 23.9 ATLAS_c AB 
59045.35 215.5 33.23 23.9 ATLAS_o AB 
59047.36 90.0 11.31 23.9 ATLAS_c AB 
59051.36 85.67 5.39 23.9 ATLAS_c AB 
59053.3 158.5 4.5 23.9 ATLAS_o AB 
59055.31 141.33 6.35 23.9 ATLAS_o AB 
59059.38 97.25 7.5 23.9 ATLAS_o AB 
59061.31 96.67 7.51 23.9 ATLAS_o AB 
59065.36 75.5 10.12 23.9 ATLAS_o AB 
59069.29 77.25 4.88 23.9 ATLAS_o AB 
59071.29 65.75 4.38 23.9 ATLAS_c AB 
59073.33 65.5 4.25 23.9 ATLAS_o AB 
59075.31 50.5 4.0 23.9 ATLAS_c AB 
59077.31 56.25 4.62 23.9 ATLAS_o AB 
59079.26 59.25 4.25 23.9 ATLAS_c AB 
59083.25 48.5 5.75 23.9 ATLAS_c AB 
59085.25 54.5 5.38 23.9 ATLAS_o AB 
59087.26 27.5 7.75 23.9 ATLAS_o AB 
59089.31 46.25 6.88 23.9 ATLAS_o AB 
59093.24 42.0 9.24 23.9 ATLAS_o AB 
59095.24 39.0 10.58 23.9 ATLAS_o AB 
59097.3 40.25 8.25 23.9 ATLAS_o AB 
59101.25 39.5 7.42 23.9 ATLAS_o AB 
59103.28 27.75 5.12 23.9 ATLAS_c AB 
59107.27 25.25 4.88 23.9 ATLAS_c AB 
58992.27231 5004.74461 889.79786 30.0 ZTF_r AB 
58993.26881 7186.53141 712.75191 30.0 ZTF_g AB 
58993.29907 12034.25671 949.94273 30.0 ZTF_r AB 
58994.26781 14082.1742 615.36856 30.0 ZTF_g AB 
58994.31036 22731.24146 867.51418 30.0 ZTF_r AB 
58995.25789 36918.0439 930.91377 30.0 ZTF_r AB 
58996.27319 56134.51777 831.93001 30.0 ZTF_r AB 
