name z ra dec 
2020lao 0.030814 256.7275 30.2715
time flux flux_err zp band mag_sys 
58993.49 48.0 13.38 23.9 ATLAS_o AB 
58995.49 88.5 4.75 23.9 ATLAS_c AB 
58999.43 349.0 7.51 23.9 ATLAS_o AB 
59000.47 364.5 9.55 23.9 ATLAS_o AB 
59001.49 384.2 6.44 23.9 ATLAS_o AB 
59003.45 405.0 9.38 23.9 ATLAS_o AB 
59005.39 425.5 11.38 23.9 ATLAS_o AB 
59007.45 416.33 11.55 23.9 ATLAS_o AB 
59009.45 400.67 9.05 23.9 ATLAS_o AB 
59013.46 329.0 5.62 23.9 ATLAS_o AB 
59015.42 191.5 3.67 23.9 ATLAS_c AB 
59017.43 270.5 6.0 23.9 ATLAS_o AB 
59021.44 204.25 5.25 23.9 ATLAS_o AB 
59023.45 110.25 4.38 23.9 ATLAS_c AB 
59025.4 185.5 4.88 23.9 ATLAS_o AB 
59027.42 68.25 4.75 23.9 ATLAS_c AB 
59029.41 126.0 5.75 23.9 ATLAS_o AB 
59031.4 93.0 9.0 23.9 ATLAS_o AB 
59033.41 134.0 8.12 23.9 ATLAS_o AB 
59035.42 111.5 11.12 23.9 ATLAS_o AB 
59037.37 108.75 6.75 23.9 ATLAS_o AB 
59039.36 114.5 5.62 23.9 ATLAS_o AB 
59041.41 80.75 5.25 23.9 ATLAS_o AB 
59043.45 68.0 9.55 23.9 ATLAS_o AB 
59047.4 57.75 5.5 23.9 ATLAS_c AB 
59051.41 30.33 5.39 23.9 ATLAS_c AB 
59053.34 103.0 5.0 23.9 ATLAS_o AB 
59059.39 79.25 8.25 23.9 ATLAS_o AB 
59061.32 60.5 6.38 23.9 ATLAS_o AB 
59065.37 69.0 12.37 23.9 ATLAS_o AB 
59069.3 60.67 4.81 23.9 ATLAS_o AB 
59071.31 25.33 5.77 23.9 ATLAS_c AB 
59073.39 56.67 5.77 23.9 ATLAS_o AB 
59075.35 22.0 5.0 23.9 ATLAS_c AB 
59077.34 40.0 4.38 23.9 ATLAS_o AB 
59079.29 35.33 4.62 23.9 ATLAS_c AB 
59083.28 27.25 4.5 23.9 ATLAS_c AB 
59085.28 69.75 6.0 23.9 ATLAS_o AB 
59087.29 43.25 6.38 23.9 ATLAS_o AB 
59089.34 45.0 6.88 23.9 ATLAS_o AB 
59093.3 47.25 7.12 23.9 ATLAS_o AB 
59095.25 59.0 18.0 23.9 ATLAS_o AB 
59097.33 42.0 12.73 23.9 ATLAS_o AB 
58994.31446760008 37.74638550190753 3.934649499007178 26.1891 ZTF_r AB 
58994.41313660005 45.384219766218735 3.415077026804675 26.3015 ZTF_g AB 
58994.41407410009 44.9167883356196 3.168464556268668 26.3091 ZTF_g AB 
