name z ra dec 
2020nny 0.03084318 344.642616645 15.1708536937
time flux flux_err zp band mag_sys 
59013.6 48.0 7.89 23.9 ATLAS_o AB 
59017.59 74.67 4.83 23.9 ATLAS_o AB 
59021.55 91.25 4.68 23.9 ATLAS_o AB 
59025.57 113.75 5.38 23.9 ATLAS_o AB 
59027.56 51.5 3.61 23.9 ATLAS_c AB 
59029.56 94.5 6.12 23.9 ATLAS_o AB 
59031.55 38.2 4.29 23.9 ATLAS_c AB 
59033.56 74.2 6.98 23.9 ATLAS_o AB 
59035.54 83.6 14.13 23.9 ATLAS_o AB 
59036.5 107.0 30.0 23.9 ATLAS_o AB 
59037.53 110.33 10.58 23.9 ATLAS_o AB 
59039.55 96.25 8.62 23.9 ATLAS_o AB 
59041.54 80.5 7.12 23.9 ATLAS_o AB 
59043.59 98.25 6.5 23.9 ATLAS_o AB 
59047.57 25.0 6.62 23.9 ATLAS_c AB 
59051.5 30.5 5.12 23.9 ATLAS_c AB 
59053.52 70.75 4.25 23.9 ATLAS_o AB 
59059.58 24.33 4.62 23.9 ATLAS_c AB 
59061.48 77.0 6.93 23.9 ATLAS_o AB 
59064.45 75.25 9.0 23.9 ATLAS_o AB 
59065.54 63.0 17.32 23.9 ATLAS_o AB 
59069.44 72.0 10.96 23.9 ATLAS_o AB 
59071.48 43.5 7.0 23.9 ATLAS_o AB 
59073.51 32.5 5.25 23.9 ATLAS_o AB 
59075.51 54.25 5.12 23.9 ATLAS_o AB 
59077.5 40.25 4.38 23.9 ATLAS_o AB 
59079.46 20.33 5.39 23.9 ATLAS_c AB 
59087.5 22.5 4.5 23.9 ATLAS_c AB 
59089.46 41.0 5.12 23.9 ATLAS_o AB 
59014.3895717999 265.974029039021 37.71437808685381 26.0524 ZTF_g AB 
59014.481655099895 419.843906567862 59.15057205863569 26.0701 ZTF_r AB 
59018.387905099895 332.498167870751 31.077814659560094 26.0693 ZTF_g AB 
59018.4656134001 601.660403055266 29.682423586050337 26.0471 ZTF_r AB 
59023.34592590016 278.072562159368 36.2977065469436 25.9843 ZTF_g AB 
59026.47439809982 653.070682027803 34.49382335678285 26.087 ZTF_r AB 
59030.38510419987 249.724278818878 33.63651940117341 26.0725 ZTF_g AB 
59030.46686339984 560.785234027183 35.39323131387758 26.0284 ZTF_r AB 
59032.48449070007 276.060274144431 53.91015921078907 26.2998 ZTF_g AB 
59032.48496530019 378.267651950275 62.35576902786519 26.1906 ZTF_g AB 
59033.44767360017 330.546721222106 52.33937994561804 26.1882 ZTF_g AB 
59036.38204859989 557.102102908216 70.6043668763917 26.0698 ZTF_r AB 
59036.4834838002 373.799163768942 79.39763815367498 26.2182 ZTF_g AB 
59039.35709490022 234.224442273248 68.93747866652278 26.1457 ZTF_g AB 
59039.4568403 493.162117973549 60.77534242499013 26.0868 ZTF_r AB 
59042.46325229993 546.92317617008 39.68767475919165 26.0239 ZTF_r AB 
59045.36217590002 479.8522675108 32.0825906335953 26.0505 ZTF_r AB 
59045.44671300007 206.679404464195 28.323027367939865 26.2041 ZTF_g AB 
59046.42251159996 497.64010816529 30.34057126377781 26.0762 ZTF_r AB 
59048.41834490001 491.847140651645 34.99300602978417 26.085 ZTF_r AB 
59048.487094900105 156.353868855592 45.32105380945384 26.4017 ZTF_g AB 
59051.418530100025 399.033492349192 31.10941016002552 26.0531 ZTF_r AB 
59051.45444440004 126.657853922553 30.397173450166864 26.1675 ZTF_g AB 
