time flux fluxerr zp band zpsys 
58976.72871 345.25152057690906 7.820288766588034 8.9 sdssg ab 
58977.457384 576.2434474518652 13.684595746172796 8.9 sdssg ab 
58978.809221 1233.3331363969849 23.787757188259945 8.9 sdssg ab 
58979.838493 1876.9141134450958 27.26508452746188 8.9 sdssg ab 
58980.810009 2657.87162057895 41.388170802629624 8.9 sdssg ab 
58982.471531 3887.4749182272294 146.47095975791515 8.9 sdssg ab 
58982.757222 4614.157344046549 85.18716015555303 8.9 sdssg ab 
58982.758947 4621.928257615858 115.02287661909655 8.9 sdssg ab 
58983.774412 5693.430191096533 90.60836310038358 8.9 sdssg ab 
58983.776135 5721.522366270821 77.56496222570095 8.9 sdssg ab 
58985.352921 6915.672204601318 324.3703263057142 8.9 sdssg ab 
58985.428688 7467.244987172785 141.57512422199704 8.9 sdssg ab 
58986.352562 7987.976894708913 383.2732615032981 8.9 sdssg ab 
58986.787091 9272.482022697124 206.8539172660075 8.9 sdssg ab 
58988.422343 10009.823044289313 176.38532605257055 8.9 sdssg ab 
58988.770009 10115.869078802281 859.4801266567655 8.9 sdssg ab 
58989.779004 10988.580649877915 179.33146162198926 8.9 sdssg ab 
58989.804782 10976.705185586829 1046.9124517555258 8.9 sdssg ab 
58990.408567 10662.837728907118 630.9789230959364 8.9 sdssg ab 
58991.760191 11632.54657339806 173.8234709128567 8.9 sdssg ab 
58993.448446 11442.307110206151 204.14620978875834 8.9 sdssg ab 
58996.375921 11618.23080991105 430.6317321226361 8.9 sdssg ab 
58998.365128 10011.36280045423 180.04545596341887 8.9 sdssg ab 
59001.732721 8875.564818313713 135.39751133055262 8.9 sdssg ab 
59004.704261 6953.265298512143 172.2536062760698 8.9 sdssg ab 
59007.752501 5441.216420468393 88.90982919468402 8.9 sdssg ab 
59013.753688 3319.9657241314853 186.75216479566163 8.9 sdssg ab 
59017.402942 2502.0846582660442 47.251573271903325 8.9 sdssg ab 
59019.69612 2025.5473505656971 34.91653317541609 8.9 sdssg ab 
59023.71323 1550.0339124667175 32.46725225044049 8.9 sdssg ab 
59029.377788 1258.480237471435 24.378257111169656 8.9 sdssg ab 
58976.731509 468.84447227802366 11.680777448096409 8.9 sdssr ab 
58977.460182 717.8775963397767 16.216338601098432 8.9 sdssr ab 
58978.812018 1392.0050152646438 37.572753674943904 8.9 sdssr ab 
58979.449216 3502.292386172133 2159.433023163648 8.9 sdssr ab 
58979.841282 2114.3223468785204 37.469208540717595 8.9 sdssr ab 
58980.812804 2993.791837782991 58.539266202596444 8.9 sdssr ab 
58982.474129 4811.321742549664 203.00202577779962 8.9 sdssr ab 
58982.760814 5070.644926436701 131.10288093104623 8.9 sdssr ab 
58982.762163 5038.6524133868 125.21726624036545 8.9 sdssr ab 
58983.778014 6268.632356050731 115.67455216385152 8.9 sdssr ab 
58983.779397 6238.997333266631 101.29628588311171 8.9 sdssr ab 
58985.355537 8058.978552904137 317.093196552988 8.9 sdssr ab 
58985.430214 8194.332834606383 156.27355422964618 8.9 sdssr ab 
58986.35517 9017.148043944168 342.3445381028125 8.9 sdssr ab 
58986.788598 9532.008040205583 253.1073299341125 8.9 sdssr ab 
58988.423862 10385.781942326797 179.71002946701967 8.9 sdssr ab 
58988.772547 11120.553402850586 767.1358891013964 8.9 sdssr ab 
58989.780521 11138.009910879686 217.29525542054742 8.9 sdssr ab 
58989.807318 11811.373418012476 892.0515094113345 8.9 sdssr ab 
58990.411172 11380.601068335973 342.69592346426765 8.9 sdssr ab 
58991.761375 12047.66269925105 231.77966927796854 8.9 sdssr ab 
58993.449616 12363.573072677298 225.76404716420578 8.9 sdssr ab 
58996.377092 13198.105633594227 725.0510807058606 8.9 sdssr ab 
58998.366301 11400.597156001772 227.89933649581542 8.9 sdssr ab 
