time flux fluxerr zp band zpsys 
58985.47 39.0 4.88 23.9 atlaso ab 
58987.53 32.6 3.85 23.9 atlasc ab 
58989.45 72.5 5.25 23.9 atlaso ab 
58991.56 73.4 6.53 23.9 atlasc ab 
58993.5 56.5 6.75 23.9 atlaso ab 
58995.51 91.0 5.5 23.9 atlasc ab 
58999.45 108.75 5.12 23.9 atlaso ab 
59001.5 66.25 5.62 23.9 atlaso ab 
59002.45 54.75 7.25 23.9 atlaso ab 
59003.52 72.5 9.12 23.9 atlaso ab 
59004.38 49.0 9.5 23.9 atlaso ab 
59006.46 75.67 15.4 23.9 atlaso ab 
59007.41 59.0 13.44 23.9 atlaso ab 
59009.48 52.67 6.35 23.9 atlaso ab 
59013.45 47.0 4.23 23.9 atlaso ab 
59017.45 46.5 4.0 23.9 atlaso ab 
59021.41 30.75 4.88 23.9 atlaso ab 
59025.42 23.75 4.25 23.9 atlaso ab 
59029.43 19.5 5.5 23.9 atlaso ab 
59037.39 33.25 6.0 23.9 atlaso ab 
59053.34 31.0 3.5 23.9 atlaso ab 
58984.39972 6251.92165 711.76469 30.0 ztfr ab 
58985.37765 10023.29391 870.1053 30.0 ztfr ab 
58985.41966 7414.15627 637.8261 30.0 ztfg ab 
58986.29472 10386.46532 812.64709 30.0 ztfr ab 
58987.33888 14937.72591 754.31738 30.0 ztfr ab 
58987.40451 10862.01545 601.31458 30.0 ztfg ab 
58991.27212 23351.65394 1005.36713 30.0 ztfr ab 
58991.31778 19943.46288 765.48808 30.0 ztfg ab 
58992.33884 20262.58769 629.90005 30.0 ztfg ab 
58992.42083 23156.14759 796.66494 30.0 ztfr ab 
58995.31966 23289.39517 659.91263 30.0 ztfg ab 
58995.4369 26387.80365 684.96549 30.0 ztfr ab 
58996.31123 27338.59598 825.41175 30.0 ztfr ab 
58997.29767 30543.59918 838.04234 30.0 ztfr ab 
58997.38167 22046.56629 593.65541 30.0 ztfg ab 
58998.33194 28178.90606 781.986 30.0 ztfr ab 
58998.36072 22424.06407 535.05016 30.0 ztfg ab 
58999.33626 25907.77864 1073.52161 30.0 ztfr ab 
58999.40007 19661.44626 858.67254 30.0 ztfg ab 
59000.32929 22818.54755 1856.83102 30.0 ztfr ab 
59000.39568 26943.48173 1406.35061 30.0 ztfr ab 
59001.39553 19605.62623 813.36949 30.0 ztfg ab 
59004.22086 19308.79255 2880.54846 30.0 ztfg ab 
59004.28796 21095.83906 2297.83936 30.0 ztfr ab 
59005.21244 17812.66331 2929.60892 30.0 ztfg ab 
59008.30755 11632.42524 1719.13204 30.0 ztfg ab 
59009.3613 19359.61052 1498.99638 30.0 ztfr ab 
59011.25838 16607.61596 829.61144 30.0 ztfr ab 
59011.2783 10725.05555 759.52077 30.0 ztfg ab 
59012.273 15207.55076 758.20464 30.0 ztfr ab 
59014.25634 17374.84312 1215.88018 30.0 ztfr ab 
59014.35205 6429.40658 539.16582 30.0 ztfg ab 
59015.31019 5482.6489 641.68022 30.0 ztfg ab 
59016.25396 17705.68082 1429.80039 30.0 ztfr ab 
59016.33594 4490.54322 674.38589 30.0 ztfg ab 
59017.27676 15448.47717 731.00971 30.0 ztfr ab 
59017.29926 3717.18078 495.38586 30.0 ztfg ab 
59018.257 15056.50747 686.23557 30.0 ztfr ab 
59020.26797 12729.7184 704.95787 30.0 ztfr ab 
59023.29697 12104.04825 727.16128 30.0 ztfr ab 
59024.24288 10076.93853 1014.73948 30.0 ztfr ab 
59025.19337 9349.27706 1087.56757 30.0 ztfr ab 
59026.29034 9824.8874 810.30527 30.0 ztfr ab 
59027.27333 9575.96057 1059.00471 30.0 ztfr ab 
59028.23127 7652.60274 1116.86512 30.0 ztfr ab 
59031.2494 8462.54546 1416.5403 30.0 ztfr ab 
59032.245 6662.05816 1360.4249 30.0 ztfr ab 
59033.33319 6408.30592 1748.69766 30.0 ztfr ab 
59038.22926 5876.42302 948.14428 30.0 ztfr ab 
59044.2498 4971.73383 811.71395 30.0 ztfr ab 
59047.2115 5329.65418 796.23848 30.0 ztfr ab 
59050.29146 5289.85472 811.89335 30.0 ztfr ab 
59053.31135 3934.58616 733.33198 30.0 ztfr ab 
