# Template No.           2: sn04fc (IIP; +50) ; z= 0.039 +/- 0.002
#redshifted_wavelength[A] flux[arbitraty]
   3590.74683      0.252261043    
   3595.61133      0.255043268    
   3600.48267      0.257853061    
   3605.35986      0.260688514    
   3610.24438      0.263548583    
   3615.13525      0.266433626    
   3620.03271      0.269345522    
   3624.93677      0.272287935    
   3629.84766      0.275265515    
   3634.76514      0.278283298    
   3639.68872      0.281345099    
   3644.61963      0.284452260    
   3649.55762      0.287602752    
   3654.50171      0.290791214    
   3659.45215      0.294009715    
   3664.40991      0.297250450    
   3669.37427      0.300507843    
   3674.34497      0.303781450    
   3679.32275      0.307076961    
   3684.30737      0.310405850    
   3689.29834      0.313782692    
   3694.29639      0.317220926    
   3699.30103      0.320728362    
   3704.31250      0.324303746    
   3709.33105      0.327935547    
   3714.35596      0.331604570    
   3719.38770      0.335288942    
   3724.42676      0.338971645    
   3729.47217      0.342646807    
   3734.52441      0.346323580    
   3739.58350      0.350025833    
   3744.64966      0.353785962    
   3749.72266      0.357635677    
   3754.80249      0.361595124    
   3759.88940      0.365664780    
   3764.98267      0.369822443    
   3770.08350      0.374028146    
   3775.19067      0.378234923    
   3780.30518      0.382404357    
   3785.42651      0.386520535    
   3790.55444      0.390598953    
   3795.68994      0.394685149    
   3800.83203      0.398843408    
   3805.98096      0.403137028    
   3811.13696      0.407607555    
   3816.30005      0.412257463    
   3821.46997      0.417044222    
   3826.64697      0.421889186    
   3831.83105      0.426699311    
   3837.02222      0.431397349    
   3842.22021      0.435949564    
   3847.42529      0.440383196    
   3852.63745      0.444784492    
   3857.85669      0.449276805    
   3863.08325      0.453983009    
   3868.31641      0.458982855    
   3873.55688      0.464279622    
   3878.80444      0.469788313    
   3884.05933      0.475352705    
   3889.32104      0.480788946    
   3894.59009      0.485945225    
   3899.86621      0.490759254    
   3905.14917      0.495293647    
   3910.43970      0.499733657    
   3915.73706      0.504342914    
   3921.04199      0.509384632    
   3926.35376      0.515028477    
   3931.67285      0.521272361    
   3936.99927      0.527905881    
   3942.33276      0.534531474    
   3947.67358      0.540648520    
   3953.02173      0.545778096    
   3958.37671      0.549597979    
   3963.73926      0.552046418    
   3969.10913      0.553357720    
   3974.48608      0.554012060    
   3979.87036      0.554604948    
   3985.26221      0.555667460    
   3990.66089      0.557491183    
   3996.06714      0.560012579    
   4001.48071      0.562804401    
   4006.90161      0.565193832    
   4012.32983      0.566486299    
   4017.76538      0.566244721    
   4023.20825      0.564543307    
   4028.65894      0.562114120    
   4034.11646      0.560324907    
   4039.58154      0.560964346    
   4045.05396      0.565869689    
   4050.53394      0.576473475    
   4056.02148      0.593385458    
   4061.51611      0.616127789    
   4067.01831      0.643109679    
   4072.52783      0.671877563    
   4078.04492      0.699600816    
   4083.56982      0.723687232    
   4089.10181      0.742380738    
   4094.64136      0.755183101    
   4100.18848      0.762979686    
   4105.74268      0.767817438    
   4111.30518      0.772376001    
   4116.87451      0.779254854    
   4122.45215      0.790260494    
   4128.03662      0.805885017    
   4133.62939      0.825132132    
   4139.22900      0.845756173    
   4144.83643      0.864876568    
   4150.45166      0.879820228    
   4156.07422      0.888975382    
   4161.70459      0.892418861    
   4167.34277      0.892125368    
   4172.98828      0.891664267    
   4178.64160      0.895418406    
   4184.30225      0.907489538    
   4189.97070      0.930547655    
   4195.64697      0.964913547    
   4201.33105       1.00812805    
   4207.02246       1.05514812    
   4212.72168       1.09917438    
   4218.42920       1.13294721    
   4224.14404       1.15023708    
   4229.86621       1.14719403    
   4235.59668       1.12324488    
   4241.33447       1.08131969    
   4247.08057       1.02733922    
   4252.83398      0.969071984    
   4258.59570      0.914602220    
   4264.36475      0.870750904    
   4270.14160      0.841795623    
   4275.92676      0.828767061    
   4281.71924      0.829462588    
   4287.52002      0.839157045    
   4293.32812      0.851828277    
   4299.14404      0.861605108    
   4304.96875      0.864099324    
   4310.80078      0.857322693    
   4316.64062      0.841991425    
   4322.48828      0.821170628    
   4328.34424      0.799365103    
   4334.20801      0.781289756    
   4340.07959      0.770623088    
   4345.95898      0.769043744    
   4351.84668      0.775778711    
   4357.74219      0.787765086    
   4363.64551      0.800383627    
   4369.55713      0.808584094    
   4375.47656      0.808135152    
   4381.40381      0.796698272    
