# Template No.           4: sn2004dj (IIP; +8) ; z= 0.037 +/- 0.001
#redshifted_wavelength[A] flux[arbitraty]
   3593.19287      0.255919993    
   3598.06030      0.258727193    
   3602.93481      0.261567414    
   3607.81567      0.264441729    
   3612.70337      0.267350048    
   3617.59741      0.270291477    
   3622.49829      0.273264676    
   3627.40576      0.276268482    
   3632.31958      0.279302329    
   3637.24048      0.282366663    
   3642.16846      0.285462737    
   3647.10254      0.288592458    
   3652.04297      0.291757673    
   3656.99072      0.294959575    
   3661.94507      0.298198700    
   3666.90576      0.301474571    
   3671.87354      0.304786444    
   3676.84790      0.308133543    
   3681.82861      0.311515450    
   3686.81665      0.314932734    
   3691.81104      0.318386436    
   3696.81250      0.321878016    
   3701.82080      0.325408608    
   3706.83569      0.328978956    
   3711.85718      0.332588881    
   3716.88599      0.336237878    
   3721.92114      0.339925379    
   3726.96338      0.343651235    
   3732.01221      0.347416252    
   3737.06812      0.351222098    
   3742.13062      0.355070740    
   3747.20020      0.358964056    
   3752.27686      0.362902999    
   3757.35986      0.366887033    
   3762.45020      0.370914638    
   3767.54712      0.374983698    
   3772.65137      0.379092515    
   3777.76221      0.383240759    
   3782.87988      0.387430072    
   3788.00488      0.391663849    
   3793.13647      0.395946383    
   3798.27490      0.400281072    
   3803.42065      0.404669166    
   3808.57349      0.409109443    
   3813.73291      0.413598269    
   3818.89941      0.418130159    
   3824.07275      0.422700256    
   3829.25342      0.427305341    
   3834.44116      0.431945592    
   3839.63550      0.436624229    
   3844.83716      0.441346914    
   3850.04565      0.446119279    
   3855.26172      0.450944901    
   3860.48438      0.455823690    
   3865.71436      0.460751474    
   3870.95117      0.465720981    
   3876.19556      0.470724195    
   3881.44629      0.475754917    
   3886.70483      0.480810851    
   3891.97046      0.485894412    
   3897.24243      0.491011649    
   3902.52222      0.496170014    
   3907.80908      0.501375258    
   3913.10327      0.506628871    
   3918.40430      0.511927545    
   3923.71265      0.517263114    
   3929.02832      0.522625625    
   3934.35083      0.528006911    
   3939.68091      0.533402443    
   3945.01807      0.538813531    
   3950.36230      0.544246197    
   3955.71411      0.549708068    
   3961.07300      0.555205703    
   3966.43921      0.560740769    
   3971.81250      0.566309094    
   3977.19336      0.571901560    
   3982.58105      0.577506661    
   3987.97632      0.583115339    
   3993.37915      0.588723302    
   3998.78906      0.594332814    
   4004.20630      0.599951684    
   4009.63086      0.605588734    
   4015.06274      0.611250460    
   4020.50220      0.616936624    
   4025.94873      0.622639239    
   4031.40283      0.628344715    
   4036.86401      0.634037793    
   4042.33301      0.639707386    
   4047.80933      0.645351112    
   4053.29297      0.650975168    
   4058.78394      0.656593084    
   4064.28223      0.662218928    
   4069.78809      0.667861164    
   4075.30200      0.673517525    
   4080.82275      0.679173708    
   4086.35107      0.684807360    
   4091.88672      0.690394998    
   4097.43018      0.695920825    
   4102.98145      0.701382697    
   4108.53906      0.706793427    
   4114.10547      0.712175906    
   4119.67871      0.717553794    
   4125.25977      0.722941041    
   4130.84863      0.728334069    
   4136.44434      0.733710468    
   4142.04834      0.739035189    
   4147.65967      0.744272470    
   4153.27881      0.749399304    
   4158.90527      0.754414916    
   4164.53955      0.759342194    
   4170.18115      0.764219642    
   4175.83057      0.769085586    
   4181.48730      0.773961425    
   4187.15234      0.778839052    
   4192.82471      0.783679664    
   4198.50488      0.788425088    
   4204.19238      0.793018281    
   4209.88818      0.797427475    
   4215.59131      0.801662385    
   4221.30225      0.805774212    
   4227.02100      0.809839964    
   4232.74707      0.813935041    
   4238.48145      0.818101287    
   4244.22314      0.822324514    
   4249.97314      0.826532304    
   4255.73096      0.830614150    
   4261.49609      0.834460557    
   4267.26904      0.838007212    
   4273.05029      0.841268897    
   4278.83887      0.844345748    
   4284.63574      0.847398281    
   4290.43945      0.850593805    
   4296.25244      0.854042292    
   4302.07275      0.857745349    
   4307.90088      0.861578166    
   4313.73682      0.865318120    
   4319.58105      0.868714869    
   4325.43262      0.871581614    
   4331.29248      0.873875380    
   4337.15967      0.875735939    
   4343.03516      0.877461076    
   4348.91895      0.879420221    
   4354.81055      0.881928384    
   4360.70996      0.885122716    
   4366.61768      0.888886869    
   4372.53320      0.892857194    
   4378.45654      0.896520197    
   4384.38867      0.899378181    
   4390.32764      0.901131034    
   4396.27588      0.901812434    
   4402.23145      0.901824832    
   4408.19482      0.901846588    
   4414.16748      0.902630687    
