# Template No.          11: sn04fc (IIP; +33) ; z= 0.042 +/- 0.002
#redshifted_wavelength[A] flux[arbitraty]
   3589.43994      0.251307696    
   3594.30249      0.254066765    
   3599.17188      0.256870240    
   3604.04761      0.259710789    
   3608.93042      0.262577951    
   3613.81934      0.265461147    
   3618.71509      0.268353313    
   3623.61743      0.271253705    
   3628.52637      0.274168909    
   3633.44189      0.277111560    
   3638.36426      0.280097187    
   3643.29321      0.283139527    
   3648.22876      0.286246002    
   3653.17114      0.289415240    
   3658.12036      0.292636216    
   3663.07617      0.295891762    
   3668.03833      0.299162894    
   3673.00757      0.302435338    
   3677.98364      0.305704027    
   3682.96606      0.308975756    
   3687.95557      0.312268078    
   3692.95190      0.315604597    
   3697.95459      0.319008380    
   3702.96436      0.322495013    
   3707.98071      0.326067179    
   3713.00415      0.329713494    
   3718.03418      0.333410949    
   3723.07104      0.337131321    
   3728.11450      0.340849429    
   3733.16528      0.344551057    
   3738.22266      0.348237783    
   3743.28687      0.351927787    
   3748.35767      0.355651587    
   3753.43579      0.359444022    
   3758.52075      0.363334447    
   3763.61255      0.367338121    
   3768.71143      0.371450841    
   3773.81665      0.375648975    
   3778.92920      0.379895061    
   3784.04834      0.384147465    
   3789.17505      0.388372272    
   3794.30835      0.392553896    
   3799.44824      0.396700770    
   3804.59570      0.400845438    
   3809.75000      0.405037761    
   3814.91089      0.409332097    
   3820.07910      0.413771719    
   3825.25439      0.418374956    
   3830.43628      0.423126489    
   3835.62549      0.427977920    
   3840.82153      0.432857931    
   3846.02490      0.437691242    
   3851.23535      0.442420691    
   3856.45239      0.447027683    
   3861.67700      0.451543123    
   3866.90845      0.456044614    
   3872.14722      0.460637778    
   3877.39282      0.465426505    
   3882.64551      0.470478117    
   3887.90527      0.475795567    
   3893.17261      0.481306195    
   3898.44653      0.486874342    
   3903.72803      0.492337704    
   3909.01660      0.497558713    
   3914.31177      0.502477050    
   3919.61475      0.507144272    
   3924.92456      0.511724353    
   3930.24194      0.516454101    
   3935.56616      0.521566927    
   3940.89771      0.527199030    
   3946.23682      0.533306599    
   3951.58252      0.539623260    
   3956.93604      0.545681238    
   3962.29663      0.550901592    
   3967.66431      0.554736912    
   3973.03955      0.556831479    
   3978.42188      0.557148576    
   3983.81152      0.556019425    
   3989.20850      0.554085910    
   3994.61279      0.552138150    
   4000.02417      0.550884664    
   4005.44312      0.550722599    
   4010.86938      0.551583052    
   4016.30298      0.552921534    
   4021.74390      0.553879261    
   4027.19238      0.553597033    
   4032.64795      0.551603675    
   4038.11133      0.548164368    
   4043.58179      0.544468224    
   4049.05957      0.542558849    
   4054.54492      0.544980109    
   4060.03760      0.554189980    
   4065.53809      0.571875632    
   4071.04565      0.598354220    
   4076.56079      0.632247448    
   4082.08325      0.670562267    
   4087.61328      0.709214985    
   4093.15112      0.743907452    
   4098.69629      0.771156132    
   4104.24854      0.789206982    
   4109.80859      0.798571050    
   4115.37598      0.801998436    
   4120.95166      0.803845525    
   4126.53418      0.808959126    
   4132.12451      0.821347177    
   4137.72266      0.842986584    
   4143.32812      0.873109818    
   4148.94092      0.908201754    
   4154.56152      0.942760408    
   4160.18994      0.970660567    
   4165.82568      0.986785710    
