# Template No.           9: sn2007I (Ic-broad; +0) ; z= 0.052 +/- 0.018
#redshifted_wavelength[A] flux[arbitraty]
   3635.00586      0.825270236    
   3639.93018      0.827484310    
   3644.86157      0.829825640    
   3649.79907      0.832199037    
   3654.74365      0.834484160    
   3659.69482      0.836577654    
   3664.65259      0.838434815    
   3669.61694      0.840094507    
   3674.58838      0.841676295    
   3679.56641      0.843347490    
   3684.55103      0.845267534    
   3689.54272      0.847529054    
   3694.54126      0.850115180    
   3699.54639      0.852891743    
   3704.55786      0.855641186    
   3709.57666      0.858130574    
   3714.60229      0.860192955    
   3719.63428      0.861795127    
   3724.67358      0.863064766    
   3729.71948      0.864264011    
   3734.77197      0.865711749    
   3739.83179      0.867678285    
   3744.89795      0.870283902    
   3749.97119      0.873441398    
   3755.05151      0.876863360    
   3760.13867      0.880141556    
   3765.23218      0.882876039    
   3770.33325      0.884814918    
   3775.44092      0.885957241    
   3780.55566      0.886578739    
   3785.67700      0.887165129    
   3790.80566      0.888265491    
   3795.94116      0.890309989    
   3801.08350      0.893449843    
   3806.23315      0.897478044    
   3811.38940      0.901864529    
   3816.55273      0.905906200    
   3821.72290      0.908949435    
   3826.90063      0.910618901    
   3832.08496      0.910972834    
   3837.27637      0.910526991    
   3842.47485      0.910123706    
   3847.68042      0.910679221    
   3852.89258      0.912878931    
   3858.11255      0.916921198    
   3863.33911      0.922398508    
   3868.57275      0.928371310    
   3873.81372      0.933627725    
   3879.06152      0.937063277    
   3884.31665      0.938065171    
   3889.57886      0.936775744    
   3894.84790      0.934134901    
   3900.12451      0.931662261    
   3905.40796      0.931022704    
   3910.69873      0.933487892    
   3915.99658      0.939456224    
   3921.30176      0.948186457    
   3926.61401      0.957854331    
   3931.93359      0.965948761    
   3937.26001      0.969931543    
   3942.59399      0.967986822    
   3947.93530      0.959659994    
   3953.28320      0.946190476    
   3958.63892      0.930420995    
   3964.00171      0.916274548    
   3969.37207      0.907910705    
   3974.74927      0.908764184    
   3980.13403      0.920708954    
   3985.52612      0.943569005    
   3990.92529      0.975104451    
   3996.33203       1.01148641    
   4001.74585       1.04814172    
   4007.16699       1.08075619    
   4012.59570       1.10618734    
   4018.03174       1.12306535    
   4023.47485       1.13195050    
   4028.92554       1.13503301    
   4034.38379       1.13547719    
   4039.84912       1.13660407    
   4045.32178       1.14112401    
   4050.80225       1.15060508    
   4056.29004       1.16528273    
   4061.78516       1.18420863    
   4067.28760       1.20564747    
   4072.79761       1.22756934    
   4078.31543       1.24808133    
   4083.84033       1.26568103    
   4089.37280       1.27929235    
   4094.91260       1.28812456    
   4100.45996       1.29145908    
   4106.01514       1.28848910    
   4111.57764       1.27831256    
   4117.14746       1.26012230    
   4122.72510       1.23354936    
   4128.31006       1.19905615    
   4133.90332       1.15823543    
   4139.50342       1.11388361    
   4145.11133       1.06976867    
   4150.72656       1.03010714    
   4156.34961      0.998842001    
   4161.98047      0.978891492    
   4167.61865      0.971555114    
   4173.26465      0.976236343    
   4178.91846      0.990566015    
   4184.57959       1.01090920    
   4190.24854       1.03313684    
   4195.92480       1.05347562    
   4201.60938       1.06922781    
   4207.30127       1.07918584    
   4213.00098       1.08364975    
   4218.70850       1.08406115    
   4224.42383       1.08236444    
   4230.14648       1.08028638    
   4235.87744       1.07873213    
   4241.61572       1.07747042    
   4247.36182       1.07519209    
   4253.11572       1.06992471    
   4258.87793       1.05968702    
   4264.64697       1.04319596    
   4270.42480       1.02042723    
   4276.20996      0.992860079    
   4282.00293      0.963327944    
   4287.80371      0.935494781    
   4293.61230      0.913079143    
   4299.42920      0.899017751    
   4305.25342      0.894775808    
   4311.08643      0.899981737    
   4316.92676      0.912478566    
   4322.77441      0.928783178    
   4328.63086      0.944845140    
   4334.49463      0.956922352    
   4340.36719      0.962365329    
   4346.24707      0.960133314    
   4352.13428      0.950927138    
   4358.03076      0.936930239    
   4363.93506      0.921233535    
   4369.84668      0.907097220    
   4375.76660      0.897232473    
   4381.69482      0.893263578    
   4387.63037      0.895481586    
   4393.57471      0.902917266    
   4399.52637      0.913684547    
   4405.48633      0.925480843    
   4411.45459      0.936111808    
   4417.43115      0.943912029    
   4423.41553      0.947979331    
   4429.40771      0.948198915    
   4435.40820      0.945087552    
   4441.41748      0.939532995    
   4447.43408      0.932516217    
   4453.45898      0.924890518    
   4459.49268      0.917264581    
   4465.53369      0.909992754    
   4471.58301      0.903247178    
   4477.64111      0.897125006    
   4483.70703      0.891743422    
   4489.78125      0.887293637    
   4495.86377      0.884043932    
   4501.95459      0.882303238    
   4508.05322      0.882369220    
   4514.16064      0.884482324    
   4520.27588      0.888798356    
   4526.39990      0.895375252    
   4532.53125      0.904164672    
   4538.67188      0.914991975    
   4544.82080      0.927524269    
   4550.97705      0.941234946    
   4557.14258      0.955394804    
   4563.31641      0.969116271    
   4569.49805      0.981473565    
   4575.68896      0.991694391    
   4581.88721      0.999388576    
   4588.09424       1.00475097    
   4594.31006       1.00866485    
   4600.53418       1.01264393    
   4606.76660       1.01858914    
   4613.00781       1.02838719    
   4619.25684       1.04343462    
   4625.51465       1.06420839    
   4631.78125       1.09001052    
   4638.05615       1.11898255    
   4644.33936       1.14841843    
   4650.63086       1.17532635    
   4656.93115       1.19711018    
   4663.23975       1.21219718    
   4669.55762       1.22043800    
   4675.88330       1.22315681    
   4682.21777       1.22281981    
   4688.56104       1.22239101    
   4694.91260       1.22454298    
   4701.27295       1.23092782    
   4707.64160       1.24171317    
   4714.01953       1.25551629    
   4720.40576       1.26976001    
   4726.80029       1.28136003    
   4733.20361       1.28755867    
   4739.61572       1.28667033    
   4746.03662       1.27853715    
   4752.46631       1.26456678    
   4758.90430       1.24734437    
   4765.35156       1.22993362    
   4771.80762       1.21506703    
   4778.27148       1.20445502    
   4784.74512       1.19840682    
   4791.22705       1.19586325    
   4797.71777       1.19481707    
   4804.21729       1.19298863    
   4810.72559       1.18854940    
   4817.24316       1.18067765    
   4823.76855       1.16978478    
   4830.30371       1.15735674    
   4836.84717       1.14546764    
   4843.39990       1.13612247    
   4849.96143       1.13063705    
   4856.53174       1.12924623    
   4863.11084       1.13105476    
   4869.69922       1.13434577    
   4876.29639       1.13714230    
   4882.90234       1.13784194    
   4889.51709       1.13572407    
   4896.14111       1.13116765    
   4902.77441       1.12550461    
   4909.41602       1.12055278    
   4916.06689       1.11797118    
   4922.72656       1.11863852    
   4929.39600       1.12225378    
   4936.07373       1.12729704    
   4942.76074       1.13138008    
   4949.45703       1.13189983    
   4956.16162       1.12681532    
   4962.87598       1.11532354    
   4969.59912       1.09823179    
   4976.33203       1.07790649    
   4983.07324       1.05779064    
   4989.82373       1.04160762    
   4996.58350       1.03245211    
   5003.35303       1.03201091    
   5010.13086       1.04011559    
   5016.91846       1.05474997    
   5023.71484       1.07251012    
   5030.52002       1.08939731    
   5037.33545       1.10174060    
   5044.15967       1.10701251    
   5050.99316       1.10433602    
   5057.83545       1.09456491    
   5064.68799       1.07993591    
   5071.54883       1.06339872    
   5078.41943       1.04781377    
   5085.29932       1.03523231    
   5092.18848       1.02644157    
   5099.08691       1.02088678    
   5105.99463       1.01696885    
   5112.91162       1.01262474    
   5119.83838       1.00601828    
   5126.77441      0.996152818    
   5133.71973      0.983234584    
   5140.67432      0.968697548    
   5147.63867      0.954881191    
   5154.61230      0.944453776    
   5161.59521      0.939730823    
   5168.58789      0.942068934    
   5175.58936      0.951483905    
   5182.60107      0.966591358    
   5189.62256      0.984875619    
   5196.65283       1.00321567    
   5203.69287       1.01853621    
