# Template No.           1: sn90e (IIP; +19) ; z= 0.033 +/- 0.004
#redshifted_wavelength[A] flux[arbitraty]
   3648.38110      0.264136672    
   3653.32349      0.278166890    
   3658.27271      0.289097816    
   3663.22876      0.296132475    
   3668.19116      0.299016774    
   3673.16064      0.298080653    
   3678.13672      0.294222593    
   3683.11963      0.288818061    
   3688.10938      0.283537090    
   3693.10547      0.280077696    
   3698.10840      0.279847175    
   3703.11865      0.283652276    
   3708.13501      0.291472077    
   3713.15869      0.302384585    
   3718.18872      0.314688891    
   3723.22583      0.326219589    
   3728.26978      0.334798545    
   3733.32056      0.338725269    
   3738.37842      0.337187052    
   3743.44263      0.330480903    
   3748.51416      0.319980919    
   3753.59204      0.307848155    
   3758.67749      0.296549678    
   3763.76929      0.288303971    
   3768.86816      0.284595490    
   3773.97412      0.285884321    
   3779.08667      0.291584641    
   3784.20605      0.300313294    
   3789.33276      0.310333073    
   3794.46631      0.320062697    
   3799.60669      0.328504175    
   3804.75415      0.335465878    
   3809.90845      0.341517508    
   3815.06982      0.347696096    
   3820.23828      0.355055302    
   3825.41333      0.364202261    
   3830.59595      0.374970198    
   3835.78516      0.386339307    
   3840.98169      0.396643698    
   3846.18506      0.404015094    
   3851.39575      0.406940937    
   3856.61328      0.404770792    
   3861.83813      0.398013771    
   3867.06934      0.388324648    
   3872.30835      0.378160238    
   3877.55444      0.370185763    
   3882.80713      0.366584122    
   3888.06738      0.368456036    
   3893.33447      0.375480682    
   3898.60913      0.385938913    
   3903.89038      0.397104919    
   3909.17920      0.405910939    
   3914.47510      0.409715563    
   3919.77783      0.406975687    
   3925.08838      0.397646397    
   3930.40576      0.383208841    
   3935.73022      0.366321355    
   3941.06201      0.350191593    
   3946.40112      0.337836444    
   3951.74731      0.331422627    
   3957.10083      0.331851751    
   3962.46167      0.338682801    
   3967.82959      0.350392193    
   3973.20483      0.364880741    
   3978.58765      0.380077928    
   3983.97754      0.394473970    
   3989.37451      0.407443285    
   3994.77905      0.419285268    
   4000.19092      0.430992842    
   4005.61011      0.443831265    
   4011.03662      0.458857328    
   4016.47046      0.476518124    
   4021.91138      0.496436208    
   4027.36011      0.517431319    
   4032.81616      0.537764370    
   4038.27954      0.555526018    
   4043.75000      0.569066226    
   4049.22827      0.577354014    
   4054.71362      0.580185473    
   4060.20703      0.578203917    
   4065.70728      0.572742403    
   4071.21509      0.565542161    
   4076.73047      0.558419108    
