# Template No.           5: sn1992H (IIP; +12) ; z= 0.037 +/- 0.007
#redshifted_wavelength[A] flux[arbitraty]
   3646.42847      0.262682378    
   3651.36792      0.264913589    
   3656.31470      0.267163783    
   3661.26807      0.269433081    
   3666.22803      0.271721572    
   3671.19482      0.274029344    
   3676.16821      0.276356578    
   3681.14819      0.278703421    
   3686.13525      0.281070232    
   3691.12891      0.283457369    
   3696.12939      0.285864919    
   3701.13672      0.288293123    
   3706.15063      0.290742129    
   3711.17114      0.293211967    
   3716.19897      0.295702755    
   3721.23315      0.298214555    
   3726.27441      0.300747603    
   3731.32227      0.303302079    
   3736.37720      0.305878252    
   3741.43921      0.308476418    
   3746.50781      0.311096907    
   3751.58350      0.313739747    
   3756.66553      0.316405177    
   3761.75488      0.319093317    
   3766.85083      0.321804315    
   3771.95410      0.324538261    
   3777.06396      0.327295333    
   3782.18066      0.330075920    
   3787.30493      0.332880110    
   3792.43555      0.335708320    
   3797.57300      0.338560730    
   3802.71777      0.341437489    
   3807.86938      0.344338745    
   3813.02808      0.347264647    
   3818.19360      0.350215256    
   3823.36597      0.353190631    
   3828.54565      0.356190562    
   3833.73242      0.359215051    
   3838.92578      0.362264156    
   3844.12646      0.365337640    
   3849.33423      0.368435383    
   3854.54907      0.371557206    
   3859.77100      0.374702692    
   3864.99976      0.377871543    
   3870.23584      0.381063521    
   3875.47900      0.384278387    
   3880.72900      0.387516052    
   3885.98657      0.390776426    
   3891.25098      0.394059420    
   3896.52222      0.397364855    
   3901.80103      0.400692612    
   3907.08691      0.404042095    
   3912.37988      0.407412857    
   3917.67993      0.410804451    
   3922.98730      0.414216310    
   3928.30200      0.417648137    
   3933.62354      0.421099603    
   3938.95264      0.424570620    
   3944.28906      0.428061038    
   3949.63232      0.431570590    
   3954.98291      0.435099155    
   3960.34082      0.438645989    
   3965.70605      0.442210704    
   3971.07837      0.445792288    
   3976.45825      0.449390292    
   3981.84497      0.453003913    
   3987.23926      0.456632733    
   3992.64111      0.460276484    
   3998.04980      0.463934779    
   4003.46606      0.467607498    
   4008.88965      0.471294105    
   4014.32056      0.474994153    
   4019.75903      0.478706956    
   4025.20459      0.482431501    
   4030.65771      0.486167043    
   4036.11792      0.489912719    
   4041.58569      0.493667722    
   4047.06128      0.497431576    
   4052.54370      0.501203656    
   4058.03369      0.504983544    
   4063.53125      0.508770645    
   4069.03589      0.512564361    
   4074.54858      0.516363859    
   4080.06836      0.520168304    
   4085.59570      0.523976505    
   4091.13062      0.527787924    
   4096.67285      0.531601429    
   4102.22314      0.535416126    
   4107.77979      0.539231539    
   4113.34521      0.543046653    
   4118.91748      0.546860516    
   4124.49756      0.550672352    
   4130.08496      0.554480970    
   4135.68018      0.558285534    
   4141.28271      0.562084973    
   4146.89307      0.565878510    
   4152.51123      0.569665134    
   4158.13672      0.573444366    
   4163.77002      0.577215016    
   4169.41016      0.580976069    
   4175.05859      0.584726393    
   4180.71484      0.588464499    
   4186.37842      0.592188835    
   4192.04980      0.595898032    
   4197.72900      0.599590957    
   4203.41553      0.603266776    
