SN,z,RA,DEC
SN2003fg,0.244,14:16:18.78,+52:14:55.39
SN2006gz,0.0237,18:10:26.33,+30:59:44.41
SN2007if,0.0742,01:10:51.37,+15:27:39.89
SN2009dc,0.0214,15:51:12.12,+25:42:28.01
LSQ12gpw,0.0506,03:12:58.24,-11:42:40.07
SN2012dn,0.01,20:23:36.26,-28:16:43.39
SN2013ao,0.0435,11:44:44.74,-20:31:41.09
LSQ14fmg,0.0649,22:16:46.10,+15:21:14.15
CSS140126-120307-010132,0.0772,12:03:06.90,-01:01:31.92
CSS140501-170414+174839,0.0797,17:04:13.69,+17:48:39.40
SN2015M,0.0231,13:00:32.30,+27:58:41.09
ASASSN-15hy,0.0185,20:10:02.35,-00:44:21.20
ASASSN-15pz,0.0148,03:08:48.48,-35:13:51.24
SN2016gxp,0.0177,00:14:34.58,+48:15:08.03
SN2018dvf,0.0454,23:14:05.43,+29:38:00.03
SN2020esm,0.0362,14:07:18.26,-05:07:37.67
SN2020hvf,0.0058,11:21:26.45,+03:00:52.85
SN2021zny,0.0266,02:03:35.80,+15:44:33.36
SN2022ilv,0.031,15:10:44.26,-11:35:57.98
SN2022pul,0.003,12:26:48.85,+08:26:55.32
